Site,comid,totdasqkm,streamorde,maxelevraw,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,MTBS_1986Ws,MTBS_1987Ws,MTBS_1988Ws,MTBS_1989Ws,MTBS_1990Ws,MTBS_1991Ws,MTBS_1992Ws,MTBS_1993Ws,MTBS_1994Ws,MTBS_1995Ws,MTBS_1996Ws,MTBS_1997Ws,MTBS_1998Ws,MTBS_1999Ws,MTBS_2000Ws,MTBS_2001Ws,MTBS_2002Ws,MTBS_2003Ws,MTBS_2004Ws,MTBS_2005Ws,MTBS_2006Ws,MTBS_2007Ws,MTBS_2008Ws,MTBS_2009Ws,MTBS_2010Ws,MTBS_2011Ws,MTBS_2012Ws,MTBS_2013Ws,MTBS_2014Ws,MTBS_2015Ws,MTBS_2016Ws,MTBS_2017Ws
DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,0,0,0,0.3763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1144,0,0,0,0,0,0,0
DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-05,0,0,0,0.3763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1121,0,0,0,0,0,0,0
US1,2889272,29.2743,2,-9998,219187,235193,219187,0,0.03671943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US2,2889272,29.2743,2,-9998,219187,235193,219187,0,0.03671943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crane_Creek,11750409,3.8925,2,-9998,35090,68384,35177,0,0.078079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.670500000000004,0,0,0
Wash_Branch,11750421,8.739,2,-9998,33205,35177,33373,0,0.01664206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7405000000000002,23.913500000000003,0,2.0494,0
Control,8943655,2.7135,1,-9998,195115,224981,195115,0,0.12934603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.786100000000005,0,0,0,0,0,0,0,0,0,0
Site_1,8943617,8.0658,2,-9998,191806,195115,191921,0,0.01461116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.46730000000001,0,0,0,0,0,0,0,0,0,0
Site_2,8943617,8.0658,2,-9998,191806,195115,191921,0,0.01461116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.46730000000001,0,0,0,0,0,0,0,0,0,0
Camas_Creek,23075361,3.9051,1,-9998,55339,109588,55930,0,0.20894859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.54690000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade_Creek,23074473,37.8324,3,-9998,33594,66403,33599,0,0.14592526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5232,0,0,0,0,0,0,0,0,0,0,0.3664,0,0.0666,0,0
Rocky_Fire,8009327,2390.2362,6,-9998,16987,19233,17017,0,0.00517515,0,0.2137,0,1.032,0.873,0,0.2531,0,0,0,12.596300000000001,0,0.2831,1.6463,0.2967,0,0,0.0021000000000000003,6.000000000000001e-4,0,0,0,2.1066000000000003,0.2495,0,0,3.0784000000000002,0,0,12.8141,0.632,0.438
Wragg_Fire,15032969,16.5357,2,-9998,6151,15180,6151,0,0.05750955,0,0,99.7333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0648,0,0
PBR,2899241,609.7059,4,-9998,212965,217616,213124,0,0.01145918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5243,0,0,0,0,0
PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,0,0,0,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-4,0,0,0,0,0,0,0,16.718700000000002,0,0,0,0,0
Benjamin_Slough,10349048,337.365,3,-9998,136669,137637,137637,0,1e-05,0,0,0,0,0,0,0,0,0,1.566,0,0,1.5043,2.7923,0,5.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032
Hobble_Creek_Lower,10348934,312.3927,4,-9998,136943,144881,137637,0,0.0078628,0,0,0,0,0,0,0,0,3.0000000000000003e-4,0,0,0,0,0,0,0,0,8.343300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hobble_Creek_Upper,10348934,312.3927,4,-9998,136943,144881,137637,0,0.0078628,0,0,0,0,0,0,0,0,3.0000000000000003e-4,0,0,0,0,0,0,0,0,8.343300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill_Race,10376606,35.2287,1,137801,136740,137801,137637,0,0.00038246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitsubishi_Race,10329067,41.0931,3,-9998,136739,137637,137637,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provo_River,10376192,1754.6553,5,-9998,136752,137637,137637,0,1e-05,0,5e-4,0.2595,0,0,0,0,0,0,0,0.5773,0,0,0,0.4103,0.5333,0,1.8315000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spanish_Fork_Lower,10349108,2010.5073,5,-9998,138783,139310,138783,0,0.00219949,0,0.2071,0,0,0,0,0,0,0.6305000000000001,0,0,0,0,0,0,0.9455,0,1.2964,0.33530000000000004,0,0,0,0,0.46940000000000004,0.4083,0,4.0648,0,0,0,0.8441000000000001,2.1962
Spanish_Fork_Upper,10349244,1642.5162,5,-9998,145674,146394,145674,0,0.01123244,0,0.2535,0,0,0,0,0,0,0.0449,0,0,0,0,0,0,1.1574,0,0,0.41050000000000003,0,0,0,0,0.5745,0.4998,0,4.9755,0,0,0,1.0332000000000001,2.6882
