Site,comid,MAST_2008,MAST_2009,MAST_2013,MAST_2014,MSST_2008,MSST_2009,MSST_2013,MSST_2014,MWST_2008,MWST_2009,MWST_2013,MWST_2014
PBR,2899241,7.889618685069999,7.87887884105,7.90350006071,7.956537655609999,15.426727148200001,14.623592272000002,15.6049884282,14.7160681721,1.1440458894,1.5885188020099998,1.1819591618599998,1.26557106176
PSF,2899449,7.990421265189999,8.01522368979,8.048816036469999,8.07402559617,16.165544147200002,15.060847004800001,16.2178397158,15.1782304432,1.15979069141,1.7262113265,1.26946318436,1.27052044094
PNF,2900989,8.648534909479999,8.661799217739999,8.754185889739999,8.75480747308,18.067613005600002,16.5739624437,18.0637129437,16.691463667,1.3833115243699998,2.16302236869,1.4947355917199998,1.43432559646
Benjamin_Slough,10349048,8.574513460559999,8.45324001835,8.115177288429999,9.25386770005,17.1544131929,17.7201439701,17.3059429366,17.6163234685,2.3039453649,3.08256963778,1.70363605149,3.4533068284199997
Hobble_Creek_Lower,10348934,8.563822552229999,8.40226434329,7.95003066293,9.18324278407,17.469596382000002,17.5313260886,16.9548153289,17.5099257345,3.3136899986199997,4.41492024227,2.4159975920599996,4.391308523419999
Hobble_Creek_Upper,10348934,8.563822552229999,8.40226434329,7.95003066293,9.18324278407,17.469596382000002,17.5313260886,16.9548153289,17.5099257345,3.3136899986199997,4.41492024227,2.4159975920599996,4.391308523419999
Mill_Race,10376606,7.86529066536,7.6338656790199995,7.370904771219999,8.5190775946,15.2186193627,15.1221386734,15.125862834800001,15.1337669729,2.36697764298,2.89843057565,1.8504864130899998,3.09314537064
Mitsubishi_Race,10329067,7.8138521688199996,7.580220048569999,7.30080464965,8.49478416979,15.168830121300001,15.1042910757,15.1064581748,15.1287994249,2.29475408795,3.0921109951799997,1.51909569042,3.29977431907
Provo_River,10376192,8.91244894115,8.79611575243,8.51151173668,9.46279134427,19.8404075047,19.716955258400002,19.752622294000002,19.7353266549,2.63619555546,2.7587562755499997,2.17601144204,3.30827576556
Spanish_Fork_Lower,10349108,9.159834917049999,8.97766631437,8.699594070009999,9.590240375839999,19.2311115701,19.2106155804,18.993148462300002,19.062440918500002,2.3433475749899997,2.9520466697,1.73899171689,3.27896010023
Spanish_Fork_Upper,10349244,8.22748576159,8.25100355479,8.212368772429999,8.62574886881,18.705099986900002,18.118022934000003,18.672662158,18.3778444971,1.61942476709,2.4201686446,1.5614974549599998,2.8465288319
