Study_ID,Pair,Site,Sampling_Date,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Climate,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes,Area_watershed_km,DOC_mg_C_L,NO3_mg_N_L,DOC_uM_C,NO3_uM_N,Days_Between_Samples,Large_Gap_Flag,DOC_Interp,NO3_Interp,year,month,day
Burd et al 2018,Site_1,Notawohka Creek,2016-05-11,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,15.42328042,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,15.42328042,NA,1284.2031988300337,NA,3,FALSE,15.42328042,NA,2016,5,11
Burd et al 2018,Site_1,Notawohka Creek,2016-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,16.28306878,NA,2016,5,12
Burd et al 2018,Site_1,Notawohka Creek,2016-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,17.14285714,NA,2016,5,13
Burd et al 2018,Site_1,Notawohka Creek,2016-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,18.0026455,NA,2016,5,14
Burd et al 2018,Site_1,Notawohka Creek,2016-05-15,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,18.86243386,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,18.86243386,NA,1570.5606875513154,NA,4,FALSE,18.86243386,NA,2016,5,15
Burd et al 2018,Site_1,Notawohka Creek,2016-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,19.171075836666667,NA,2016,5,16
Burd et al 2018,Site_1,Notawohka Creek,2016-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,19.479717813333334,NA,2016,5,17
Burd et al 2018,Site_1,Notawohka Creek,2016-05-18,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,19.78835979,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,19.78835979,NA,1647.6569348349833,NA,3,FALSE,19.78835979,NA,2016,5,18
Burd et al 2018,Site_1,Notawohka Creek,2016-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,19.755291007500002,NA,2016,5,19
Burd et al 2018,Site_1,Notawohka Creek,2016-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,19.722222225000003,NA,2016,5,20
Burd et al 2018,Site_1,Notawohka Creek,2016-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,19.6891534425,NA,2016,5,21
Burd et al 2018,Site_1,Notawohka Creek,2016-05-22,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,19.65608466,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,19.65608466,NA,1636.6431854609277,NA,4,FALSE,19.65608466,NA,2016,5,22
Burd et al 2018,Site_1,Notawohka Creek,2016-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,20.317460320000002,NA,2016,5,23
Burd et al 2018,Site_1,Notawohka Creek,2016-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,20.97883598,NA,2016,5,24
Burd et al 2018,Site_1,Notawohka Creek,2016-05-25,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,21.64021164,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,21.64021164,NA,1801.8494285696797,NA,3,FALSE,21.64021164,NA,2016,5,25
Burd et al 2018,Site_1,Notawohka Creek,2016-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,21.772486772,NA,2016,5,26
Burd et al 2018,Site_1,Notawohka Creek,2016-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,21.904761904,NA,2016,5,27
Burd et al 2018,Site_1,Notawohka Creek,2016-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.037037036,NA,2016,5,28
Burd et al 2018,Site_1,Notawohka Creek,2016-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.169312168,NA,2016,5,29
Burd et al 2018,Site_1,Notawohka Creek,2016-05-30,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,22.3015873,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,22.3015873,NA,1856.918176272597,NA,5,FALSE,22.3015873,NA,2016,5,30
Burd et al 2018,Site_1,Notawohka Creek,2016-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.309854495625,NA,2016,5,31
Burd et al 2018,Site_1,Notawohka Creek,2016-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.318121691250003,NA,2016,6,1
Burd et al 2018,Site_1,Notawohka Creek,2016-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.326388886875,NA,2016,6,2
Burd et al 2018,Site_1,Notawohka Creek,2016-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.3346560825,NA,2016,6,3
Burd et al 2018,Site_1,Notawohka Creek,2016-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.342923278125003,NA,2016,6,4
Burd et al 2018,Site_1,Notawohka Creek,2016-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.351190473750002,NA,2016,6,5
Burd et al 2018,Site_1,Notawohka Creek,2016-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.359457669375,NA,2016,6,6
Burd et al 2018,Site_1,Notawohka Creek,2016-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.367724865,NA,2016,6,7
Burd et al 2018,Site_1,Notawohka Creek,2016-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.375992060625002,NA,2016,6,8
Burd et al 2018,Site_1,Notawohka Creek,2016-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.38425925625,NA,2016,6,9
Burd et al 2018,Site_1,Notawohka Creek,2016-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.392526451875,NA,2016,6,10
Burd et al 2018,Site_1,Notawohka Creek,2016-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.400793647500002,NA,2016,6,11
Burd et al 2018,Site_1,Notawohka Creek,2016-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.409060843125,NA,2016,6,12
Burd et al 2018,Site_1,Notawohka Creek,2016-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.41732803875,NA,2016,6,13
Burd et al 2018,Site_1,Notawohka Creek,2016-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.425595234375002,NA,2016,6,14
Burd et al 2018,Site_1,Notawohka Creek,2016-06-15,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,22.43386243,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,22.43386243,NA,1867.9319256466526,NA,16,FALSE,22.43386243,NA,2016,6,15
Burd et al 2018,Site_1,Notawohka Creek,2016-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.619047615333333,NA,2016,6,16
Burd et al 2018,Site_1,Notawohka Creek,2016-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.804232800666668,NA,2016,6,17
Burd et al 2018,Site_1,Notawohka Creek,2016-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,22.989417986,NA,2016,6,18
Burd et al 2018,Site_1,Notawohka Creek,2016-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,23.174603171333334,NA,2016,6,19
Burd et al 2018,Site_1,Notawohka Creek,2016-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,23.359788356666666,NA,2016,6,20
Burd et al 2018,Site_1,Notawohka Creek,2016-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,23.544973542,NA,2016,6,21
Burd et al 2018,Site_1,Notawohka Creek,2016-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,23.730158727333333,NA,2016,6,22
Burd et al 2018,Site_1,Notawohka Creek,2016-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,23.915343912666668,NA,2016,6,23
Burd et al 2018,Site_1,Notawohka Creek,2016-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,24.100529098,NA,2016,6,24
Burd et al 2018,Site_1,Notawohka Creek,2016-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,24.285714283333334,NA,2016,6,25
Burd et al 2018,Site_1,Notawohka Creek,2016-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,24.470899468666666,NA,2016,6,26
Burd et al 2018,Site_1,Notawohka Creek,2016-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,24.656084654,NA,2016,6,27
Burd et al 2018,Site_1,Notawohka Creek,2016-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,24.841269839333332,NA,2016,6,28
Burd et al 2018,Site_1,Notawohka Creek,2016-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,25.026455024666667,NA,2016,6,29
Burd et al 2018,Site_1,Notawohka Creek,2016-06-30,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,25.21164021,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,25.21164021,NA,2099.220666665017,NA,15,FALSE,25.21164021,NA,2016,6,30
Burd et al 2018,Site_1,Notawohka Creek,2016-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,25.458553790666667,NA,2016,7,1
Burd et al 2018,Site_1,Notawohka Creek,2016-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,25.70546737133333,NA,2016,7,2
Burd et al 2018,Site_1,Notawohka Creek,2016-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,25.952380952,NA,2016,7,3
Burd et al 2018,Site_1,Notawohka Creek,2016-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,26.199294532666666,NA,2016,7,4
Burd et al 2018,Site_1,Notawohka Creek,2016-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,26.446208113333334,NA,2016,7,5
Burd et al 2018,Site_1,Notawohka Creek,2016-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,26.693121694,NA,2016,7,6
Burd et al 2018,Site_1,Notawohka Creek,2016-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,26.940035274666666,NA,2016,7,7
Burd et al 2018,Site_1,Notawohka Creek,2016-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.186948855333334,NA,2016,7,8
Burd et al 2018,Site_1,Notawohka Creek,2016-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.433862436000002,NA,2016,7,9
Burd et al 2018,Site_1,Notawohka Creek,2016-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.680776016666666,NA,2016,7,10
Burd et al 2018,Site_1,Notawohka Creek,2016-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.927689597333334,NA,2016,7,11
Burd et al 2018,Site_1,Notawohka Creek,2016-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,28.174603178,NA,2016,7,12
Burd et al 2018,Site_1,Notawohka Creek,2016-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,28.42151675866667,NA,2016,7,13
Burd et al 2018,Site_1,Notawohka Creek,2016-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,28.668430339333334,NA,2016,7,14
Burd et al 2018,Site_1,Notawohka Creek,2016-07-15,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321,km,Dfc,Burn,3,Individual,28.91534392,mg_C_L,NA,NA,NA,NA,NA,NA,Figure 4,This paper is from Northwest Territories of Canada and is in burned and unburned sites in peatland-rich catchments. Just want to make a note to make sure that these regimes arent different enough from the other ones that I would have to toss this out. Data is from Figure 4 is extracted using the digitizer tool.,321,28.91534392,NA,2407.6056549670493,NA,15,FALSE,28.91534392,NA,2016,7,15
Burd et al 2018,Site_1,Notawohka Creek,2016-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,28.756613760666667,NA,2016,7,16
Burd et al 2018,Site_1,Notawohka Creek,2016-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,28.597883601333336,NA,2016,7,17
Burd et al 2018,Site_1,Notawohka Creek,2016-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,28.439153442000002,NA,2016,7,18
Burd et al 2018,Site_1,Notawohka Creek,2016-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,28.280423282666668,NA,2016,7,19
Burd et al 2018,Site_1,Notawohka Creek,2016-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,28.121693123333333,NA,2016,7,20
Burd et al 2018,Site_1,Notawohka Creek,2016-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.962962964000003,NA,2016,7,21
Burd et al 2018,Site_1,Notawohka Creek,2016-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.80423280466667,NA,2016,7,22
Burd et al 2018,Site_1,Notawohka Creek,2016-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.645502645333334,NA,2016,7,23
Burd et al 2018,Site_1,Notawohka Creek,2016-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.486772486,NA,2016,7,24
Burd et al 2018,Site_1,Notawohka Creek,2016-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.32804232666667,NA,2016,7,25
Burd et al 2018,Site_1,Notawohka Creek,2016-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.169312167333334,NA,2016,7,26
Burd et al 2018,Site_1,Notawohka Creek,2016-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,27.010582008,NA,2016,7,27
