Site,comid,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs
Middle_Fork,14997923,32.35,0,0,64.61,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0
North_Fork,14997117,21.3,0,0,78.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,22957705,1.09,94.37,0,0,0,0,0,0,3.14,0,0,0,0,0,0,1.4000000000000001,0,0
Pinchot,22957733,4.11,89.82000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0
Fish_Creek,22958009,0,89.22,0,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0
Lower_MacDonald_Creek,22957903,25.09,60.24,0,0,0,0,0,2.44,2.44,0,0,0,0,0,0,2.44,0,7.34
Upper_MacDonald_Creek,22957933,39.58,52.53,0,0,0,0,0,0,3.9000000000000004,0,0,0,0,0,0,3.72,0,0.27
DS1,2889268,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS2,2889346,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS3,2889356,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US1,2889272,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US2,2889272,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crane_Creek,11750409,0,75.33,0,24.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wash_Branch,11750421,0,45.480000000000004,0,54.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control,8943655,0,0,0,61.03,0,0,0,0,38.97,0,0,0,0,0,0,0,0,0
Site_1,8943617,0,0,0,21.68,0,0,0,0,78.32000000000001,0,0,0,0,0,0,0,0,0
Site_2,8943617,0,0,0,21.68,0,0,0,0,78.32000000000001,0,0,0,0,0,0,0,0,0
Camas_Creek,23075361,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grade_Creek,23074473,0,0,0,99.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
Rocky_Fire,8009327,0,54.900000000000006,0,16.25,6.95,0,0,0,0,0,0,0,0,0,0,14.9,0,7
Wragg_Fire,15032969,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBR,2899241,0,0.01,0,90.73,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0
PSF,2899449,0,0.01,0,91.85000000000001,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0
PNF,2900989,0,0.31,0,93.84,0,0,0,0,5.8500000000000005,0,0,0,0,0,0,0,0,0
Benjamin_Slough,10349048,5.12,16.69,0,3.58,0,0,0,0,0,0,0,0,0,0,74.61,0,0,0
Hobble_Creek_Lower,10348934,1.3,83.87,0,0,0,0,0,0,6.48,0,0,0,0,0,5.24,3.11,0,0
Hobble_Creek_Upper,10348934,1.3,83.87,0,0,0,0,0,0,6.48,0,0,0,0,0,5.24,3.11,0,0
Mill_Race,10376606,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,97.65,0,0,0
Mitsubishi_Race,10329067,5.14,25.19,0,0,0,0,0,0,0,0,0,0,0,0,69.66,0,0,0
Provo_River,10376192,5.5,39.14,0,22.990000000000002,0,0,0,0,12.27,0,0,0,0,0,3.24,16.86,0,0
Spanish_Fork_Lower,10349108,0.73,80.18,0,5.94,0,0,0,0,1.01,0,0,0,0,0,4.54,7.61,0,0
Spanish_Fork_Upper,10349244,0.64,82.18,0,7.2700000000000005,0,0,0,0,0,0,0,0,0,0,1.18,8.72,0,0
