Study_ID,Comparison_ID,Pair,Site,Sampling_Date,latitude,longitude,comid,Burn_Unburn,Climate,DOC_Interp_mg_C_L,NO3_Interp_mg_N_L,Area_watershed_km,maxelevsmo,slope,tmax8110ws,tmean8110ws,tmin8110ws,forest_cover,urban_cover,grassland_cover,wetland_cover,ag_cover,omws,rckdepws,pctcarbresidws,pctnoncarbresidws,pctsilicicws,glacial_till,pctsallakews,bfiws,permws,runoffws,burn_percent_fire_year,burn_sev_high,burn_sev_mod,burn_sev_low,Time_Since_Fire
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.2766052057910902,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,1.09456766140554,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-28,34.475086,-120.14228,17594741,Burn,BSk,NA,0.77599710891213,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,2.1323455837719,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,2.7149569004501997,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,2.8788760436625003,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,2.8516208490756,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,2.7242585835675,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,2.5422743855417997,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,2.4877397474496,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,2.2512063622608,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,2.0419863679425,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,1.8873834569184,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-29,34.475086,-120.14228,17594741,Burn,BSk,NA,1.8146334240804003,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,1.6144968782166,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,1.5417225978609,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,1.36881699892623,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,1.1231080212139202,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,1.6238664574650001,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,0.91377163474863,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,1.7604528129132,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,2.0700223617339,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,1.8424657308792,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,1.7423489615112002,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,1.8607199222136,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,2.2976953837551,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-30,34.475086,-120.14228,17594741,Burn,BSk,NA,2.2523993832732003,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-31,34.475086,-120.14228,17594741,Burn,BSk,NA,2.6075413635222,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-31,34.475086,-120.14228,17594741,Burn,BSk,NA,2.5257272819247003,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-31,34.475086,-120.14228,17594741,Burn,BSk,NA,2.4530111978526,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-31,34.475086,-120.14228,17594741,Burn,BSk,NA,2.343888574608,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-31,34.475086,-120.14228,17594741,Burn,BSk,NA,2.1711284651217,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
Coombs & Melack; 2013,Coombs_Melack_2013_C3,Site_3,Arroyo Hondo,2004-12-31,34.475086,-120.14228,17594741,Burn,BSk,NA,2.0529417917168997,10.85,2708,0.0195175,21.1935442826,16.3194393942,11.4404164252,44.94,1.4,0.97,0.13,0.1,2.540775082072224,52.37970347812149,0,100,0,0,0,28,2.506693380349415,127.9431,16.4842,0.54,2.65,7.91,0
