Study_ID,response_var,Climate,Biome,Effect_size,Effect_size_pair,Time_Since_Fire,Site,comid,totdasqkm,streamorde,maxelevraw,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,year,burn_percentage,grouped_percentage,burn_percentage_group
Murphy et al. 2015,NO3_Interp,Cfb,Temperate,1.6229567188536114,lnR2,2,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2015,NO3_Interp,Cfb,Temperate,2.1167271828264864,lnR3,2,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2015,NO3_Interp,Cfb,Temperate,1.1134630802037473,lnR1,3,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2015,NO3_Interp,Cfb,Temperate,2.138023384509159,lnR2,3,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2015,NO3_Interp,Cfb,Temperate,1.1987594531267192,lnR3,3,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,-0.9251679798500448,lnR1,0,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,-0.5401482686656407,lnR2,0,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.34874637041195555,lnR1,1,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.4924902954548207,lnR2,1,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,-0.5324776921953114,lnR3,1,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.4896719200329616,lnR1,2,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,1.0609399607508578,lnR2,2,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.6606550881027107,lnR3,2,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.5260874760635659,lnR1,3,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.9631628551436824,lnR2,3,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.5319120776509874,lnR3,3,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.10679525211943049,lnR1,4,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.3707771777527453,lnR2,4,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,-0.04505357676425826,lnR3,4,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.27085562181965056,lnR1,5,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.5277273450124165,lnR2,5,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,NO3_Interp,Cfb,Temperate,0.13000465508024311,lnR3,5,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Writer et al. 2014,NO3_Interp,Dfb,Cold,-0.22445633786858216,lnR1,0,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,MTBS_2012Ws,16.718700000000002,2,11-20
Writer et al. 2014,NO3_Interp,Dfb,Cold,-0.1726924417168119,lnR2,0,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,MTBS_2012Ws,1.5243,1,0-10
Writer et al. 2014,NO3_Interp,Dfb,Cold,-0.73752899074672,lnR1,1,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,MTBS_2012Ws,16.718700000000002,2,11-20
Writer et al. 2014,NO3_Interp,Dfb,Cold,0.6342845717183738,lnR2,1,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,MTBS_2012Ws,1.5243,1,0-10
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,1.911426272610421,lnR1,1,Red_Bench_Creek,22950879,1.9386,1,-9998,124759,137433,124759,0,0.0664604,MTBS_1988Ws,100,10,91-100
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,1.872308461156119,lnR2,1,Red_Meadow_Creek,22949989,77.9949,3,-9998,109888,113621,109888,0,0.02185597,MTBS_1988Ws,24.087,3,21-30
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,2.332128722301076,lnR3,1,Akokala_Creek,22949619,105.8112,3,-9998,108366,109810,108366,0,0.00550514,MTBS_1988Ws,13.8379,2,11-20
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,2.4314632577693227,lnR5,1,Quartz_Creek,22949475,136.8477,3,-9998,104970,108277,105155,0,0.01675791,MTBS_1988Ws,27.0952,3,21-30
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,0.9052735213660048,lnR1,2,Red_Bench_Creek,22950879,1.9386,1,-9998,124759,137433,124759,0,0.0664604,MTBS_1988Ws,100,10,91-100
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,1.7931305712867058,lnR2,2,Red_Meadow_Creek,22949989,77.9949,3,-9998,109888,113621,109888,0,0.02185597,MTBS_1988Ws,24.087,3,21-30
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,2.2632756340805606,lnR3,2,Akokala_Creek,22949619,105.8112,3,-9998,108366,109810,108366,0,0.00550514,MTBS_1988Ws,13.8379,2,11-20
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,2.1956752619491127,lnR5,2,Quartz_Creek,22949475,136.8477,3,-9998,104970,108277,105155,0,0.01675791,MTBS_1988Ws,27.0952,3,21-30
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,0.5730656823751883,lnR1,3,Red_Bench_Creek,22950879,1.9386,1,-9998,124759,137433,124759,0,0.0664604,MTBS_1988Ws,100,10,91-100
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,2.123237518978183,lnR2,3,Red_Meadow_Creek,22949989,77.9949,3,-9998,109888,113621,109888,0,0.02185597,MTBS_1988Ws,24.087,3,21-30
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,1.1968588798283115,lnR3,3,Akokala_Creek,22949619,105.8112,3,-9998,108366,109810,108366,0,0.00550514,MTBS_1988Ws,13.8379,2,11-20
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,1.2844252245417789,lnR4,3,Bowman_Creek,22949571,137.0853,3,-9998,109364,110082,109440,0,0.01030497,MTBS_1988Ws,5.7229,1,0-10
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,1.4865638267876355,lnR5,3,Quartz_Creek,22949475,136.8477,3,-9998,104970,108277,105155,0,0.01675791,MTBS_1988Ws,27.0952,3,21-30
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,0.6206869330306183,lnR1,4,Red_Bench_Creek,22950879,1.9386,1,-9998,124759,137433,124759,0,0.0664604,MTBS_1988Ws,100,10,91-100
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,2.355939128240543,lnR2,4,Red_Meadow_Creek,22949989,77.9949,3,-9998,109888,113621,109888,0,0.02185597,MTBS_1988Ws,24.087,3,21-30
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,1.144040408000032,lnR3,4,Akokala_Creek,22949619,105.8112,3,-9998,108366,109810,108366,0,0.00550514,MTBS_1988Ws,13.8379,2,11-20
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,0.5376175802346618,lnR4,4,Bowman_Creek,22949571,137.0853,3,-9998,109364,110082,109440,0,0.01030497,MTBS_1988Ws,5.7229,1,0-10
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,0.16719947859094442,lnR1,5,Red_Bench_Creek,22950879,1.9386,1,-9998,124759,137433,124759,0,0.0664604,MTBS_1988Ws,100,10,91-100
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,2.4331464456086973,lnR2,5,Red_Meadow_Creek,22949989,77.9949,3,-9998,109888,113621,109888,0,0.02185597,MTBS_1988Ws,24.087,3,21-30
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,1.464134057717891,lnR3,5,Akokala_Creek,22949619,105.8112,3,-9998,108366,109810,108366,0,0.00550514,MTBS_1988Ws,13.8379,2,11-20
Hauer & Spencer 1998,NO3_Interp,Dfc,Cold,0.8274961058239492,lnR4,5,Bowman_Creek,22949571,137.0853,3,-9998,109364,110082,109440,0,0.01030497,MTBS_1988Ws,5.7229,1,0-10
Crandall et al. 2021,NO3_Interp,Csa,Temperate,-4.246086967895374,lnR2,0,Payson,10350360,70.5753,3,-9998,156372,163694,156372,0,0.03599803,MTBS_2008Ws,90,9,81-90
"Mast & Clow, 2008",DOC_Interp,Dfc,Cold,-0.05198944083147036,lnR1,0,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,MTBS_2003Ws,55.8481,6,51-60
"Mast & Clow, 2008",DOC_Interp,Dfc,Cold,-0.23267430480315815,lnR1,1,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,MTBS_2003Ws,55.8481,6,51-60
"Mast & Clow, 2008",DOC_Interp,Dfc,Cold,-0.05485661026893528,lnR1,2,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,MTBS_2003Ws,55.8481,6,51-60
"Mast & Clow, 2008",DOC_Interp,Dfc,Cold,-0.33386212088645906,lnR1,3,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,MTBS_2003Ws,55.8481,6,51-60
"Mast & Clow, 2008",DOC_Interp,Dfc,Cold,-0.06876044186758228,lnR1,4,Coal,22957705,96.5538,3,-9998,109592,115107,109637,0,0.02580188,MTBS_2003Ws,55.8481,6,51-60
Murphy et al. 2015,DOC_Interp,Cfb,Temperate,-0.02209144774333893,lnR1,1,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2015,DOC_Interp,Cfb,Temperate,-0.09143869394625465,lnR2,1,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2015,DOC_Interp,Cfb,Temperate,-0.4759788799445507,lnR3,1,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2015,DOC_Interp,Cfb,Temperate,-0.30682413734353803,lnR1,2,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2015,DOC_Interp,Cfb,Temperate,-0.35352180878763056,lnR2,2,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2015,DOC_Interp,Cfb,Temperate,-0.41287873547224674,lnR3,2,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2015,DOC_Interp,Cfb,Temperate,-0.3312863465111103,lnR1,3,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2015,DOC_Interp,Cfb,Temperate,-0.4227882497149223,lnR2,3,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2015,DOC_Interp,Cfb,Temperate,-0.5499098148014181,lnR3,3,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.19586948633799223,lnR1,0,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.02058262147733873,lnR2,0,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.09253034556904192,lnR1,1,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.2794571534661146,lnR2,1,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.5290874956151702,lnR3,1,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.4059504771372809,lnR1,2,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.42051599123248457,lnR2,2,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.504700788827816,lnR3,2,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.4838929792642086,lnR1,3,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.5412446599785048,lnR2,3,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.6939952120636859,lnR3,3,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.3881077782646473,lnR1,4,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.5762560227751916,lnR2,4,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.7185013536732262,lnR3,4,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.3676420649753068,lnR1,5,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,MTBS_2010Ws,16.3095,2,11-20
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.5510697334216398,lnR2,5,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,MTBS_2010Ws,27.1144,3,21-30
Murphy et al. 2018,DOC_Interp,Cfb,Temperate,-0.7218292413374722,lnR3,5,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,MTBS_2010Ws,27.1121,3,21-30
Wagner et al. 2015,DOC_Interp,Dfb,Cold,-0.4217573948728868,lnR1,1,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,MTBS_2012Ws,1.5243,1,0-10
Wagner et al. 2015,DOC_Interp,Dfb,Cold,-0.6091057775083416,lnR2,1,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,MTBS_2012Ws,16.718700000000002,2,11-20
Writer et al. 2014,DOC_Interp,Dfb,Cold,-0.3651480585147016,lnR1,0,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,MTBS_2012Ws,16.718700000000002,2,11-20
Writer et al. 2014,DOC_Interp,Dfb,Cold,-0.4623748929438658,lnR2,0,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,MTBS_2012Ws,1.5243,1,0-10
Writer et al. 2014,DOC_Interp,Dfb,Cold,-0.619805853304341,lnR1,1,PNF,2900989,1254.2697,5,-9998,163245,165529,163245,0,0.00900986,MTBS_2012Ws,16.718700000000002,2,11-20
Writer et al. 2014,DOC_Interp,Dfb,Cold,-0.3994634277186648,lnR2,1,PSF,2899449,693.8973,4,-9998,199741,205058,199985,0,0.01344909,MTBS_2012Ws,1.5243,1,0-10
Crandall et al. 2021,DOC_Interp,Csa,Temperate,-0.5012324665111016,lnR2,0,Payson,10350360,70.5753,3,-9998,156372,163694,156372,0,0.03599803,MTBS_2008Ws,90,9,81-90
