Study_ID,Fire_name,Fire_year,Site,comid,totdasqkm,streamorde,maxelevraw,minelevraw,maxelevsmo,minelevsmo,elevfixed,slope,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size,number_of_burn,State,group,latitude,longitude
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,2,NO3_Interp,1.6229567188536114,3,Colorado,5,40.041668,-105.364823
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,2,NO3_Interp,2.1167271828264864,3,Colorado,5,40.0155,-105.324566
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,3,NO3_Interp,1.1134630802037473,3,Colorado,5,40.039046,-105.393878
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,3,NO3_Interp,2.138023384509159,3,Colorado,5,40.041668,-105.364823
Murphy et al. 2015,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,3,NO3_Interp,1.1987594531267192,3,Colorado,5,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,0,DOC_Interp,-0.19586948633799223,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,0,DOC_Interp,-0.02058262147733873,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,1,DOC_Interp,-0.09253034556904192,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,1,DOC_Interp,-0.2794571534661146,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,1,DOC_Interp,-0.5290874956151702,NA,NA,NA,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,2,DOC_Interp,-0.4059504771372809,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,2,DOC_Interp,-0.42051599123248457,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,2,DOC_Interp,-0.504700788827816,NA,NA,NA,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,3,DOC_Interp,-0.4838929792642086,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,3,DOC_Interp,-0.5412446599785048,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,3,DOC_Interp,-0.6939952120636859,NA,NA,NA,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,4,DOC_Interp,-0.3881077782646473,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,4,DOC_Interp,-0.5762560227751916,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,4,DOC_Interp,-0.7185013536732262,NA,NA,NA,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,5,DOC_Interp,-0.3676420649753068,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,5,DOC_Interp,-0.5510697334216398,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,5,DOC_Interp,-0.7218292413374722,NA,NA,NA,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,0,NO3_Interp,-0.9251679798500448,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,0,NO3_Interp,-0.5401482686656407,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,1,NO3_Interp,0.34874637041195555,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,1,NO3_Interp,0.4924902954548207,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,1,NO3_Interp,-0.5324776921953114,NA,NA,NA,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,2,NO3_Interp,0.4896719200329616,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,2,NO3_Interp,1.0609399607508578,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,2,NO3_Interp,0.6606550881027107,NA,NA,NA,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,3,NO3_Interp,0.5260874760635659,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,3,NO3_Interp,0.9631628551436824,NA,NA,NA,40.041668,-105.364823
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,-9998,174700,174884,174884,1,1e-5,27.1121,Cfb,Temperate,3,NO3_Interp,0.5319120776509874,NA,NA,NA,40.0155,-105.324566
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,-9998,200680,219187,201169,0,0.03861551,16.3095,Cfb,Temperate,4,NO3_Interp,0.10679525211943049,NA,NA,NA,40.039046,-105.393878
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,-9998,174832,201169,174884,0,0.03894074,27.1144,Cfb,Temperate,4,NO3_Interp,0.3707771777527453,NA,NA,NA,40.041668,-105.364823
