predictor_1,predictor_2,rho
Area_watershed_km,urban_cover,-0.09335379096578318
post_fire_year,precip8110ws,-0.09221469139681292
burn_percent_fire_year,precip8110ws,-0.0905049321246257
burn_percent_fire_year,permws,-0.09034800398091743
forest_cover,maxelevsmo,-0.08762130483611498
glacial_till,slope,-0.08676315799766722
post_fire_year,rckdepws,-0.08670352919632705
forest_cover,post_fire_year,-0.08559109538563757
omws,rckdepws,0.08226740656625173
ag_cover,urban_cover,-0.08020415112766541
burn_percent_fire_year,tmean8110ws,0.07444797177026927
forest_cover,urban_cover,0.07102520154113484
slope,tmean8110ws,-0.06921471344052249
burn_percent_fire_year,grassland_cover,0.06703018999406757
forest_cover,rckdepws,-0.06449032645761102
bfiws,burn_sev_high,0.0633656238287593
burn_sev_high,grassland_cover,0.061787745221184374
clayws,glacial_till,-0.05998742627691359
rckdepws,wetland_cover,-0.05955202043077079
clayws,wetland_cover,-0.05754320054852303
clayws,slope,-0.0540639145733434
forest_cover,wetland_cover,0.05339947059977644
glacial_till,post_fire_year,-0.04967953961320774
post_fire_year,wetland_cover,-0.04959972885423988
clayws,omws,0.04936472907248302
bfiws,precip8110ws,0.048713425651500115
grassland_cover,post_fire_year,0.04852903078277516
burn_sev_high,precip8110ws,-0.04621762212415705
bfiws,wetland_cover,-0.04482003443287076
bfiws,post_fire_year,0.04046784755950551
forest_cover,omws,-0.03800858443049898
burn_percent_fire_year,omws,-0.037327034827209095
bfiws,burn_percent_fire_year,0.03557740932828761
slope,wetland_cover,0.028795915556606082
burn_percent_fire_year,rckdepws,0.0262095516827498
bfiws,glacial_till,0.026080405330562925
forest_cover,glacial_till,-0.025928965437714398
bfiws,permws,-0.024360631622027815
glacial_till,permws,-0.023624960730782293
Area_watershed_km,runoffws,0.020190659551153456
bfiws,omws,0.019961291522593884
burn_sev_high,permws,-0.016692922562144427
grassland_cover,wetland_cover,0.016271281764845984
burn_sev_high,tmean8110ws,0.014768232543737792
Area_watershed_km,rckdepws,-0.011882404308586437
forest_cover,precip8110ws,0.01176949501153382
maxelevsmo,tmean8110ws,-0.011715722387985548
Area_watershed_km,omws,-0.010047201239291537
ag_cover,wetland_cover,-0.00822462047819457
ag_cover,forest_cover,-0.005788141041669584
burn_sev_high,rckdepws,-0.00547700938089459
post_fire_year,runoffws,-0.0053240791677038185
bfiws,maxelevsmo,0.0030554399010766027
ag_cover,grassland_cover,0.001076515337739386
