"","Study_ID","Site","Sampling_Date","Latitude","Longitude","Area_watershed_km","Pair","Climate","Burn_Unburn","Time_Since_Fire","DOC_uM_C","NO3_uM_N","NO3_Interp","DOC_Interp"
"127","Rhea et al. 2021","B3",2017-07-15,NA,NA,8.33,"Site_3","Dfc","Burn",15,99.1820541916381,0.431579380716254,0.431579380716254,99.1820541916381
"128","Rhea et al. 2021","B3",2017-07-16,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.503734058082677,101.937111252054
"129","Rhea et al. 2021","B3",2017-07-17,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.5758887354491,104.692168312471
"130","Rhea et al. 2021","B3",2017-07-18,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.648043412815523,107.447225372887
"131","Rhea et al. 2021","B3",2017-07-19,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.720198090181946,110.202282433303
"132","Rhea et al. 2021","B3",2017-07-20,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.792352767548369,112.957339493719
"133","Rhea et al. 2021","B3",2017-07-21,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.864507444914792,115.712396554136
"134","Rhea et al. 2021","B3",2017-07-22,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.936662122281215,118.467453614552
"135","Rhea et al. 2021","B3",2017-07-23,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.00881679964764,121.222510674968
"136","Rhea et al. 2021","B3",2017-07-24,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.08097147701406,123.977567735384
"137","Rhea et al. 2021","B3",2017-07-25,NA,NA,8.33,"Site_3","Dfc","Burn",15,126.732624795801,1.15312615438048,1.15312615438048,126.732624795801
"138","Rhea et al. 2021","B3",2017-07-26,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.11992774047923,141.002407513431
"139","Rhea et al. 2021","B3",2017-07-27,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.08672932657798,155.272190231062
"140","Rhea et al. 2021","B3",2017-07-28,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.05353091267673,169.541972948693
"141","Rhea et al. 2021","B3",2017-07-29,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,1.02033249877548,183.811755666324
"142","Rhea et al. 2021","B3",2017-07-30,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.987134084874232,198.081538383954
"143","Rhea et al. 2021","B3",2017-07-31,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.953935670972982,212.351321101585
"144","Rhea et al. 2021","B3",2017-08-01,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.920737257071731,226.621103819216
"145","Rhea et al. 2021","B3",2017-08-02,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.887538843170481,240.890886536846
"146","Rhea et al. 2021","B3",2017-08-03,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.854340429269231,255.160669254477
"147","Rhea et al. 2021","B3",2017-08-04,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.82114201536798,269.430451972108
"148","Rhea et al. 2021","B3",2017-08-05,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.78794360146673,283.700234689739
"149","Rhea et al. 2021","B3",2017-08-06,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.75474518756548,297.970017407369
"150","Rhea et al. 2021","B3",2017-08-07,NA,NA,8.33,"Site_3","Dfc","Burn",15,312.239800125,0.72154677366423,0.72154677366423,312.239800125
"151","Rhea et al. 2021","B3",2017-08-08,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.761164411950612,291.806460265103
"152","Rhea et al. 2021","B3",2017-08-09,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.800782050236994,271.373120405206
"153","Rhea et al. 2021","B3",2017-08-10,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.840399688523376,250.939780545309
"154","Rhea et al. 2021","B3",2017-08-11,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.880017326809758,230.506440685413
"155","Rhea et al. 2021","B3",2017-08-12,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.91963496509614,210.073100825516
"156","Rhea et al. 2021","B3",2017-08-13,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.959252603382522,189.639760965619
"157","Rhea et al. 2021","B3",2017-08-14,NA,NA,8.33,"Site_3","Dfc","Burn",15,NA,NA,0.998870241668905,169.206421105722
"158","Rhea et al. 2021","B3",2017-08-15,NA,NA,8.33,"Site_3","Dfc","Burn",15,148.773081245825,1.03848787995529,1.03848787995529,148.773081245825
"159","Rhea et al. 2021","U1",2017-06-15,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,433.462310766663,0.0202302850073116,0.0202302850073116,433.462310766663
"160","Rhea et al. 2021","U1",2017-06-16,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,430.373307394884
"161","Rhea et al. 2021","U1",2017-06-17,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,427.284304023105
"162","Rhea et al. 2021","U1",2017-06-18,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,424.195300651326
"163","Rhea et al. 2021","U1",2017-06-19,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,421.106297279547
"164","Rhea et al. 2021","U1",2017-06-20,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,418.017293907768
"165","Rhea et al. 2021","U1",2017-06-21,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,414.928290535989
"166","Rhea et al. 2021","U1",2017-06-22,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,411.83928716421
"167","Rhea et al. 2021","U1",2017-06-23,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,408.750283792431
"168","Rhea et al. 2021","U1",2017-06-24,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,405.661280420652
"169","Rhea et al. 2021","U1",2017-06-25,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,402.572277048873
"170","Rhea et al. 2021","U1",2017-06-26,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,399.483273677094
"171","Rhea et al. 2021","U1",2017-06-27,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,396.394270305315
"172","Rhea et al. 2021","U1",2017-06-28,40.26237,-105.590804,7.04,"Control","Dfc","Unburn",5,NA,NA,0.0202302850073116,393.305266933536
