Study_ID,Fire_name,Fire_year,site,comid,totdasqkm,streamorde,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Rocky Fire,8009327,2390.2362,6,12.8141,Csa,Temperate,1,DOC_Interp,-3.5873302571008643
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,70.0648,Csa,Temperate,1,DOC_Interp,-2.781397262801667
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Rocky Fire,8009327,2390.2362,6,12.8141,Csa,Temperate,2,DOC_Interp,-3.488635457510704
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,70.0648,Csa,Temperate,2,DOC_Interp,-2.8617192837255008
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Rocky Fire,8009327,2390.2362,6,12.8141,Csa,Temperate,1,NO3_Interp,-2.343905190475006
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,70.0648,Csa,Temperate,1,NO3_Interp,-1.4038784576475674
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Rocky Fire,8009327,2390.2362,6,12.8141,Csa,Temperate,2,NO3_Interp,-2.523624055603431
Uzun et al. 2020,Rocky Fire_Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,70.0648,Csa,Temperate,2,NO3_Interp,-1.9038360329879964
Wagner et al. 2015,High Park Fire,2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,1,DOC_Interp,-0.4217573948728868
Wagner et al. 2015,High Park Fire,2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,1,DOC_Interp,-0.6091057775083416
Writer et al. 2014,Hewlett Gulch_High Park fire,2012_2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,0,DOC_Interp,-0.3651480585147016
