Study_ID,Fire_name,Fire_year,site,comid,totdasqkm,streamorde,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size,Lat,Long,number_of_burn,State,group
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,0,NO3_Interp,-0.9251679798500448,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,0,NO3_Interp,-0.5401482686656407,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,0,NO3_Interp,0.34874637041195555,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,0,NO3_Interp,0.4924902954548207,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,0,NO3_Interp,-0.5324776921953114,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,2,NO3_Interp,0.4896719200329616,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,2,NO3_Interp,1.0609399607508578,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,2,NO3_Interp,0.6606550881027107,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS1,2889268,41.4918,2,16.3095,Cfb,Temperate,3,NO3_Interp,0.5260874760635659,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS2,2889346,62.9001,2,27.1144,Cfb,Temperate,3,NO3_Interp,0.9631628551436824,40.03333,-105.4167,NA,NA,NA
Murphy et al. 2018,Fourmile Canyon Fire,2010,DS3,2889356,62.9055,2,27.1121,Cfb,Temperate,3,NO3_Interp,0.5319120776509874,40.03333,-105.4167,NA,NA,NA
