Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Publication Stage,Open Access,Source,EID
Dissolved organic carbon in a northern boreal landscape,"Moore, TR",NA,NA,NA,GLOBAL BIOGEOCHEMICAL CYCLES,DEC 4 2003,2003,17,4,NA,NA,NA,NA,NA,1109,10.1029/2003GB002050,NA,NA,68,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acid rain reduced in Eastern United States,"Lynch, JA; Bowersox, VC; Grimm, JW",NA,NA,NA,ENVIRONMENTAL SCIENCE & TECHNOLOGY,MAR 15 2000,2000,34,6,NA,NA,NA,940,949,NA,10.1021/es9901258,NA,NA,68,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissolved black carbon in grassland streams: Is there an effect of recent fire history?,"Ding, Yan; Yamashita, Youhei; Dodds, Walter K.; Jaffe, Rudolf",NA,NA,NA,CHEMOSPHERE,MAR 2013,2013,90,10,NA,NA,NA,2557,2562,NA,10.1016/j.chemosphere.2012.10.098,NA,NA,67,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHOSPHORUS AND NITROGEN DYNAMICS IN STREAMS DURING A WILDFIRE,"SPENCER, CN; HAUER, FR",NA,NA,NA,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,MAR 1991,1991,10,1,NA,NA,NA,24,30,NA,10.2307/1467761,NA,NA,67,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sources and the flux pattern of dissolved carbon in rivers of the Yenisey basin draining the Central Siberian Plateau,"Prokushkin, A. S.; Pokrovsky, O. S.; Shirokova, L. S.; Korets, M. A.; Viers, J.; Prokushkin, S. G.; Amon, R. M. W.; Guggenberger, G.; McDowell, W. H.",NA,NA,NA,ENVIRONMENTAL RESEARCH LETTERS,OCT-DEC 2011,2011,6,4,NA,NA,NA,NA,NA,45212,10.1088/1748-9326/6/4/045212,NA,NA,66,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Effects of 2003 wildfires on stream chemistry in Glacier National Park, Montana","Mast, M. Alisa; Clow, David W.",NA,NA,NA,HYDROLOGICAL PROCESSES,DEC 30 2008,2008,22,26,NA,NA,NA,5013,5023,NA,10.1002/hyp.7121,NA,NA,66,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Legacy of a Severe Wildfire on Stream Nitrogen and Carbon in Headwater Catchments,"Rhoades, Charles C.; Chow, Alex T.; Covino, Timothy P.; Fegel, Timothy S.; Pierson, Derek N.; Rhea, Allison E.",NA,NA,NA,ECOSYSTEMS,APR 2019,2019,22,3,NA,NA,NA,643,657,NA,10.1007/s10021-018-0293-6,NA,NA,64,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mercury in the Lot-Garonne River system (France): Sources, fluxes and anthropogenic component","Schafer, J; Blanc, G; Audry, S; Cossa, D; Bossy, C",NA,NA,NA,APPLIED GEOCHEMISTRY,MAR 2006,2006,21,3,NA,NA,NA,515,527,NA,10.1016/j.apgeochem.2005.12.004,NA,NA,64,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
In-stream sources and links between particulate and dissolved black carbon following a wildfire,"Wagner, Sasha; Cawley, Kaelin M.; Rosario-Ortiz, Fernando L.; Jaffe, Rudolf",NA,NA,NA,BIOGEOCHEMISTRY,MAY 2015,2015,124,1-3,NA,NA,NA,145,161,NA,10.1007/s10533-015-0088-1,NA,NA,63,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The influence of fire and permafrost on sub-arctic stream chemistry during storms,"Petrone, K. C.; Hinzman, L. D.; Shibata, H.; Jones, J. B.; Boone, R. D.",NA,NA,NA,HYDROLOGICAL PROCESSES,FEB 15 2007,2007,21,4,NA,NA,NA,423,434,NA,10.1002/hyp.6247,NA,NA,63,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
