Sample number,Location,Collection Date/Time (MDT),Water level (m),Discharge method,Q (m3/s),SC (uS/cm),pH (lab),pH (field),T (field),Ca (mg/L),K (mg/L),Mg (mg/L),Na (mg/L),SiO2 (mg/L),Cl (mg/L),SO4 (mg/L),Alkalinity (mg HCO3/L),NO3 (mg NO3/L),NH4 (mg NH4/L),DOC (mg/L),SUVA (L/mg/m),TSS (mg/L)
11FS182,DS3,6/20/11 4:59,--,U,0.76,129,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,249
11FS183,DS3,6/20/11 5:19,--,U,0.79,124,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,219
11FW380,DS3,6/20/11 5:39,--,U,0.76,136,--,--,--,10.5,1.31,5.48,4.33,7.81,13.5,16,29.2,0.03,<0.09,3.8,2.45,172
11FS184,DS3,6/20/11 5:59,--,U,0.79,147,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,170
11FS185,DS3,6/20/11 6:19,--,U,0.76,158,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202
11FW381,DS3,6/20/11 6:39,--,U,0.79,159,--,--,--,11.9,1.33,6.72,4.75,8.03,18.4,18.3,29.5,<0.02,<0.09,--,--,173
11FS186,DS3,6/20/11 6:59,--,U,0.79,155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,182
11FS187,DS3,6/20/11 7:19,--,U,0.79,146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,175
11FS188,DS3,6/20/11 7:39,--,U,0.79,146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,172
11FS189,DS3,6/20/11 7:59,--,U,0.79,139,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,144
11FS190,DS3,6/20/11 8:19,--,U,0.79,123,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,125
11FS191,DS3,6/20/11 8:39,--,U,0.79,119,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,142
11FW382,DS3,6/20/11 8:59,--,U,0.79,116,--,--,--,9.29,1.07,4.68,3.77,8.26,9.7,14.2,27.2,0.13,<0.09,3.7,2.54,137
11FS192,DS3,6/20/11 9:19,--,U,0.79,111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,181
11FS193,DS3,6/20/11 9:39,--,U,0.76,106,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,145
11FS194,DS3,6/20/11 9:59,--,U,0.74,113,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100
11FS195,DS3,6/20/11 10:19,--,U,0.74,101,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,76
11FS196,DS3,6/20/11 10:39,--,U,0.74,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60
11FS197,DS3,6/20/11 10:59,--,U,0.71,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59
11FS198,DS3,6/20/11 11:19,--,U,0.71,99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54
11FS199,DS3,6/20/11 11:39,--,U,0.71,99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42
11FW375,DS3,6/20/11 16:00,--,U,0.65,92,--,8.08,12.8,8.29,0.85,3.46,3.42,8.75,4.6,12.9,26.8,0.08,<0.09,3.9,2.76,24
11FS200,DS3,6/20/11 20:00,--,U,0.59,95,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20
11FS201,DS3,6/21/11 0:00,--,U,0.57,95,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13
11FS202,DS3,6/21/11 4:00,--,U,0.57,94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15
11FS203,DS3,6/21/11 8:00,--,U,0.57,94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FS204,DS3,6/21/11 12:00,--,U,0.57,93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FS205,DS3,6/21/11 16:00,--,U,0.51,92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FS206,DS3,6/21/11 20:00,--,U,0.51,93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FS207,DS3,6/22/11 0:00,--,U,0.51,94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13
11FS208,DS3,6/22/11 4:00,--,U,0.54,94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11
11FW389,DS3,6/27/11 12:45,--,U,0.48,94,--,--,--,8.23,0.73,3.29,3.17,8.53,3.19,14.1,26.7,<0.02,<0.09,2,2.43,<6
11FW398,DS3,7/6/11 12:13,--,U,0.37,99,--,7.87,13.5,8.75,0.75,3.43,3.22,8.69,3.37,15.1,28.7,<0.02,<0.09,1.8,2.21,11
11FW406,DS3,7/7/11 19:43,--,U,0.51,112,--,--,--,9.04,1.31,3.5,4.34,8.11,5.88,14.8,30.1,<0.02,<0.09,5.9,1.26,--
11FW405,DS3,7/8/11 9:15,--,U,0.4,118,--,7.7,12.7,11.2,1.25,3.82,3.52,8.87,4.28,16.1,36.6,<0.02,<0.09,3,2.91,265
11FW426,DS3,7/14/11 12:47,--,U,0.42,210,--,7.82,14,20.2,2.89,6.43,5.03,10.2,8.21,38.3,50.4,1.08,0.13,4.5,2.9,"1,034"
11FW443,DS3,7/18/11 12:44,--,U,0.34,239,--,7.83,--,23.3,2.16,8.13,5.7,11.6,8.35,49.2,55.2,1.04,<0.09,3.3,2.77,420
11FW448,DS3,7/25/11 9:30,--,U,0.17,262,--,8,--,24.7,2.02,9.25,6.36,12.5,9.03,54.9,62.9,0.55,<0.09,2.4,2.48,115
11FW466,DS3,8/3/11 16:39,--,U,0.14,275,--,--,--,26.1,2.25,9.78,7.06,13.2,9.49,54.4,71.4,0.14,<0.09,2.5,2.21,62
11FW484,DS3,8/11/11 13:30,--,U,0.085,354,--,8.3,18.1,34.9,2.66,13.6,9.39,14,12.5,75.5,88.9,0.1,<0.09,2.8,2.04,17
11FW489,DS3,8/24/11 11:25,--,U,0.028,407,--,8.21,17.5,47.4,3.28,18,12.4,15.7,15.6,88.5,105,<0.02,<0.09,2.7,1.76,7
11FW494,DS3,9/7/11 14:10,--,U,0.093,385,--,8.05,12.6,42.7,4.87,16.9,11.1,11.9,24.3,75.5,82.1,1.35,<0.09,8,2.37,586
11FW500,DS3,9/15/11 8:31,--,U,0.04,466,--,7.98,11.2,50.2,3.92,22.2,12.4,14.3,30.1,97.5,99.6,0.65,<0.09,4.1,2.33,142
11FW505,DS3,9/21/11 13:37,--,U,0.022,487,--,7.95,11.6,51,3.17,22.2,13.2,16.6,20.1,115,115,0.28,<0.036,2.4,2.4,14
11FW511,DS3,10/3/11 9:10,--,M,0.019,508,--,7.84,9.7,52,3.38,22.1,15.2,14.3,19.6,117,119,<0.02,<0.036,2.8,2.02,--
11FW516,DS3,10/19/11 11:40,--,E,0.032,488,--,8.08,6.4,48,3.94,19.7,14.2,14,18,116,114,0.22,<0.036,3.8,1.69,<6
11FW522,DS3,10/31/11 12:10,--,M,0.032,491,--,7.93,6.2,46.3,2.92,18.6,13.5,14.3,17.3,112,107,<0.02,<0.036,2.9,1.85,<6
11FW527,DS3,11/28/11 11:05,--,M,0.03,462,--,7.74,2.2,47.9,2.72,18.9,13.8,13.8,18.1,123,101,0.12,<0.036,2.1,2.48,<6
11FW533,DS3,12/30/11 11:50,--,E,0.014,449,--,7.61,0.2,43.2,1.84,17.3,13.6,12.8,18,111,101,0.23,<0.05,2.02,3.23,<6
12FW109,DS3,2/8/12 11:00,--,E,0.014,566,--,7.31,1.2,49.6,2.56,20.1,17.2,12.1,22,119,101,0.7,<0.05,1.78,1.55,<6
12FW114,DS3,3/9/12 12:10,--,M,0.099,469,--,7.93,2.9,47.6,2.51,19.4,16.4,13.1,21.7,113,99,1.06,<0.05,1.89,1.25,35
12FW119,DS3,3/21/12 12:25,--,M,0.082,426,--,7.49,5.6,40.6,2.52,16.6,13.8,13,18.9,95.8,81.7,1.6,<0.05,2.08,1.83,14
12FW125,DS3,4/5/12 15:00,--,U,0.19,294,--,7.79,10.3,26.6,1.93,10.9,9.97,12,13.7,57.9,64.5,0.49,<0.05,2.44,1.98,35
12FW130,DS3,4/12/12 14:38,--,U,0.25,273,--,7.81,12.7,24.6,1.9,10.1,9.67,11.8,13.3,50.4,62.8,0.29,<0.05,2.5,1.97,21
12FW136,DS3,4/18/12 11:20,--,U,0.22,252,--,7.77,8.5,22.9,1.69,9.26,8.87,11.2,11.9,46.1,59,0.25,<0.05,2.01,2.05,11
12FW141,DS3,4/25/12 14:13,--,U,0.2,242,--,7.65,13,22.3,1.74,8.86,8.78,11.6,10.9,43.9,59.9,0.08,<0.05,2.03,2.14,13
12FW147,DS3,5/2/12 10:20,--,U,0.22,180.1,--,7.39,9.3,16.9,1.3,6.65,6.63,10.6,7.09,30.4,47.3,0.08,0.05,1.8,2.3,17
12FS221,DS3,5/7/12 19:22,--,U,0.25,178,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,287
12FW154,DS3,5/7/12 19:39,--,U,0.24,177,--,--,--,16.6,1.39,6.57,6.68,10.6,7.97,29.9,45.4,<0.02,<0.05,2.28,2.16,170
12FS001,DS3,5/7/12 19:59,--,U,0.24,177,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53
12FS002,DS3,5/7/12 20:19,--,U,0.25,177,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38
12FS003,DS3,5/7/12 20:39,--,U,0.24,176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40
12FS004,DS3,5/7/12 20:59,--,U,0.23,176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41
12FS005,DS3,5/7/12 21:19,--,U,0.24,176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,67
12FS006,DS3,5/7/12 21:39,--,U,0.23,175,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41
12FS007,DS3,5/7/12 21:59,--,U,0.24,175,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37
12FS008,DS3,5/7/12 22:19,--,U,0.24,175,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38
12FS009,DS3,5/7/12 22:39,--,U,0.24,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38
12FS010,DS3,5/7/12 22:59,--,U,0.24,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37
12FS011,DS3,5/7/12 23:19,--,U,0.23,174,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35
12FS012,DS3,5/7/12 23:39,--,U,0.25,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32
12FS013,DS3,5/7/12 23:59,--,U,0.23,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40
12FS014,DS3,5/8/12 0:19,--,U,0.23,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33
12FS015,DS3,5/8/12 0:39,--,U,0.23,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33
12FS016,DS3,5/8/12 0:59,--,U,0.24,172,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35
12FS017,DS3,5/8/12 1:19,--,U,0.23,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32
12FS018,DS3,5/8/12 1:39,--,U,0.23,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31
12FS019,DS3,5/8/12 1:59,--,U,0.23,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30
12FS020,DS3,5/8/12 2:19,--,U,0.22,172,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31
12FS021,DS3,5/8/12 2:39,--,U,0.23,172,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31
12FS022,DS3,5/8/12 2:59,--,U,0.22,173,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,31
12FW153,DS3,5/8/12 9:33,--,U,0.21,173,--,7.25,5.6,16.2,1.24,6.46,6.38,10.4,7.02,28.9,45,0.1,<0.05,1.71,2.4,21
12FW164,DS3,5/16/12 14:15,--,U,0.13,182.8,--,7.8,13.3,17.2,1.34,6.59,6.66,11,7.05,30.5,49.1,<0.02,<0.05,1.83,2.11,7
12FW176,DS3,5/23/12 11:42,--,U,0.15,174.9,--,7.58,11.3,16.7,1.3,6.27,6.37,10.8,6.43,28.9,46.9,<0.02,<0.05,1.68,2.14,14
12FW182,DS3,5/30/12 12:57,--,U,0.11,189.5,--,8.08,13.9,18.2,1.44,7.13,6.99,11.2,6.89,29.4,52.1,0.63,<0.05,1.68,2.14,8
12FW188,DS3,6/6/12 11:55,--,U,0.14,182.9,--,8.06,15,18.1,1.41,6.58,6.67,11.5,6.35,30.9,50.3,<0.02,<0.05,1.71,2.15,7
12FW193,DS3,6/13/12 12:40,--,U,0.071,215,--,8.12,15.9,21.1,1.72,7.87,7.9,12,7.78,37.8,59,<0.02,<0.05,1.73,2.15,<6
12FW207,DS3,6/20/12 11:53,--,U,0.018,280,--,8.11,16.1,25.8,2.06,10.1,10.2,13,11.8,47,75.1,0.11,<0.05,1.87,2.16,<6
12FW212,DS3,6/27/12 14:38,--,U,0.009,309,--,8.09,20.9,28.3,2.45,10.8,11.4,12,12.9,53.3,80.3,<0.02,<0.05,2.02,1.81,<6
12FW218,DS3,7/2/12 12:23,--,U,0.011,337,--,8.16,20.7,31,2.57,12.1,12.8,12.3,17.2,59.6,89,0.11,<0.05,2.07,2.32,<6
12FW220,DS3,7/5/12 17:37,--,U,0.71,335,--,--,--,29.9,4.86,11.4,13,9.01,21.6,56.8,74,1.22,0.1,6.91,2.16,"7,049"
12FS023,DS3,7/5/12 17:37,--,U,0.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW221,DS3,7/5/12 17:54,--,U,1.5,344,--,--,--,38.2,6.38,14.4,13.9,8.37,43,52.7,88.5,5.48,0.52,16.4,2.55,"19,964"
12FS024,DS3,7/5/12 17:54,--,U,1.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS025,DS3,7/5/12 18:14,--,U,0.88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS026,DS3,7/5/12 18:34,--,U,0.54,329,7.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"16,171"
12FS027,DS3,7/5/12 18:54,--,U,0.4,382,7.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"14,692"
12FS028,DS3,7/5/12 19:14,--,U,0.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW222,DS3,7/5/12 19:14,--,U,0.23,478,--,--,--,46.9,9.53,16.9,13,7.16,66.1,57.2,77.9,10.6,0.83,26.2,2.8,"17,662"
12FS029,DS3,7/5/12 19:34,--,U,0.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS030,DS3,7/5/12 19:54,--,U,0.18,437,7.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"17,650"
12FS031,DS3,7/5/12 20:14,--,U,0.18,427,7.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"19,129"
12FS032,DS3,7/5/12 20:34,--,U,0.15,401,7.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"17,650"
12FW223,DS3,7/5/12 20:54,--,U,0.13,395,--,--,--,39.9,9.78,13.2,12.4,7.42,39.5,51.9,82.9,12.4,0.75,27.9,3.14,"14,607"
12FS033,DS3,7/5/12 20:54,--,U,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS034,DS3,7/5/12 21:14,--,U,0.12,397,7.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"16,171"
12FS035,DS3,7/5/12 21:34,--,U,0.1,408,7.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"16,171"
12FS036,DS3,7/5/12 21:54,--,U,0.093,425,7.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"13,805"
12FS037,DS3,7/5/12 22:14,--,U,0.088,442,7.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"14,100"
12FS038,DS3,7/5/12 22:34,--,U,0.085,462,7.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"14,544"
12FS039,DS3,7/5/12 22:54,--,U,0.088,466,7.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"14,692"
12FW224,DS3,7/5/12 23:14,--,U,0.079,477,--,--,--,50.4,9.75,15.7,13.7,8.41,43,78.6,96.7,9.73,0.62,25.4,2.99,"8,424"
12FS040,DS3,7/5/12 23:14,--,U,0.079,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS041,DS3,7/5/12 23:34,--,U,0.068,471,7.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"12,917"
12FS042,DS3,7/5/12 23:54,--,U,0.059,467,7.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"10,847"
12FS043,DS3,7/6/12 0:14,--,U,0.054,452,7.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"11,290"
12FS044,DS3,7/6/12 0:34,--,U,0.051,446,7.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,705"
12FS045,DS3,7/6/12 0:54,--,U,0.04,442,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"7,297"
12FW225,DS3,7/6/12 1:14,--,U,0.048,441,--,--,--,46.3,8.28,14.8,12.1,9.37,29.1,84.4,91.5,6.98,0.49,20.5,2.91,"4,052"
12FS046,DS3,7/6/12 1:14,--,U,0.048,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW235,DS3,7/6/12 13:38,--,U,0.028,425,--,7.76,--,37.7,4.31,16.5,14,9.64,48.7,65.2,68.6,1.25,0.07,6.79,2.8,"4,048"
12FS078,DS3,7/6/12 13:38,--,U,0.028,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS079,DS3,7/6/12 13:58,--,U,0.028,425,7.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,670"
12FS080,DS3,7/6/12 14:18,--,U,0.028,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS081,DS3,7/6/12 14:38,--,U,0.028,442,7.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,670"
12FS082,DS3,7/6/12 14:53,--,U,0.028,431,7.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,522"
12FS083,DS3,7/7/12 3:13,--,U,0.16,402,7.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"6,558"
12FS084,DS3,7/7/12 3:33,--,U,0.16,358,7.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,600"
12FS085,DS3,7/7/12 3:53,--,U,0.16,347,7.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,043"
12FW236,DS3,7/7/12 4:13,--,U,0.14,304,--,7.72,--,27.4,3.47,11.3,9.7,10.4,24.3,52.5,63.8,0.93,<0.05,6.73,3.02,"4,191"
12FS086,DS3,7/7/12 4:13,--,U,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS087,DS3,7/7/12 4:33,--,U,0.15,303,7.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"3,156"
12FS088,DS3,7/7/12 4:51,--,U,0.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS089,DS3,7/7/12 4:53,--,U,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS090,DS3,7/7/12 5:13,--,U,0.15,300,7.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,268"
12FS091,DS3,7/7/12 5:33,--,U,0.16,293,7.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,677"
12FS092,DS3,7/7/12 5:53,--,U,0.16,294,7.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,677"
12FS093,DS3,7/7/12 6:13,--,U,0.15,283,7.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,529"
12FS094,DS3,7/7/12 6:33,--,U,0.16,278,7.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,529"
12FS095,DS3,7/7/12 6:53,--,U,0.16,272,7.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,248"
12FS096,DS3,7/7/12 7:13,--,U,0.16,266,7.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,174"
12FS097,DS3,7/7/12 7:33,--,U,0.16,264,7.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,831
12FS098,DS3,7/7/12 7:53,--,U,0.16,263,7.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,085"
12FS099,DS3,7/7/12 8:13,--,U,0.17,258,7.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,819
12FW237,DS3,7/7/12 8:33,--,U,0.17,253,--,7.78,--,22.8,2.94,9.07,7.57,11.4,15.1,42.5,60.8,0.48,<0.05,4.82,3.02,924
12FS100,DS3,7/7/12 8:33,--,U,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS101,DS3,7/7/12 8:53,--,U,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW254,DS3,7/11/12 13:59,--,U,0.28,203,--,8.03,15.8,18.7,1.57,7.41,6.43,13.4,8.12,36,52.3,0.59,<0.05,4.51,2.34,122
12FW260,DS3,7/18/12 12:45,--,U,0.16,230,--,8.16,18,20.6,1.62,8.22,7.11,13.4,10.4,42.3,57.6,0.37,<0.05,2.82,2.19,41
12FW273,DS3,7/25/12 16:25,--,U,0.11,235,--,7.9,19.9,21.8,1.75,8.6,7.66,13.5,9.33,43,64,0.21,<0.05,2.57,2.25,17
12FW278,DS3,7/30/12 16:42,--,U,1.6,228,--,--,--,22.3,3.07,8.48,8.2,11.7,12.8,42.6,61.8,0.31,0.05,5.33,2.25,"11,252"
12FS211,DS3,7/30/12 16:42,--,U,1.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW279,DS3,7/30/12 16:52,--,U,3.4,273,--,--,--,33.1,7.83,10.4,7.65,9.82,21.8,59.5,54.1,6.89,0.37,15.6,3.47,"67,542"
12FS212,DS3,7/30/12 16:52,--,U,3.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS213,DS3,7/30/12 17:12,--,U,1.8,729,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"94,558"
12FS214,DS3,7/30/12 17:32,--,U,1,752,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"118,222"
12FS215,DS3,7/30/12 17:52,--,U,0.65,653,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"97,516"
12FS216,DS3,7/30/12 18:12,--,U,0.48,549,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"81,247"
12FS217,DS3,7/30/12 18:32,--,U,0.37,489,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"63,499"
12FS218,DS3,7/30/12 18:52,--,U,0.31,466,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"51,667"
12FW280,DS3,7/30/12 19:12,--,U,0.31,416,--,--,--,46.9,7.07,14.7,10.2,6.93,28.2,111,38.2,4.98,0.12,11.8,2.9,"34,174"
12FS219,DS3,7/30/12 19:12,--,U,0.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FW284,DS3,7/31/12 10:56,--,U,0.1,244,--,8,16.7,22.5,2.34,8.44,7.4,12.6,10.6,44.1,61.8,0.43,<0.05,3.59,2.64,414
12FW291,DS3,8/15/12 9:45,--,U,0.023,342,--,8.15,14.9,31.6,2.17,12.3,10.1,13.8,14.8,73.8,86.7,<0.02,0.05,2.24,2.17,11
12FW297,DS3,9/20/12 10:20,--,U,0.012,419,--,8.32,11,42.2,2.852,16.6,14.5,13,20,95.7,106,<0.02,<0.05,2,2.08,<6
12FW302,DS3,11/1/12 10:48,--,M,0.029,405,--,8.02,5.3,41,2.59,16.5,12.7,13.8,16.975,74.9,97.6,0.1675,<0.05,2.24,1.85,<6
13FW005,DS3,1/24/13 12:03,--,E,0.014,468,--,7.65,0.1,44.4,2.32,18.1,15.8,11.9,23.1,110,93,0.4,<0.03,1.37,1.65,6
13FW011,DS3,3/21/13 13:08,--,E,0.027,486,--,7.84,5.8,45.5,2.4,18.9,16.6,11.5,25.4,114,84.1,0.32,<0.03,1.42,1.67,<6
13FW017,DS3,4/8/13 14:25,--,U,0.14,405,--,7.9,8.6,40,2.27,16.3,14.1,12,22.7,101,73.6,0.65,<0.03,1.87,1.75,13
13FW023,DS3,4/22/13 14:15,--,U,0.48,386,--,7.4,2.5,40,2.37,16.1,12.2,12.8,23.9,93.9,65.7,4.14,<0.03,3.37,2.1,461
13FW029,DS3,4/29/13 14:38,--,U,0.82,284,--,8.17,9.8,26.3,2.1,10.9,9.14,13.6,17.1,60,52.3,3.83,<0.03,4.83,2.37,281
13FW039,DS3,5/6/13 11:43,--,U,0.96,266,--,7.96,7,24.7,1.88,10.3,8.34,14,16.9,55.2,53.5,3.42,<0.03,4.94,2.42,75
13FW045,DS3,5/10/13 12:25,--,U,2.3,237,--,7.88,8,21.9,2.29,8.92,8.37,13.5,12.3,45.8,50.1,3.2,<0.03,7.34,2.47,503
13FW053,DS3,5/15/13 12:38,--,U,1.6,195,--,7.8,10.6,17.1,1.67,7.12,6.78,11.8,9.7,35.3,42.1,1.5,<0.03,6.13,2.45,45
13FW059,DS3,5/22/13 12:25,--,U,0.71,205,--,7.95,9.7,18.8,1.56,7.83,7.22,11.4,9.2,40.1,48.7,1,<0.03,4.14,2.28,14
13FW065,DS3,5/29/13 14:38,--,U,0.68,162.2,--,7.9,10.2,14.7,1.24,6.12,5.98,10.2,7,29.2,42.2,0.3,<0.03,3.37,2.4,15
13FW071,DS3,6/5/13 12:45,--,U,0.37,196,--,7.89,8.6,18,1.38,7.49,6.99,10.4,8.2,37.1,50.6,0.3,<0.03,2.9,2.24,7
13FW077,DS3,6/11/13 13:30,--,U,0.34,160,--,8.03,14.5,14.5,1.17,5.98,5.75,9.51,5.5,29.5,43.5,<0.03,<0.03,2.3,2.36,8
13FW083,DS3,6/19/13 13:30,--,U,0.23,201,--,7.99,15.1,18.5,1.4,7.69,6.9,10.1,6.9,38.9,54,<0.03,<0.03,2.14,2.06,7
13FW089,DS3,6/26/13 13:20,--,U,0.12,242,--,8.08,16.4,23.2,1.72,9.54,8.49,11.3,8.4,49.6,64.3,<0.03,<0.03,2.23,1.93,<6
13FW095,DS3,7/1/13 12:30,--,U,0.1,300,--,8.18,15.9,26.7,1.91,11,9.8,12,9.52,57.3,72.9,<0.03,<0.03,2.2,2,<6
13FW101,DS3,7/8/13 12:10,--,U,0.054,320,7.87,--,18.2,30.5,2.14,12.1,10.1,11.9,12,66.1,83.4,0.22,<0.03,2.24,1.91,<6
13FW109,DS3,7/13/13 10:30,--,U,0.085,289,--,8.11,21.1,28.4,2.05,11.5,9.14,12.1,11.9,59.6,78.6,0.24,<0.03,2.53,2.01,27
13FW110,DS3,7/15/13 4:13,--,U,0.16,302,--,8.12,21.6,27.7,2.16,11.3,8.27,12.1,9.4,64.7,74.9,0.38,<0.03,2.77,2.03,58
13FS032,DS3,7/15/13 4:18,--,U,0.16,299,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54
13FS033,DS3,7/15/13 4:28,--,U,0.18,320,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,125
13FS034,DS3,7/15/13 4:38,--,U,0.18,406,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,306"
13FW111,DS3,7/15/13 4:48,--,U,0.18,461,--,7.91,21.3,43.7,3.24,17.4,14.6,10.6,38.7,99.4,73.4,1.3,<0.03,4.25,2.2,"2,391"
