Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,pair_key,response_var,year,month,lnRR_mean,lnRR_sd,lnRR_n,lnRR_area_mean,lnRR_area_sd,lnRR_area_n,lnRR_var,lnRR_area_var
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,DOC,2016,4,0.30476495378637664,0.005119030323215762,2,-0.5688363693927279,0.005119030323215762,2,1.3102235725001236e-5,1.3102235725001236e-5
Crandall et al. 2021,Crandall_et_al_2021_C1,Site_1,Control_1,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,DOC,2018,10,0.5555476065256095,0.9952542302373352,39,0.5149638992934483,0.963548588734365,39,0.025398230328341296,0.023805791867999655
Crandall et al. 2021,Crandall_et_al_2021_C1,Site_1,Control_1,Crandall et al. 2021 | Crandall_et_al_2021_C1 | Site_1 | Control_1,NO3,2018,10,1.0975083119491864,2.1128499633329416,42,1.0505090481182087,2.0795363137902245,42,0.10628892779895269,0.10296360191362464
Crandall et al. 2021,Crandall_et_al_2021_C2,Site_2,Control_2,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,DOC,2018,10,0.8593167500153459,0.9449470574411422,29,-0.11397485386716569,1.6823278204210812,29,0.030790515219540456,0.09759403087457744
Crandall et al. 2021,Crandall_et_al_2021_C2,Site_2,Control_2,Crandall et al. 2021 | Crandall_et_al_2021_C2 | Site_2 | Control_2,NO3,2018,10,-4.15558386727907,1.5978633379442335,53,-5.372906904125162,1.6961058868581493,53,0.04817296691974128,0.054278776970469234
Crandall et al. 2021,Crandall_et_al_2021_C3,Site_3,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,DOC,2018,10,0.6533721793909826,0.4440048997053352,22,0.6861243168490804,0.4440048997053352,22,0.008960925043742943,0.008960925043742943
Crandall et al. 2021,Crandall_et_al_2021_C3,Site_3,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C3 | Site_3 | Control_3_4,NO3,2018,10,0.32997546717003856,0.6630541840161758,24,0.36272760462813647,0.6630541840161758,24,0.018318368789223195,0.018318368789223195
Crandall et al. 2021,Crandall_et_al_2021_C4,Site_4,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,DOC,2018,10,1.3838448742729266,0.7498784836797308,17,1.4534840015380854,0.7498784836797308,17,0.03307751413445954,0.03307751413445954
Crandall et al. 2021,Crandall_et_al_2021_C4,Site_4,Control_3_4,Crandall et al. 2021 | Crandall_et_al_2021_C4 | Site_4 | Control_3_4,NO3,2018,10,-0.6965704876457572,1.3566730591590932,18,-0.6269313603805984,1.3566730591590932,18,0.10225343274711624,0.10225343274711624
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1989,3,-0.4407825970797284,0.013786172420522498,22,-0.7020887262561594,0.013786172420522472,22,8.639025000380689e-6,8.639025000380656e-6
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1989,4,0.0038720678566825308,0.32895866181587446,30,-0.25743406131974844,0.32895866181587446,30,0.003607126706123029,0.003607126706123029
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1989,5,-1.50915969319631,1.0311849451860975,31,-1.7704658223727412,1.0311849451860977,31,0.034301367457369517,0.03430136745736953
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1989,6,-2.4032979699488575,1.4821346082899642,30,-2.664604099125288,1.4821346082899642,30,0.0732240999030282,0.0732240999030282
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1989,7,-1.9601315326292275,1.142504351389031,31,-2.2214376618056586,1.1425043513890307,31,0.04210697396589904,0.042106973965899026
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1989,8,-0.5488835216118738,0.1801319926686305,31,-0.8101896507883048,0.1801319926686305,31,0.0010466946704119856,0.0010466946704119856
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1989,9,-0.4515327983475782,0.2798530492040008,30,-0.7128389275240092,0.2798530492040008,30,0.002610590971625896,0.002610590971625896
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1989,10,-0.9528259734771337,0.027404649397567832,4,-1.2141321026535647,0.027404649397567763,4,1.8775370215090375e-4,1.877537021509028e-4
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1990,4,3.999973010119686,0.34980790185516314,24,3.738666880943255,0.3498079018551632,24,0.005098565341679643,0.005098565341679645
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1990,5,2.6800090407797352,0.22338063412502837,31,2.4187029116033045,0.22338063412502834,31,0.001609642183938703,0.0016096421839387027
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1990,6,0.9802689630619942,2.027847082595832,30,0.7189628338855633,2.027847082595832,30,0.13707212634641422,0.13707212634641422
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1990,7,-0.37774431728914487,0.5376258909307391,31,-0.6390504464655758,0.537625890930739,31,0.009323922535453902,0.009323922535453898
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1990,8,0.09216458286913451,0.6611745593597205,31,-0.16914154630729644,0.6611745593597204,31,0.014101670901436146,0.014101670901436141
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1990,9,0.9686023796413852,0.470906947587759,30,0.7072962504649541,0.470906947587759,30,0.007391778442880679,0.007391778442880679
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1991,3,0.4463435041493129,0.592726303694667,17,0.18503737497288186,0.592726303694667,17,0.020666145358326032,0.020666145358326032
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1991,4,2.577975035495239,0.4136766213487033,30,2.316668906318808,0.4136766213487033,30,0.005704278235015949,0.005704278235015949
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1991,5,2.5778861181432866,0.8161818145133697,31,2.316579988966856,0.8161818145133698,31,0.021488798527172146,0.021488798527172153
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1991,6,0.6628731007533787,1.5998134277140934,30,0.40156697157694793,1.5998134277140936,30,0.08531343344981056,0.08531343344981059
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1991,7,0.8085401823999376,1.0196836784173557,31,0.5472340532235066,1.0196836784173557,31,0.033540477549379014,0.033540477549379014
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1991,8,1.089971460125398,0.8116802272435429,28,0.828665330948967,0.811680227243543,28,0.023529456832076055,0.023529456832076058
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1992,3,2.129422091425596,0.13531565328301054,11,1.8681159622491652,0.13531565328301057,11,0.0016645750930370836,0.0016645750930370845
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1992,4,2.2836914254447787,0.5476321381568783,30,2.0223852962683475,0.5476321381568784,30,0.009996698624742475,0.009996698624742478
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1992,5,1.7216260052814032,0.495222271835078,31,1.4603198761049723,0.49522227183507805,31,0.007911132210370835,0.007911132210370837
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1992,6,2.748660404133295,0.37503359001279885,30,2.4873542749568642,0.3750335900127989,30,0.004688339787929602,0.004688339787929605
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1992,7,2.44086055934734,0.29711908917729335,31,2.1795544301709087,0.2971190891772933,31,0.002847733972694981,0.0028477339726949795
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1992,8,1.555981601718244,0.3970125185342267,31,1.294675472541813,0.3970125185342267,31,0.005084481931383538,0.005084481931383538
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1992,9,0.6863536407848374,0.042942702233927,2,0.4250475116084065,0.042942702233926926,2,9.220378375758596e-4,9.220378375758563e-4
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1993,3,0.6636891600776613,0.05629811528594084,10,0.4023830309012304,0.05629811528594087,10,3.169477784749086e-4,3.169477784749089e-4
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1993,4,1.381640976507411,0.47286056244089586,30,1.1203348473309798,0.47286056244089586,30,0.007453237050397346,0.007453237050397346
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1993,5,2.2481663281541966,0.6850047561124448,31,1.9868601989777657,0.6850047561124449,31,0.015136500512795806,0.015136500512795812
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1993,6,2.5869411764988235,0.3170872052967605,30,2.3256350473223923,0.3170872052967605,30,0.003351476525430331,0.003351476525430331
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1993,7,2.278674292869811,0.3476905409806645,22,2.0173681636933805,0.3476905409806645,22,0.005494941467610324,0.005494941467610324
Gerla & Galloway; 1998,Gerla_Galloway_1998_C1,Site_1,Control_1,Gerla & Galloway; 1998 | Gerla_Galloway_1998_C1 | Site_1 | Control_1,NO3,1993,9,0.903316069964085,0.11211442348992215,26,0.642009940787654,0.11211442348992216,26,4.8344784440298495e-4,4.83447844402985e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1985,9,1.4816761613143634,0.1267214973748804,23,2.07423610496914,0.1267214973748804,23,6.98188604214427e-4,6.98188604214427e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1985,10,1.4277029043738183,0.21069180455724545,31,2.020262848028595,0.21069180455724543,31,0.0014319689195996296,0.0014319689195996293
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1985,11,1.8226933050410912,0.028746125470293038,5,2.4152532486958678,0.028746125470293146,5,1.6526794591076603e-4,1.6526794591076728e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,3,2.077185818520885,0.08841678960133886,23,2.6697457621756615,0.08841678960133886,23,3.398925514524967e-4,3.398925514524967e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,4,2.1861921471757366,0.06774394570152868,30,2.7787520908305132,0.06774394570152874,30,1.5297473930705555e-4,1.529747393070558e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,5,1.3920267971448803,0.4142003354757818,31,1.984586740799657,0.4142003354757818,31,0.005534255416395167,0.005534255416395167
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,6,0.18576664284808608,0.2722928440989272,30,0.7783265865028628,0.2722928440989272,30,0.0024714464315827556,0.0024714464315827556
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,7,0.15072471921526365,0.19019357253812774,31,0.7432846628700404,0.19019357253812774,31,0.0011668901624134213,0.0011668901624134213
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,8,0.5525721736724003,0.04987902627409256,31,1.145132117327177,0.04987902627409255,31,8.025539555005214e-5,8.025539555005209e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,9,0.42835242216783087,0.021377921174735106,8,1.0209123658226076,0.021377921174735106,8,5.7126939219148454e-5,5.7126939219148454e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,11,1.778818830515688,0.019654063356192752,8,2.371378774170465,0.019654063356192724,8,4.828527580115484e-5,4.8285275801154704e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1986,12,1.8335369181317898,0.014211257577951122,6,2.4260968617865664,0.014211257577951228,6,3.36599736578122e-5,3.3659973657812704e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,1,1.798769911517479,0.0026771710847152026,2,2.3913298551722555,0.00267717108471536,2,3.5836225084175875e-6,3.583622508418009e-6
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,2,1.8721800917454623,0.05814973402761737,28,2.464740035400239,0.05814973402761734,28,1.2076398455295148e-4,1.2076398455295137e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,3,2.340474909189405,0.2951029937277206,31,2.9330348528441816,0.29510299372772064,31,0.0028092186099052613,0.002809218609905262
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,4,3.534103116349307,0.16900024135630384,30,4.126663060004083,0.1690002413563038,30,9.520360526162984e-4,9.520360526162978e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,5,1.53424674608398,0.7278734887088244,31,2.1268066897387565,0.7278734887088243,31,0.017090316631134035,0.01709031663113403
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,6,0.3288016609306604,0.2263511253024969,18,0.921361604585437,0.2263511253024969,18,0.0028463795514281475,0.0028463795514281475
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,7,1.0333244059403732,NA,1,1.6258843495951498,NA,1,NA,NA
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,9,0.5225500113175585,0.058144242514415086,17,1.1151099549723353,0.05814424251441511,17,1.988678198573597e-4,1.9886781985735988e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,10,0.5552691412994447,0.15854495282573797,31,1.1478290849542214,0.158544952825738,31,8.108549053714671e-4,8.108549053714673e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1987,11,0.9928027601057999,0.07938059630115903,28,1.5853627037605766,0.07938059630115903,28,2.2504568104027078e-4,2.2504568104027078e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1988,3,1.0903444549304033,0.2650303605713347,18,1.68290439858518,0.26503036057133467,18,0.0039022828902539834,0.0039022828902539816
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1988,4,2.584155373529465,0.4591313938841001,30,3.1767153171842417,0.4591313938841001,30,0.00702672122833189,0.00702672122833189
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1988,5,1.5406718048412544,0.7562082481363227,31,2.1332317484960313,0.7562082481363227,31,0.018446803695142136,0.018446803695142136
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1988,6,0.02051022628127308,0.20891294033729904,5,0.6130701699360498,0.20891294033729915,5,0.008728923328075174,0.008728923328075183
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1988,7,-0.26432917975295744,0.08012313922722133,4,0.32823076390181927,0.08012313922722139,4,0.0016049293599061736,0.0016049293599061758
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1988,8,0.17117204448418266,0.12565947652601872,31,0.7637319881389594,0.1256594765260187,31,5.093646464771952e-4,5.09364646477195e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1988,9,0.1454839111140631,0.14597085241826388,30,0.7380438547688397,0.14597085241826388,30,7.102496585238191e-4,7.102496585238191e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C1,Site_1,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C1 | Site_1 | Control_1_2,NO3,1988,10,-0.2373405465792064,0.03946073880029113,3,0.35521939707557026,0.0394607388002912,3,5.190499688882672e-4,5.19049968888269e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1985,9,1.084122679092929,0.017485007261709914,23,1.1754724576811568,0.01748500726170992,23,1.329241212791515e-5,1.3292412127915161e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1985,10,1.4281112159743754,0.22366134833760382,31,1.5194609945626032,0.22366134833760387,31,0.0016136902819417725,0.0016136902819417736
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1985,11,1.7808793287349696,0.050947993932055305,30,1.8722291073231974,0.05094799393205529,30,8.652326952335814e-5,8.65232695233581e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1985,12,1.6535267477915392,0.01890046367231902,8,1.744876526379767,0.018900463672319057,8,4.4653440878581365e-5,4.465344087858155e-5
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,3,2.5702071027936055,0.14875313697990597,23,2.6615568813818333,0.148753136979906,23,9.620650331027247e-4,9.620650331027251e-4
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,4,2.550908454787696,0.2798719668964519,30,2.642258233375924,0.2798719668964519,30,0.002610943928482955,0.002610943928482955
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,5,1.365521727128609,0.48480579446702526,31,1.4568715057168369,0.48480579446702526,31,0.007581827688671082,0.007581827688671082
Gluns & Toews; 1989,Gluns_Toews_1989_C2,Site_2,Control_1_2,Gluns & Toews; 1989 | Gluns_Toews_1989_C2 | Site_2 | Control_1_2,NO3,1986,6,0.21077651860616678,0.2707535423618021,30,0.30212629719439466,0.2707535423618021,30,0.002443582690048805,0.002443582690048805
