Study_ID,Comparison_ID,Sampling_Date,response_var,Pair_Burn,Site_Burn,concentration_Burn,Area_watershed_km_Burn,Pair_Unburn,Site_Unburn,concentration_Unburn,Area_watershed_km_Unburn,pair_key,lnRR,conc_norm_Burn,conc_norm_Unburn,lnRR_area
Burd et al 2018,Burd_et_al_2018_C1,2016-04-29,DOC,Site_1,Notawohka Creek,17.8042328,321,Control_1,Scotty Creek,13.17460317,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.3011452527317312,0.055464899688473526,0.0983179341044776,-0.5724560704473732
Burd et al 2018,Burd_et_al_2018_C1,2016-05-16,DOC,Site_1,Notawohka Creek,19.171075836666667,321,Control_1,Scotty Creek,16.43738977,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.15384407242349202,0.05972297768431983,0.12266708783582089,-0.7197572507556126
Burd et al 2018,Burd_et_al_2018_C1,2016-05-17,DOC,Site_1,Notawohka Creek,19.479717813333338,321,Control_1,Scotty Creek,17.05467372,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.13294952749995745,0.060684479169262735,0.12727368447761195,-0.7406517956791471
Burd et al 2018,Burd_et_al_2018_C1,2016-05-18,DOC,Site_1,Notawohka Creek,19.78835979,321,Control_1,Scotty Creek,17.67195767,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.11311480463149766,0.06164598065420561,0.131880281119403,-0.760486518547607
Burd et al 2018,Burd_et_al_2018_C1,2016-05-19,DOC,Site_1,Notawohka Creek,19.7552910075,321,Control_1,Scotty Creek,17.67195767,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.11144228378216968,0.06154296264018691,0.131880281119403,-0.762159039396935
Burd et al 2018,Burd_et_al_2018_C1,2016-05-20,DOC,Site_1,Notawohka Creek,19.722222225000003,321,Control_1,Scotty Creek,17.67195767,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.1097669609197709,0.06143994462616823,0.131880281119403,-0.7638343622593337
Burd et al 2018,Burd_et_al_2018_C1,2016-05-21,DOC,Site_1,Notawohka Creek,19.6891534425,321,Control_1,Scotty Creek,17.67195767,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.10808882663998814,0.06133692661214953,0.131880281119403,-0.7655124965391163
Burd et al 2018,Burd_et_al_2018_C1,2016-05-22,DOC,Site_1,Notawohka Creek,19.65608466,321,Control_1,Scotty Creek,17.67195767,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.10640787149108433,0.06123390859813085,0.131880281119403,-0.7671934516880202
Burd et al 2018,Burd_et_al_2018_C1,2016-05-23,DOC,Site_1,Notawohka Creek,20.31746032,321,Control_1,Scotty Creek,18.15696649,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.11242631492950532,0.06329426890965732,0.13549974992537311,-0.761175008249599
Burd et al 2018,Burd_et_al_2018_C1,2016-05-24,DOC,Site_1,Notawohka Creek,20.97883598,321,Control_1,Scotty Creek,18.64197531,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.11809834385541255,0.0653546292211838,0.13911921873134328,-0.7555029793236919
Burd et al 2018,Burd_et_al_2018_C1,2016-05-25,DOC,Site_1,Notawohka Creek,21.64021164,321,Control_1,Scotty Creek,19.12698413,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.12345311427652604,0.06741498953271029,0.14273868753731345,-0.7501482089025785
Burd et al 2018,Burd_et_al_2018_C1,2016-05-26,DOC,Site_1,Notawohka Creek,21.772486772,321,Control_1,Scotty Creek,19.312169314,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.11991166641748141,0.06782706159501557,0.14412066652238806,-0.7536896567616234
Burd et al 2018,Burd_et_al_2018_C1,2016-05-27,DOC,Site_1,Notawohka Creek,21.904761904,321,Control_1,Scotty Creek,19.497354498,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.11642526212803335,0.06823913365732087,0.1455026455074627,-0.7571760610510713
Burd et al 2018,Burd_et_al_2018_C1,2016-05-28,DOC,Site_1,Notawohka Creek,22.037037036,321,Control_1,Scotty Creek,19.682539682,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.11299260731411133,0.06865120571962617,0.14688462449253734,-0.7606087158649932
Burd et al 2018,Burd_et_al_2018_C1,2016-05-29,DOC,Site_1,Notawohka Creek,22.169312168,321,Control_1,Scotty Creek,19.867724866,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.1096124487455774,0.06906327778193147,0.14826660347761195,-0.763988874433527
Burd et al 2018,Burd_et_al_2018_C1,2016-05-30,DOC,Site_1,Notawohka Creek,22.3015873,321,Control_1,Scotty Creek,20.05291005,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.10628357243342808,0.06947534984423677,0.14964858246268659,-0.7673177507456763
Burd et al 2018,Burd_et_al_2018_C1,2016-05-31,DOC,Site_1,Notawohka Creek,22.309854495625,321,Control_1,Scotty Creek,20.4001322725,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.08948710171271404,0.06950110434774143,0.1522397930783582,-0.7841142214663905
Burd et al 2018,Burd_et_al_2018_C1,2016-06-01,DOC,Site_1,Notawohka Creek,22.318121691250003,321,Control_1,Scotty Creek,20.747354495,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.07298023602240321,0.06952685885124611,0.15483100369402986,-0.8006210871567014
Burd et al 2018,Burd_et_al_2018_C1,2016-06-02,DOC,Site_1,Notawohka Creek,22.326388886875,321,Control_1,Scotty Creek,21.0945767175,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.056753357167387636,0.06955261335475078,0.1574222143097015,-0.8168479660117167
Burd et al 2018,Burd_et_al_2018_C1,2016-06-03,DOC,Site_1,Notawohka Creek,22.3346560825,321,Control_1,Scotty Creek,21.44179894,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.04079731807730962,0.06957836785825545,0.16001342492537315,-0.8328040051017948
Burd et al 2018,Burd_et_al_2018_C1,2016-06-04,DOC,Site_1,Notawohka Creek,22.342923278125003,321,Control_1,Scotty Creek,21.7890211625,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.025103412531270408,0.06960412236176014,0.16260463554104476,-0.8484979106478339
Burd et al 2018,Burd_et_al_2018_C1,2016-06-05,DOC,Site_1,Notawohka Creek,22.35119047375,321,Control_1,Scotty Creek,22.136243385,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,0.009663347276064145,0.0696298768652648,0.16519584615671642,-0.8639379759030403
Burd et al 2018,Burd_et_al_2018_C1,2016-06-06,DOC,Site_1,Notawohka Creek,22.359457669375,321,Control_1,Scotty Creek,22.4834656075,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.00553078368560459,0.06965563136876947,0.16778705677238806,-0.8791321068647091
Burd et al 2018,Burd_et_al_2018_C1,2016-06-07,DOC,Site_1,Notawohka Creek,22.367724865,321,Control_1,Scotty Creek,22.83068783,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.020486522836486856,0.06968138587227414,0.1703782673880597,-0.8940878460155914
Burd et al 2018,Burd_et_al_2018_C1,2016-06-08,DOC,Site_1,Notawohka Creek,22.375992060625,321,Control_1,Scotty Creek,23.1779100525,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.03521107109420425,0.06970714037577881,0.17296947800373133,-0.9088123942733086
Burd et al 2018,Burd_et_al_2018_C1,2016-06-09,DOC,Site_1,Notawohka Creek,22.38425925625,321,Control_1,Scotty Creek,23.525132275,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.04971130812860651,0.0697328948792835,0.175560688619403,-0.923312631307711
Burd et al 2018,Burd_et_al_2018_C1,2016-06-10,DOC,Site_1,Notawohka Creek,22.392526451875,321,Control_1,Scotty Creek,23.8723544975,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.06399381119056703,0.06975864938278817,0.17815189923507463,-0.9375951343696713
Burd et al 2018,Burd_et_al_2018_C1,2016-06-11,DOC,Site_1,Notawohka Creek,22.4007936475,321,Control_1,Scotty Creek,24.21957672,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.07806487258119395,0.06978440388629283,0.18074310985074626,-0.9516661957602984
Burd et al 2018,Burd_et_al_2018_C1,2016-06-12,DOC,Site_1,Notawohka Creek,22.409060843125,321,Control_1,Scotty Creek,24.5667989425,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.09193051587759639,0.06981015838979751,0.1833343204664179,-0.9655318390567008
Burd et al 2018,Burd_et_al_2018_C1,2016-06-13,DOC,Site_1,Notawohka Creek,22.41732803875,321,Control_1,Scotty Creek,24.914021165,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.10559651101991989,0.06983591289330218,0.18592553108208956,-0.9791978341990245
Burd et al 2018,Burd_et_al_2018_C1,2016-06-14,DOC,Site_1,Notawohka Creek,22.425595234375,321,Control_1,Scotty Creek,25.2612433875,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.11906838835422744,0.06986166739680685,0.1885167416977612,-0.9926697115333319
Burd et al 2018,Burd_et_al_2018_C1,2016-06-15,DOC,Site_1,Notawohka Creek,22.43386243,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.13235145171676102,0.06988742190031152,0.19110795231343283,-1.0059527748958657
Burd et al 2018,Burd_et_al_2018_C1,2016-06-16,DOC,Site_1,Notawohka Creek,22.619047615333333,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.12413061856394472,0.07046432278920041,0.19110795231343283,-0.9977319417430494
Burd et al 2018,Burd_et_al_2018_C1,2016-06-17,DOC,Site_1,Notawohka Creek,22.804232800666668,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.1159768168291817,0.07104122367808931,0.19110795231343283,-0.9895781400082863
Burd et al 2018,Burd_et_al_2018_C1,2016-06-18,DOC,Site_1,Notawohka Creek,22.989417986,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.10788896221977902,0.07161812456697819,0.19110795231343283,-0.9814902853988835
Burd et al 2018,Burd_et_al_2018_C1,2016-06-19,DOC,Site_1,Notawohka Creek,23.174603171333334,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.09986599654119875,0.07219502545586709,0.19110795231343283,-0.9734673197203032
Burd et al 2018,Burd_et_al_2018_C1,2016-06-20,DOC,Site_1,Notawohka Creek,23.359788356666662,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.09190688686616987,0.07277192634475596,0.19110795231343283,-0.9655082100452744
Burd et al 2018,Burd_et_al_2018_C1,2016-06-21,DOC,Site_1,Notawohka Creek,23.544973542,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.08401062473660093,0.07334882723364486,0.19110795231343283,-0.9576119479157056
Burd et al 2018,Burd_et_al_2018_C1,2016-06-22,DOC,Site_1,Notawohka Creek,23.730158727333333,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.07617622539676186,0.07392572812253374,0.19110795231343283,-0.9497775485758664
Burd et al 2018,Burd_et_al_2018_C1,2016-06-23,DOC,Site_1,Notawohka Creek,23.915343912666668,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.06840272705626473,0.07450262901142264,0.19110795231343283,-0.9420040502353693
Burd et al 2018,Burd_et_al_2018_C1,2016-06-24,DOC,Site_1,Notawohka Creek,24.100529098,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.06068919018147575,0.07507952990031153,0.19110795231343283,-0.9342905133605801
Burd et al 2018,Burd_et_al_2018_C1,2016-06-25,DOC,Site_1,Notawohka Creek,24.285714283333338,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.05303469681404296,0.07565643078920042,0.19110795231343283,-0.9266360199931475
Burd et al 2018,Burd_et_al_2018_C1,2016-06-26,DOC,Site_1,Notawohka Creek,24.470899468666666,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.045438349915312495,0.0762333316780893,0.19110795231343283,-0.919039673094417
Burd et al 2018,Burd_et_al_2018_C1,2016-06-27,DOC,Site_1,Notawohka Creek,24.656084654,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.0378992727354525,0.07681023256697819,0.19110795231343283,-0.911500595914557
Burd et al 2018,Burd_et_al_2018_C1,2016-06-28,DOC,Site_1,Notawohka Creek,24.841269839333332,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.030416608206186815,0.07738713345586708,0.19110795231343283,-0.9040179313852913
Burd et al 2018,Burd_et_al_2018_C1,2016-06-29,DOC,Site_1,Notawohka Creek,25.026455024666667,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.022989518356074837,0.07796403434475598,0.19110795231343283,-0.8965908415351793
Burd et al 2018,Burd_et_al_2018_C1,2016-06-30,DOC,Site_1,Notawohka Creek,25.21164021,321,Control_1,Scotty Creek,25.60846561,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.015617183747350058,0.07854093523364486,0.19110795231343283,-0.8892185069264544
Burd et al 2018,Burd_et_al_2018_C1,2016-07-01,DOC,Site_1,Notawohka Creek,25.458553790666667,321,Control_1,Scotty Creek,25.934744269333333,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.018531758987417817,0.07931013641952232,0.19354286768159204,-0.8921330821665224
Burd et al 2018,Burd_et_al_2018_C1,2016-07-02,DOC,Site_1,Notawohka Creek,25.70546737133333,321,Control_1,Scotty Creek,26.261022928666662,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.021382114527716895,0.08007933760539979,0.19597778304975122,-0.8949834377068214
Burd et al 2018,Burd_et_al_2018_C1,2016-07-03,DOC,Site_1,Notawohka Creek,25.952380952,321,Control_1,Scotty Creek,26.587301588,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.024170360968760615,0.08084853879127725,0.19841269841791043,-0.897771684147865
Burd et al 2018,Burd_et_al_2018_C1,2016-07-04,DOC,Site_1,Notawohka Creek,26.199294532666663,321,Control_1,Scotty Creek,26.913580247333332,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.02689851695585543,0.08161773997715471,0.20084761378606963,-0.9004998401349599
Burd et al 2018,Burd_et_al_2018_C1,2016-07-05,DOC,Site_1,Notawohka Creek,26.446208113333338,321,Control_1,Scotty Creek,27.239858906666665,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.029568514157412937,0.0823869411630322,0.20328252915422884,-0.9031698373365173
Burd et al 2018,Burd_et_al_2018_C1,2016-07-06,DOC,Site_1,Notawohka Creek,26.693121694,321,Control_1,Scotty Creek,27.566137566,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.03218220192180895,0.08315614234890965,0.20571744452238805,-0.9057835251009135
Burd et al 2018,Burd_et_al_2018_C1,2016-07-07,DOC,Site_1,Notawohka Creek,26.940035274666663,321,Control_1,Scotty Creek,27.892416225333335,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.03474135163684753,0.08392534353478712,0.20815235989054728,-0.908342674815952
Burd et al 2018,Burd_et_al_2018_C1,2016-07-08,DOC,Site_1,Notawohka Creek,27.186948855333338,321,Control_1,Scotty Creek,28.218694884666668,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.037247660813857275,0.08469454472066461,0.2105872752587065,-0.9108489839929618
Burd et al 2018,Burd_et_al_2018_C1,2016-07-09,DOC,Site_1,Notawohka Creek,27.433862436,321,Control_1,Scotty Creek,28.544973544,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.0397027569165847,0.08546374590654206,0.21302219062686567,-0.9133040800956891
Burd et al 2018,Burd_et_al_2018_C1,2016-07-10,DOC,Site_1,Notawohka Creek,27.680776016666663,321,Control_1,Scotty Creek,28.871252203333334,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.042108200953368716,0.0862329470924195,0.21545710599502488,-0.9157095241324732
Burd et al 2018,Burd_et_al_2018_C1,2016-07-11,DOC,Site_1,Notawohka Creek,27.927689597333337,321,Control_1,Scotty Creek,29.197530862666667,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.04446549084957572,0.087002148278297,0.21789202136318409,-0.9180668140286803
Burd et al 2018,Burd_et_al_2018_C1,2016-07-12,DOC,Site_1,Notawohka Creek,28.174603178,321,Control_1,Scotty Creek,29.523809522,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.04677606461587702,0.08777134946417446,0.2203269367313433,-0.9203773877949815
Burd et al 2018,Burd_et_al_2018_C1,2016-07-13,DOC,Site_1,Notawohka Creek,28.42151675866667,321,Control_1,Scotty Creek,29.850088181333337,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.04904130332669702,0.08854055065005192,0.22276185209950253,-0.9226426265058015
Burd et al 2018,Burd_et_al_2018_C1,2016-07-14,DOC,Site_1,Notawohka Creek,28.668430339333337,321,Control_1,Scotty Creek,30.176366840666667,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.05126253392202973,0.0893097518359294,0.22519676746766168,-0.9248638571011342
Burd et al 2018,Burd_et_al_2018_C1,2016-07-15,DOC,Site_1,Notawohka Creek,28.91534392,321,Control_1,Scotty Creek,30.5026455,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.05344103184476539,0.09007895302180687,0.2276316828358209,-0.9270423550238698
Burd et al 2018,Burd_et_al_2018_C1,2016-07-16,DOC,Site_1,Notawohka Creek,28.756613760666667,321,Control_1,Scotty Creek,30.246913578,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.050526364155442385,0.08958446654413292,0.22572323565671643,-0.9241276873345469
Burd et al 2018,Burd_et_al_2018_C1,2016-07-17,DOC,Site_1,Notawohka Creek,28.597883601333336,321,Control_1,Scotty Creek,29.991181656,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.047570678517619314,0.08908998006645899,0.22381478847761194,-0.921172001696724
Burd et al 2018,Burd_et_al_2018_C1,2016-07-18,DOC,Site_1,Notawohka Creek,28.439153442,321,Control_1,Scotty Creek,29.735449734,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.04457308974302574,0.08859549358878505,0.22190634129850745,-0.9181744129221301
Burd et al 2018,Burd_et_al_2018_C1,2016-07-19,DOC,Site_1,Notawohka Creek,28.280423282666668,321,Control_1,Scotty Creek,29.479717812,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.041532686611960655,0.08810100711111112,0.219997894119403,-0.9151340097910651
Burd et al 2018,Burd_et_al_2018_C1,2016-07-20,DOC,Site_1,Notawohka Creek,28.121693123333333,321,Control_1,Scotty Creek,29.22398589,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.03844853089579568,0.08760652063343717,0.21808944694029853,-0.9120498540749002
Burd et al 2018,Burd_et_al_2018_C1,2016-07-21,DOC,Site_1,Notawohka Creek,27.962962964000003,321,Control_1,Scotty Creek,28.968253968,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.035319656334510195,0.08711203415576325,0.216180999761194,-0.9089209795136146
Burd et al 2018,Burd_et_al_2018_C1,2016-07-22,DOC,Site_1,Notawohka Creek,27.80423280466667,321,Control_1,Scotty Creek,28.712522046,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.03214506756680267,0.08661754767808931,0.21427255258208955,-0.9057463907459071
Burd et al 2018,Burd_et_al_2018_C1,2016-07-23,DOC,Site_1,Notawohka Creek,27.645502645333337,321,Control_1,Scotty Creek,28.456790124,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.028923739010153993,0.08612306120041538,0.2123641054029851,-0.9025250621892585
Burd et al 2018,Burd_et_al_2018_C1,2016-07-24,DOC,Site_1,Notawohka Creek,27.486772486,321,Control_1,Scotty Creek,28.201058202,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.025654613688062242,0.08562857472274144,0.2104556582238806,-0.8992559368671668
Burd et al 2018,Burd_et_al_2018_C1,2016-07-25,DOC,Site_1,Notawohka Creek,27.32804232666667,321,Control_1,Scotty Creek,27.94532628,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.022336602001475865,0.0851340882450675,0.2085472110447761,-0.8959379251805804
Burd et al 2018,Burd_et_al_2018_C1,2016-07-26,DOC,Site_1,Notawohka Creek,27.169312167333334,321,Control_1,Scotty Creek,27.689594358,134,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,-0.018968580441267185,0.08463960176739356,0.20663876386567165,-0.8925699036203717
