Study_ID,DOI,Design_Control_Burn_Pre_Post,latitude,longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-12-22,Burn,0,Individual,2.1,mg_L,,,0.39,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-12-23,Burn,0,Individual,3.5,mg_L,,,0.74,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-12-24,Burn,0,Individual,2.9,mg_L,,,0.87,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-12-25,Burn,0,Individual,2.6,mg_L,,,0.98,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2021-12-26,Burn,0,Individual,2.9,mg_L,,,0.73,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-01-11,Burn,1,Individual,10.1,mg_L,,,0,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-01-18,Burn,1,Individual,2.6,mg_L,,,0.49,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-01-26,Burn,1,Individual,2.9,mg_L,,,1.08,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-01-27,Burn,1,Individual,4.8,mg_L,,,1.08,mg_L,,,Supplemental,
Hickenbottom et al. 2023,10.1016/j.watres.2023.120474,Control_Reference_vs_Impact,38.88376,-119.978005,56.0808,km,Site_1,Csb,Trout_Creek,2022-01-28,Burn,1,Individual,2.2,mg_L,,,0.76,mg_L,,,Supplemental,
