Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/19/18,Burned,0,Individual,,TOC_mg_L,,,15.13835372,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.133514,-111.771241,319,km,Site_1,,Benjamin Slough,10/26/18,Burned,0,Individual,73.618,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/2/18,Unburned,0,Individual,7.769,TOC_mg_L,,,17.80111695,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/4/18,Unburned,0,Individual,,TOC_mg_L,,,13.54958357,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/5/18,Unburned,0,Individual,,TOC_mg_L,,,8.759618238,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/6/18,Unburned,0,Individual,15.092,TOC_mg_L,,,17.37349396,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/7/18,Unburned,0,Individual,3.051,TOC_mg_L,,,15.78320468,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/8/18,Unburned,0,Individual,2.312,TOC_mg_L,,,12.72454637,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/10/18,Unburned,0,Individual,,TOC_mg_L,,,14.3484361,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/12/18,Unburned,0,Individual,5.071,TOC_mg_L,,,13.0223187,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/16/18,Unburned,0,Individual,1.215,TOC_mg_L,,,14.29700304,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/19/18,Unburned,0,Individual,0.75,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.180647,-111.671664,30,km,Control,,Dry Creek,10/26/18,Unburned,0,Individual,74.003,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/2/18,Unburned,0,Individual,,TOC_mg_L,,,0.751499388,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/3/18,Unburned,0,Individual,28.469,TOC_mg_L,,,0.770658902,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/4/18,Unburned,0,Individual,6.338,TOC_mg_L,,,1.583350926,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/5/18,Unburned,0,Individual,4.923,TOC_mg_L,,,1.85077806,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/6/18,Unburned,0,Individual,8.354,TOC_mg_L,,,1.225235425,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/7/18,Unburned,0,Individual,,TOC_mg_L,,,1.814691208,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/8/18,Unburned,0,Individual,6.051,TOC_mg_L,,,2.486365488,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/10/18,Unburned,0,Individual,6.502,TOC_mg_L,,,2.503020004,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/12/18,Unburned,0,Individual,,TOC_mg_L,,,5.711103926,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/16/18,Unburned,0,Individual,,TOC_mg_L,,,7.311568204,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/19/18,Unburned,0,Individual,,TOC_mg_L,,,7.054347077,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.191035,-111.659939,324,km,Control,,Hobble Creek Lower,10/26/18,Unburned,0,Individual,37.859,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/2/18,Unburned,0,Individual,6.441,TOC_mg_L,,,0.4062003,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/3/18,Unburned,0,Individual,4.353,TOC_mg_L,,,0.421713926,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/4/18,Unburned,0,Individual,,TOC_mg_L,,,0.230509416,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/5/18,Unburned,0,Individual,4.35,TOC_mg_L,,,0.265132952,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/6/18,Unburned,0,Individual,6.332,TOC_mg_L,,,0.310601146,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/7/18,Unburned,0,Individual,,TOC_mg_L,,,0.322276668,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/8/18,Unburned,0,Individual,3,TOC_mg_L,,,0.323423759,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/10/18,Unburned,0,Individual,3.893,TOC_mg_L,,,0.393080064,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/16/18,Unburned,0,Individual,3.08,TOC_mg_L,,,0.429638153,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.158754,-111.59731,280,km,Control,,Hobble Creek Upper,10/19/18,Unburned,0,Individual,,TOC_mg_L,,,0.382384218,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/2/18,Unburned,0,Individual,44.054,TOC_mg_L,,,46.95977684,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/3/18,Unburned,0,Individual,,TOC_mg_L,,,34.49632071,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/4/18,Unburned,0,Individual,,TOC_mg_L,,,33.76171145,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/5/18,Unburned,0,Individual,6.261,TOC_mg_L,,,36.39063241,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/6/18,Unburned,0,Individual,9.616,TOC_mg_L,,,29.43225651,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/7/18,Unburned,0,Individual,10.738,TOC_mg_L,,,39.03736737,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/8/18,Unburned,0,Individual,10.255,TOC_mg_L,,,37.37728538,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/10/18,Unburned,0,Individual,6.033,TOC_mg_L,,,50.68952659,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/12/18,Unburned,0,Individual,,TOC_mg_L,,,39.87211453,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/16/18,Unburned,0,Individual,,TOC_mg_L,,,43.56593864,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/19/18,Unburned,0,Individual,49.983,TOC_mg_L,,,51.11373932,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.200989,-111.659265,47,km,Control,,Mill Race,10/26/18,Unburned,0,Individual,49.661,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/2/18,Unburned,0,Individual,,TOC_mg_L,,,7.445318974,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/3/18,Unburned,0,Individual,,TOC_mg_L,,,7.176385121,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/4/18,Unburned,0,Individual,,TOC_mg_L,,,7.651944103,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/5/18,Unburned,0,Individual,,TOC_mg_L,,,12.69276886,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/6/18,Unburned,0,Individual,15.184,TOC_mg_L,,,11.31608647,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/7/18,Unburned,0,Individual,13.092,TOC_mg_L,,,10.64047487,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/8/18,Unburned,0,Individual,3.659,TOC_mg_L,,,10.25322327,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/10/18,Unburned,0,Individual,48.127,TOC_mg_L,,,11.5569569,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/12/18,Unburned,0,Individual,,TOC_mg_L,,,11.66378514,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/16/18,Unburned,0,Individual,2.826,TOC_mg_L,,,9.699705529,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/19/18,Unburned,0,Individual,27.285,TOC_mg_L,,,9.11648744,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.192393,-111.652799,3,km,Control,,Mitsubishi Race,10/26/18,Unburned,0,Individual,51.598,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/2/18,Burned,0,Individual,35.665,TOC_mg_L,,,0.005859463,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/3/18,Burned,0,Individual,,TOC_mg_L,,,1.119554274,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/4/18,Burned,0,Individual,,TOC_mg_L,,,0.015228403,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/5/18,Burned,0,Individual,,TOC_mg_L,,,0.021466096,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/6/18,Burned,0,Individual,13.374,TOC_mg_L,,,0.444587534,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/7/18,Burned,0,Individual,13.142,TOC_mg_L,,,0.180291648,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/8/18,Burned,0,Individual,38.982,TOC_mg_L,,,0.443750468,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.481889682,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/12/18,Burned,0,Individual,24.312,TOC_mg_L,,,0.545426103,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,39.987804,-111.729891,54,km,Site_2,,Payson,10/19/18,Burned,0,Individual,,TOC_mg_L,,,0.606197105,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/2/18,Unburned,0,Individual,5.653,TOC_mg_L,,,0.825210813,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/3/18,Unburned,0,Individual,,TOC_mg_L,,,0.716609231,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/4/18,Unburned,0,Individual,,TOC_mg_L,,,0.830071997,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/5/18,Unburned,0,Individual,,TOC_mg_L,,,1.360499115,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/6/18,Unburned,0,Individual,7.362,TOC_mg_L,,,2.962116684,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/7/18,Unburned,0,Individual,9.596,TOC_mg_L,,,1.264596136,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/8/18,Unburned,0,Individual,2.791,TOC_mg_L,,,1.403449909,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/10/18,Unburned,0,Individual,4.769,TOC_mg_L,,,1.303987849,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/12/18,Unburned,0,Individual,,TOC_mg_L,,,1.171998018,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/16/18,Unburned,0,Individual,2.787,TOC_mg_L,,,0.933248151,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/19/18,Unburned,0,Individual,4.873,TOC_mg_L,,,0.814862195,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.234889,-111.724869,1769,km,Control,,Provo River,10/26/18,Unburned,0,Individual,37.166,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.162204,-111.732766,1712,km,Site_3,,Spanish Fork Lower,10/2/18,Burned,0,Individual,,TOC_mg_L,,,1.192100007,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1712,km,Site_3,,Spanish Fork Lower,10/3/18,Burned,0,Individual,,TOC_mg_L,,,0.316380002,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1712,km,Site_3,,Spanish Fork Lower,10/4/18,Burned,0,Individual,,TOC_mg_L,,,0.156301952,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1712,km,Site_3,,Spanish Fork Lower,10/5/18,Burned,0,Individual,12.505,TOC_mg_L,,,1.025127012,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1712,km,Site_3,,Spanish Fork Lower,10/8/18,Burned,0,Individual,6.01,TOC_mg_L,,,1.750454131,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1712,km,Site_3,,Spanish Fork Lower,10/8/18,Burned,0,Individual,14.294,TOC_mg_L,,,1.402228413,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1712,km,Site_3,,Spanish Fork Lower,10/10/18,Burned,0,Individual,5.749,TOC_mg_L,,,1.346120179,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1712,km,Site_3,,Spanish Fork Lower,10/12/18,Burned,0,Individual,4.121,TOC_mg_L,,,1.892370947,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1712,km,Site_3,,Spanish Fork Lower,10/19/18,Burned,0,Individual,15.752,TOC_mg_L,,,1.924991724,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1712,km,Site_3,,Spanish Fork Lower,10/26/18,Burned,0,Individual,54.975,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/2/18,Burned,0,Individual,,TOC_mg_L,,,0.118633975,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/3/18,Burned,0,Individual,32.686,TOC_mg_L,,,0.00695695,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/3/18,Burned,0,Individual,63.315,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/3/18,Burned,0,Individual,28.483,TOC_mg_L,,,0.238743667,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/3/18,Burned,0,Individual,,TOC_mg_L,,,0.888400007,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,49.693,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,74.221,TOC_mg_L,,,0.032819194,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,75.914,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,69.533,TOC_mg_L,,,0.03441272,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,38.409,TOC_mg_L,,,0.02378508,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,51.809,TOC_mg_L,,,0.121244381,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/4/18,Burned,0,Individual,44.305,TOC_mg_L,,,0.455128367,mg_L,,,,
