Study_ID,Comparison_ID,Pair_Burn,Pair_Unburn,response_var,year,lnRR_mean,lnRR_var,lnRR_n,lnRR_sd,pair_key,candidate_pair_id,shared_control_id,n_pairs_sharing_reference,Fire_ID_Analysis,Pairing_Type_Analysis,Include_Analysis,Analysis_Decision_Status,Coauthor_Confirmation,shared_reference,Composite_Reference_Candidate,Site_Burn,time_since_fire,Area_watershed_km,maxelevsmo,slope,tmean8110ws,precip8110ws,forest_cover,urban_cover,grassland_cover,wetland_cover,ag_cover,omws,rckdepws,clayws,glacial_till,bfiws,permws,runoffws,burn_percent_fire_year,burn_sev_high,burn_sev_mod,burn_sev_low,followup_year,post_fire_year,shared_control_year_id,reference_family_weight,effect_size_source,variance_status,pairing_confirmation_pending,matched_doc_no3
Burd et al 2018,Burd_et_al_2018_C1,Site_1,Control_1,DOC,2016,0.0634960942570269,1.226064001878385e-4,124,0.12330123123185743,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,Burd et al 2018 | Burd_et_al_2018_C1 | Site_1 | Control_1,Burd et al 2018 | Control_1,1,Burd_et_al_2018_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,Notawohka Creek,3,321,,,,,,,,,,,,,,,,,,,,,1,3,Burd et al 2018 | Control_1 | DOC | 2016,1,established_effect_sizes_yearly_provisional,usable,TRUE,FALSE
Murphy et al. 2018,Murphy_et_al_2018_C1,Site_1,Control_1_2_3,DOC,2011,0.05291618982408305,2.534369806502267e-4,305,0.2780256806453662,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS1,0,37,219187,0.03861551,5.152214219509999,603.858941801,70.39,2.17,13.07,0.94,0,0.5266411435512559,108.31129408702442,11.904145156392346,0,68.4323,12.842507049585702,91,16.3095,5.67,5.66,2.74,1,0,Murphy et al. 2018 | Control_1_2_3 | DOC | 2011,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C1,Site_1,Control_1_2_3,DOC,2012,-0.01888130320114878,2.4529448742557228e-5,264,0.08047219686348266,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS1,2,37,219187,0.03861551,5.152214219509999,603.858941801,70.39,2.17,13.07,0.94,0,0.5266411435512559,108.31129408702442,11.904145156392346,0,68.4323,12.842507049585702,91,16.3095,5.67,5.66,2.74,2,2,Murphy et al. 2018 | Control_1_2_3 | DOC | 2012,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C1,Site_1,Control_1_2_3,DOC,2013,0.00311905536048376,8.885581941534969e-5,213,0.13757285173852246,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS1,3,37,219187,0.03861551,5.152214219509999,603.858941801,70.39,2.17,13.07,0.94,0,0.5266411435512559,108.31129408702442,11.904145156392346,0,68.4323,12.842507049585702,91,16.3095,5.67,5.66,2.74,3,3,Murphy et al. 2018 | Control_1_2_3 | DOC | 2013,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C1,Site_1,Control_1_2_3,DOC,2014,-0.04480378759963244,5.74465033903574e-5,173,0.0996907472463309,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS1,4,37,219187,0.03861551,5.152214219509999,603.858941801,70.39,2.17,13.07,0.94,0,0.5266411435512559,108.31129408702442,11.904145156392346,0,68.4323,12.842507049585702,91,16.3095,5.67,5.66,2.74,4,4,Murphy et al. 2018 | Control_1_2_3 | DOC | 2014,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C1,Site_1,Control_1_2_3,DOC,2015,0.009467226822968,1.0104266219872614e-5,207,0.04573382891813926,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C1 | Site_1 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS1,5,37,219187,0.03861551,5.152214219509999,603.858941801,70.39,2.17,13.07,0.94,0,0.5266411435512559,108.31129408702442,11.904145156392346,0,68.4323,12.842507049585702,91,16.3095,5.67,5.66,2.74,5,5,Murphy et al. 2018 | Control_1_2_3 | DOC | 2015,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C2,Site_2,Control_1_2_3,DOC,2011,0.28962858508440426,4.532965825524152e-4,305,0.37182718792267816,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS2,0,50,201169,0.03894074,6.17392272385,583.661642675,65.11000000000001,2.24,18.92,0.72,0,0.773287641832048,91.90476541372747,12.658438667029143,0,68.2947,12.82314083761393,91,27.1144,9.23,8.98,5.64,1,0,Murphy et al. 2018 | Control_1_2_3 | DOC | 2011,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C2,Site_2,Control_1_2_3,DOC,2012,0.17477491374716356,2.1682889320733933e-4,264,0.23925473413652149,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS2,2,50,201169,0.03894074,6.17392272385,583.661642675,65.11000000000001,2.24,18.92,0.72,0,0.773287641832048,91.90476541372747,12.658438667029143,0,68.2947,12.82314083761393,91,27.1144,9.23,8.98,5.64,2,2,Murphy et al. 2018 | Control_1_2_3 | DOC | 2012,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C2,Site_2,Control_1_2_3,DOC,2013,0.12602812939680788,2.3732899541299075e-4,270,0.25313796388828663,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS2,3,50,201169,0.03894074,6.17392272385,583.661642675,65.11000000000001,2.24,18.92,0.72,0,0.773287641832048,91.90476541372747,12.658438667029143,0,68.2947,12.82314083761393,91,27.1144,9.23,8.98,5.64,3,3,Murphy et al. 2018 | Control_1_2_3 | DOC | 2013,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C2,Site_2,Control_1_2_3,DOC,2014,0.04851044651433471,1.4560545899459517e-4,173,0.1587127732920856,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS2,4,50,201169,0.03894074,6.17392272385,583.661642675,65.11000000000001,2.24,18.92,0.72,0,0.773287641832048,91.90476541372747,12.658438667029143,0,68.2947,12.82314083761393,91,27.1144,9.23,8.98,5.64,4,4,Murphy et al. 2018 | Control_1_2_3 | DOC | 2014,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C2,Site_2,Control_1_2_3,DOC,2015,0.17774526497732746,3.833836286295526e-4,154,0.24298370070634595,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C2 | Site_2 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS2,5,50,201169,0.03894074,6.17392272385,583.661642675,65.11000000000001,2.24,18.92,0.72,0,0.773287641832048,91.90476541372747,12.658438667029143,0,68.2947,12.82314083761393,91,27.1144,9.23,8.98,5.64,5,5,Murphy et al. 2018 | Control_1_2_3 | DOC | 2015,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C3,Site_3,Control_1_2_3,DOC,2011,0.4124489262006997,4.430276090673761e-4,305,0.36759137743634535,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS3,0,63.1,174884,1e-5,6.174203149609999,583.656753905,65.10000000000001,2.25,18.92,0.72,0,0.7733302811359897,91.90198798197297,12.658551255454617,0,68.2946,12.823153444452396,91,27.1121,9.23,8.98,5.64,1,0,Murphy et al. 2018 | Control_1_2_3 | DOC | 2011,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C3,Site_3,Control_1_2_3,DOC,2012,0.2631548908906723,2.675693986413997e-4,264,0.26577870727605235,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS3,2,63.1,174884,1e-5,6.174203149609999,583.656753905,65.10000000000001,2.25,18.92,0.72,0,0.7733302811359897,91.90198798197297,12.658551255454617,0,68.2946,12.823153444452396,91,27.1121,9.23,8.98,5.64,2,2,Murphy et al. 2018 | Control_1_2_3 | DOC | 2012,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C3,Site_3,Control_1_2_3,DOC,2013,0.20243552258421532,1.861623826900174e-4,270,0.22419599310938787,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS3,3,63.1,174884,1e-5,6.174203149609999,583.656753905,65.10000000000001,2.25,18.92,0.72,0,0.7733302811359897,91.90198798197297,12.658551255454617,0,68.2946,12.823153444452396,91,27.1121,9.23,8.98,5.64,3,3,Murphy et al. 2018 | Control_1_2_3 | DOC | 2013,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C3,Site_3,Control_1_2_3,DOC,2014,0.10876719349817376,2.6366368667012373e-4,173,0.213573916464374,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS3,4,63.1,174884,1e-5,6.174203149609999,583.656753905,65.10000000000001,2.25,18.92,0.72,0,0.7733302811359897,91.90198798197297,12.658551255454617,0,68.2946,12.823153444452396,91,27.1121,9.23,8.98,5.64,4,4,Murphy et al. 2018 | Control_1_2_3 | DOC | 2014,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Murphy et al. 2018,Murphy_et_al_2018_C3,Site_3,Control_1_2_3,DOC,2015,0.22753386714847657,2.7171449286039897e-4,207,0.2371600725714651,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Murphy_et_al_2018_C3 | Site_3 | Control_1_2_3,Murphy et al. 2018 | Control_1_2_3,3,Murphy_et_al_2018_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,DS3,5,63.1,174884,1e-5,6.174203149609999,583.656753905,65.10000000000001,2.25,18.92,0.72,0,0.7733302811359897,91.90198798197297,12.658551255454617,0,68.2946,12.823153444452396,91,27.1121,9.23,8.98,5.64,5,5,Murphy et al. 2018 | Control_1_2_3 | DOC | 2015,0.3333333333333333,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Rhea et al. 2021,Rhea_et_al_2021_C1,Site_1,Control_1,DOC,2017,-0.3765358900490775,6.253831600948794e-5,86,0.0733368609692013,Rhea et al. 2021 | Rhea_et_al_2021_C1 | Site_1 | Control_1,Rhea et al. 2021 | Rhea_et_al_2021_C1 | Site_1 | Control_1,Rhea et al. 2021 | Control_1,1,Rhea_et_al_2021_C1,designated_one_to_one,TRUE,provisionally_approved,pending,FALSE,FALSE,B1,5,3.25,249594,0.07629756,4.5353038129500005,561.6649461430001,7.77,0.01,60.88,0.52,0,0.19,130.17000000000002,10.61,0,66.9965,12.97,39.1054,100,56.78,25.98,13.88,1,5,Rhea et al. 2021 | Control_1 | DOC | 2017,1,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Rhea et al. 2021,Rhea_et_al_2021_C2,Site_2,Control_2_3,DOC,2017,-0.04851057405232688,6.796778672781801e-4,52,0.1879980029108431,Rhea et al. 2021 | Rhea_et_al_2021_C2 | Site_2 | Control_2_3,Rhea et al. 2021 | Rhea_et_al_2021_C2 | Site_2 | Control_2_3,Rhea et al. 2021 | Control_2_3,2,Rhea_et_al_2021_C2,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,B2,15,6.02,220924,0.08810711,6.99432171781,502.32296909,28.34,1.54,51.73,0,0,0.66,48.7,8.84,0,64.5137,26.69,106,90.3084,38.06,22.73,9.93,1,15,Rhea et al. 2021 | Control_2_3 | DOC | 2017,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Rhea et al. 2021,Rhea_et_al_2021_C3,Site_3,Control_2_3,DOC,2017,0.18993653527450577,0.00143668234668965,52,0.2733266946857957,Rhea et al. 2021 | Rhea_et_al_2021_C3 | Site_3 | Control_2_3,Rhea et al. 2021 | Rhea_et_al_2021_C3 | Site_3 | Control_2_3,Rhea et al. 2021 | Control_2_3,2,Rhea_et_al_2021_C3,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,B3,15,8.33,252026,0.04927063,6.54662546696,521.233878386,12.87,0.07,65.3,1.14,0,0.66,48.7,8.84,0,59.2659,26.69,106,100,64.15,18.59,9.28,1,15,Rhea et al. 2021 | Control_2_3 | DOC | 2017,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Uzun et al. 2020,Uzun_et_al_2020_C1,Site_1,Control_1_2,DOC,2016,0.06724077620916645,0.00341680859733683,46,0.39645074785841217,Uzun et al. 2020 | Uzun_et_al_2020_C1 | Site_1 | Control_1_2,Uzun et al. 2020 | Uzun_et_al_2020_C1 | Site_1 | Control_1_2,Uzun et al. 2020 | Control_1_2,2,Uzun_et_al_2020_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Rocky Fire First Rainy Season Initial Flush,1,3017,,,14.4400834265,945.496900537,8.96,6.24,46.13,0.86,1.26,0.8208340064079408,82.21423923441871,26.80751668661552,0,38.4296,2.4213029989029153,316.555,12.8141,4.08,4.16,3.59,1,1,Uzun et al. 2020 | Control_1_2 | DOC | 2016,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
Uzun et al. 2020,Uzun_et_al_2020_C1,Site_1,Control_1_2,DOC,2017,0.21782532280406663,0.00140024718805765,83,0.3409113031402527,Uzun et al. 2020 | Uzun_et_al_2020_C1 | Site_1 | Control_1_2,Uzun et al. 2020 | Uzun_et_al_2020_C1 | Site_1 | Control_1_2,Uzun et al. 2020 | Control_1_2,2,Uzun_et_al_2020_C1,designated_shared_reference,TRUE,provisionally_approved,pending,TRUE,TRUE,Rocky Fire Second Rainy Season,2,3017,,,14.4400834265,945.496900537,8.96,6.24,46.13,0.86,1.26,0.8208340064079408,82.21423923441871,26.80751668661552,0,38.4296,2.4213029989029153,316.555,12.8141,4.08,4.16,3.59,2,2,Uzun et al. 2020 | Control_1_2 | DOC | 2017,0.5,established_effect_sizes_yearly_provisional,usable,TRUE,TRUE
