DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Zr90,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,FI,HIX,SUVA254,SUVA280,dD,d18O,SamplingNote
7/10/2014 12:25,RainColl_Burn_Low_CC,NM_P225,PrcpColl,1.5,Grab,Precipitation,5.55,-9999,-9999,20.37,0.69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4,3.31,0.03,0.02,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: 50| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/10/2014 10:50,RainColl_MCZOB,NM_P226,PrcpColl,0.083333333,Grab,Precipitation,5.67,-9999,1.16,1.22,0.37,0.66,6.23,0.74,0.49,9.16,2.51,0.755,0.00191,0.44579,57.30308,43.91504,3.11344,95.13496,114.48617,131.5828,673.39433,1.28745,0.06725,0.34366,24.60759,102.55718,0.02024,0.59799,0.51745,44.45532,0.04061,0.66766,3.18229,4.75712,-9999,597.93274,0.00327,0.09358,0.0059,0.37455,7.18071,13.74463,15.49855,2.07227,6.65323,0.5734,26.22043,1.08904,0.07791,1.37726,0.17236,1.03239,0.13894,0.1689,0.16884,0.07869,0.01402,0.02301,-9999,-9999,1.28,4.92,0.02,0.01,-70.47,-10.14,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/10/2014 10:55,RainColl_Burn_Low_CC,NM_P227,PrcpColl,22.33333333,Grab,Precipitation,5.54,-9999,4.3,26.9,0.44,2.22,69.41,0.74,0.49,0.4,8.47,13.84,0.00191,8.39171,280.33616,738.02191,14.19775,199.75512,733.10128,7083.22569,2445.56058,2.76786,0.03841,0.30381,408.19326,41.79123,0.13463,1.89028,2.61442,17.53966,0.26028,0.98699,10.71476,22.21951,-9999,1082.57077,0.01573,0.19506,0.04167,0.06819,44.95204,28.96505,29.73586,5.65085,22.78354,3.04585,2.52115,4.50272,0.66743,3.84531,0.95502,2.3163,0.39082,3.38624,0.18155,0.08047,0.11644,1.1685,-9999,-9999,1.34,2.16,0.02,0.02,-65.98,-9.67,"Sampled by: Kate | Field Note:  | Filtering: 375| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/14/2014 11:00,RainColl_MCZOB,NM_P229,PrcpColl,96.16666667,Grab,Precipitation,6.04,-9999,2.95,2.19,1.77,0.66,6.35,0.74,0.49,13.62,7.74,8.85,0.00191,2.12351,128.07536,88.99661,5.22895,86.98218,339.96557,15843.53559,883.85421,0.04689,0.08305,0.34505,44.02132,107.73844,0.0199,0.21673,0.46881,92.26123,0.06139,0.33639,4.10145,6.96218,-9999,12.24816,0.0033,0.01078,0.01973,0.34371,13.20327,10.93112,18.83097,2.19214,7.43726,1.3261,22.57899,1.51416,0.18793,1.30952,0.15392,0.08155,0.17651,0.36857,0.13097,0.08457,0.00578,0.05808,-9999,-9999,1.29,5.19,0.02,0.01,-55.37,-8.13,"Sampled by: Kate | Field Note:  | Filtering: 450| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/14/2014 11:05,RainColl_MCZOB_CC,NM_P231,PrcpColl,261.25,Grab,Precipitation,5.68,-9999,-9999,21.47,3.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4,4.17,0.03,0.02,-9999,-9999,"Sampled by: Kate | Field Note:  | Filtering: 125| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/14/2014 14:35,RainColl_Burn_Low_CC,NM_P232,PrcpColl,98.16666667,Grab,Precipitation,6.06,-9999,2.89,21.28,2.19,0.66,13.31,3.38,0.49,18.63,6.67,8.1,0.50103,7.96982,269.68427,356.12669,93.97257,127.83055,416.48018,3120.98602,2224.51172,0.86797,0.21361,0.28564,109.63474,42.76398,0.07902,0.46656,2.03363,10.87287,0.70027,1.35809,13.46108,77.3277,-9999,4.2467,0.00499,0.02312,0.00664,0.16381,34.27896,79.15866,145.22216,19.69011,80.03591,14.42985,12.6796,15.61659,1.92172,12.91698,2.36842,7.47301,0.82606,6.76149,0.95278,0.08455,0.0992,6.10025,-9999,-9999,1.36,6.74,0.03,0.02,-53.16,-7.61,"Sampled by: Kate | Field Note:  | Filtering: 325| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/14/2014 14:30,RainColl_Burn_Low_OC,NM_P233,PrcpColl,98.16666667,Grab,Precipitation,5.92,-9999,2.28,3.06,1.86,0.66,4.73,0.74,0.49,21.63,6.31,3.92,0.12229,0.64508,98.73952,66.67263,6.21076,59.26708,166.31068,369.7453,479.44995,0.27774,0.03305,0.40849,13.03474,1.4221,0.00627,0.06055,0.65788,5.09054,0.06958,2.65483,2.09936,8.33885,-9999,1.7816,0.00068,0.00997,0.03277,0.0533,10.36527,8.70278,14.89007,2.03079,10.35252,1.06676,24.26106,1.68597,0.40831,2.0949,0.27665,0.90473,0.35802,0.72849,0.27759,0.07871,0.01187,0.41219,-9999,-9999,1.35,2.46,0.02,0.01,-56.88,-8.32,"Sampled by: Kate | Field Note:  | Filtering: 350| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/17/2014 10:00,RainColl_MCZOB,NM_P236,PrcpColl,0.083333333,Grab,Precipitation,5.98,-9999,1.38,1.61,0.45,0.66,3.11,0.74,0.49,13.2,3.24,0.755,0.00191,1.12809,101.92999,144.63,3.90783,102.64645,86.38563,128.72753,832.70623,0.17114,0.05841,0.27542,34.29163,133.03186,0.02747,0.06342,0.24439,27.7865,0.08148,2.00831,4.34631,5.4534,-9999,1.14265,0.00096,0.01609,0.01372,0.92403,11.5463,8.42745,14.50459,1.75814,6.55491,0.15303,23.63849,1.32899,0.44369,1.45997,0.07655,0.20562,0.34246,0.33848,0.21403,0.07621,0.0114,0.8543,-9999,-9999,1.31,4.8,0.01,0.01,-67.76,-10.53,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/17/2014 10:05,RainColl_MCZOB_CC,NM_P237,PrcpColl,71,Grab,Precipitation,5.81,-9999,3.73,16.3,1.22,0.66,25.21,0.74,0.49,5.36,4.72,4.29,0.00191,4.09037,127.04017,312.54755,12.94147,140.50879,390.30218,2823.60171,1656.67424,0.27086,0.02781,0.35367,158.07542,37.68833,0.06017,0.92086,0.76549,16.66689,0.06953,2.05611,6.08696,18.84844,-9999,0.43592,0.00182,0.01373,0.02618,0.04729,34.48175,22.18169,31.6946,4.7025,21.3801,2.7489,9.73037,2.85812,0.72627,3.77174,0.7581,0.21058,0.38854,2.19852,0.28527,0.07912,0.0817,1.43043,-9999,-9999,1.37,2.43,0.02,0.02,-74.67,-11.27,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/17/2014 13:00,RainColl_Burn_Low_OC,NM_P239,PrcpColl,70.41666667,Grab,Precipitation,5.92,-9999,2.55,2.54,1.74,0.66,3.43,0.74,0.49,10.71,3.74,4.82,0.24623,0.62822,105.52624,75.00332,8.30358,50.56118,257.36551,450.23197,507.75059,0.01551,0.03527,0.4054,10.32586,0.00405,0.00697,0.56908,0.84755,6.27933,0.07221,1.00069,2.32352,11.89395,-9999,0.00106,0.00545,0.04078,0.01181,0.05535,15.67924,13.05352,24.5128,2.83551,11.49675,4.45172,21.21105,2.29596,0.4015,1.48677,0.39228,0.08413,0.19354,0.53508,0.25093,0.07828,0.12489,0.94379,-9999,-9999,1.46,3.55,0.02,0.01,-71.33,-10.49,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, open canopy"
7/17/2014 13:05,RainColl_Burn_Low_CC,NM_P240,PrcpColl,70.5,Grab,Precipitation,5.77,-9999,3.31,16.13,0.79,0.66,12.77,0.74,0.49,0.4,3.26,6.81,0.00191,5.11012,153.78347,222.72542,49.85077,196.22857,367.92857,1993.85219,1705.24158,0.64146,0.11334,0.36161,164.48842,44.91757,0.06896,0.14484,0.5114,9.47915,0.61914,0.6729,11.99611,34.84567,-9999,0.21402,0.00069,0.01955,0.03292,0.05913,34.35314,40.27422,89.31316,10.44148,39.06273,8.54629,10.49172,7.83131,1.25837,7.17322,2.57624,2.87025,0.63288,3.8344,0.65496,0.07896,0.08328,3.07617,-9999,-9999,1.34,6.05,0.02,0.02,-71.16,-10.87,"Sampled by: Kate | Field Note:  | Filtering: 500| Botles: 1 500 mL HDPE | Description: bulk ppt w/o oil, closed canopy"
7/16/2014 0:00,FluxBurnThroughfall,NM_P241,PrcpThroughfall,,Grab,Precipitation,-9999,-9999,1.76,14.18,1.07,4.49,7.42,0.74,0.49,29.38,10.14,4.7,0.0494,7.90457,491.57322,512.15535,42.04241,611.46913,696.58984,3713.85545,4706.98107,5.26642,1.6383,0.18639,1.93168,78.05974,0.40222,0.5632,1.09182,7.24256,0.51281,2.17786,21.88577,39.72982,-9999,646.11919,0.00988,1.19359,0.21441,0.06916,21.58934,41.97581,71.03936,10.32835,40.35777,9.21965,11.95204,7.22225,1.229,9.40611,1.72793,3.34678,0.72503,4.52797,1.11354,2.47018,0.12845,12.16315,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Burn Throughfall
7/16/2014 0:00,FluxBurnStemflow,NM_P242,PrcpStemflow,,Grab,Precipitation,-9999,-9999,0.95,151.74,0.68,0.66,38.62,0.74,0.49,0.4,30.02,4.67,0.16677,16.67734,330.60449,1408.13757,199.98088,1254.11943,1429.34578,10059.24705,14827.92773,3.43357,2.36372,1.49603,1267.14398,297.67963,1.63865,1.91887,2.93423,259.27371,0.61118,1.74537,83.33763,119.80782,-9999,357.99373,0.00073,0.32374,185.03406,0.05886,171.82561,164.50354,204.39401,26.24594,101.43634,20.30607,9.58776,21.51077,3.58356,20.00616,3.92218,11.23658,1.77441,10.41002,1.96819,0.1962,1.10365,16.87354,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Burn Stemflow
7/16/2014 0:00,FluxOpenPrcp,NM_P243,PrcpOpen,,Grab,Precipitation,-9999,-9999,0.78,4.01,0.77,4.93,4.38,0.74,0.49,15.36,13.64,3.94,0.07979,2.99206,232.50221,2229.06571,16.10723,269.93901,318.255,737.35983,3325.11316,19.77749,1.47837,1.47837,20.70503,83.94205,0.36467,0.77634,0.49868,4.49806,0.27926,2.10915,17.10459,9.14311,-9999,2975.88568,0.01995,5.0466,1.30454,0.04987,20.69505,26.68039,26.67578,2.42707,11.1297,5.93404,10.80273,3.02163,0.46922,2.11881,0.42647,1.4489,0.23664,1.47633,0.49381,0.19947,0.07979,2.89232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Open Precipitation
7/16/2014 0:00,FluxUnburnThroughfall,NM_P244,PrcpThroughfall,,Grab,Precipitation,-9999,-9999,0.64,19.02,0.46,5.96,46.25,0.74,0.49,3.38,5.11,4.08,0.12813,13.79815,1068.148,398.73421,60.1698,607.43863,386.05262,5345.10256,3472.337,14.32051,1.72616,1.47671,132.71852,109.22673,0.449,2.06578,2.85425,35.37255,0.53221,2.05542,13.94599,53.09775,-9999,1994.73991,0.58149,3.48896,1.02106,0.09856,143.05728,77.06242,142.64491,16.7739,59.39526,13.1782,8.12111,9.57674,2.1557,12.22212,2.29222,6.51663,1.22383,6.01089,0.85662,0.19712,0.19712,9.02793,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Unburn Throughfall
7/16/2014 0:00,FluxUnburnStemflow,NM_P245,PrcpStemflow,,Grab,Precipitation,-9999,-9999,-9999,592.12,4.19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.11973,11.97333,163.16159,623.03556,26.491,539.84329,632.59111,3844.16795,6115.99043,5.39798,2.36243,1.29683,2.39766,142.21856,0.5328,0.85649,1.06064,6.23611,0.61363,2.4328,27.68833,39.71498,-9999,694.37351,0.04989,1.23625,0.47794,0.05987,64.50633,59.88374,73.96122,11.45604,40.36499,9.87963,10.20047,7.77961,1.07453,10.15632,1.31696,4.23843,0.7556,3.90408,0.87153,0.09978,0.0898,9.2494,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: Flux Unburn Stemflow
7/16/2014 0:00,ZOBBurnThroughfall,NM_P246,PrcpThroughfall,,Grab,Precipitation,-9999,-9999,2.87,17.99,0.35,0.66,11.63,0.74,0.49,1.86,10.53,7.27,0.09048,83.43918,321.49282,5998.50375,151.64819,1169.60271,15043.48885,74831.19249,27486.59823,7.15767,1.98806,1.39164,1811.19311,432.87027,2.72961,4.92191,6.52434,369.23344,0.52979,2.0974,125.00797,308.35098,-9999,766.95683,0.02011,1.43254,48.97176,0.05026,446.50013,351.58966,526.52261,69.06629,227.80892,49.19517,3.23933,47.91026,8.06124,54.92725,11.26943,28.48921,4.40819,26.11897,4.11178,0.50265,0.50868,36.79366,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Burn Throughfall
7/16/2014 0:00,ZOBBurnStemflow,NM_P247,PrcpStemflow,,Grab,Precipitation,-9999,-9999,4.43,533.25,2.2,98.1,94.55,0.74,0.49,42.97,217.21,17.05,0.07952,39.7612,2064.69916,107.65533,14.96015,159.04481,241.5493,654.66071,2205.70301,17.32594,1.36442,1.55265,106.02324,67.29476,0.36849,1.63518,1.06659,22.25633,0.28827,1.91218,6.13317,10.38157,-9999,2520.48314,0.02982,4.58248,0.88568,0.05964,97.66345,27.8045,25.84848,3.1789,13.64416,5.22054,8.35409,1.79875,0.62327,1.80849,0.44995,1.81458,0.28211,0.94614,0.53748,0.19881,0.03976,1.88866,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Burn Stemflow
7/16/2014 0:00,ZOBOpenPrcp,NM_P248,PrcpOpen,,Grab,Precipitation,-9999,-9999,0.23,3.86,0.54,14.99,55.01,0.74,0.49,29.62,15.99,6.25,0.08963,68.71893,2859.90545,179.7772,29.92759,191.2179,266.90832,4216.88127,2189.30693,15.66592,1.15604,1.73011,78.1404,72.88997,0.37547,2.47587,6.97149,114.82037,0.44518,2.05519,6.30422,36.14523,-9999,2234.77955,0.09959,4.0335,0.73699,0.09959,58.90906,51.09729,67.65768,8.85566,34.78804,11.15983,10.50186,5.23822,1.15623,6.34733,1.36475,4.87414,0.67168,3.96704,0.81235,0.19919,0.03984,8.42554,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Open Precipitation
7/16/2014 0:00,ZOBUnburnThroughfall,NM_P249,PrcpThroughfall,,Grab,Precipitation,-9999,-9999,0.45,20.49,0.76,33.51,103.76,0.74,0.49,8.48,4.64,4.32,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sampled by: Alissa | Field Note:  | Filtering: | Botles:  | Description: ZOB Unburn Throughfall
