DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,Ge74,As75,Se78,Sr88,Y89,Zr90,Nb93,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,FI,HIX,SUVA254,SUVA280,dD,d18O,Volume,SamplingNote
6/20/2017 13:50,RainColl_MCZOB_CC,NM_P492,PrcpColl,195.6,Grab,Precipitation,7.47,-9999,8.36,-9999,-9999,2.28,44.92,2.64,0.21,13.09,23.32,18.96,0.05,5.27,608.22,475.75,6.71,397.02,788.03,5012.67,2236.44,1.91,0.53,0.03,4.95,22.5,0.04,1.55,1.74,4.31,0.07,0.06,0.49,12.78,19.5,0.06,0.06,0.19,0.03,0.05,0.01,0.04,18.82,20.14,18.1,4.89,17.16,0.64,0.74,0.79,0.12,4.28,1.08,0.57,0.21,0.79,0.04,0.03,0.01,2168.58,-9999,-9999,-9999,-9999,-9999,-9999,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions | FM comment: RB
6/20/2017 13:50,RainColl_MCZOB,NM_P493,PrcpColl,195.5,Grab,Precipitation,8.33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,500,Sampled by: Adam | Splits: pH only
7/11/2017 15:30,RainColl_Burn_Low_OC,NM_P494,PrcpColl,677.5,Grab,Precipitation,6.13,-9999,3.77,70.16,1.01,29.66,36.37,0.49,0.21,0.23,15.19,22.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH
7/11/2017 15:30,RainColl_Burn_Low_CC,NM_P495,PrcpColl,677.5,Grab,Precipitation,6.76,-9999,4.88,6.98,6.12,1.14,21.85,2.35,0.21,34.08,22.18,15.16,0.04,14.09,470.64,961.03,112.69,534.47,1065.01,12796.67,3697.94,2.22,0.18,0.004,343.04,70.32,0.26,1.36,2.03,16.36,0.03,0.15,0.31,27.62,99.28,0.05,0.05,0.02,0.03,0.03,0.01,0.01,27.17,84.22,198.95,21.24,85.52,19.6,4.37,17.01,2.14,18.25,3.17,13.1,1.51,8.54,1.55,0.04,0.73,2118.86,1.37,2.09,0.1641,0.1308,-45.58,-6.55,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH | FM comment: RB
7/19/2017 10:29,RainColl_MCZOB,NM_P496,PrcpColl,692.6,Grab,Precipitation,6.31,-9999,4.5,8.72,3.41,17.58,4.91,0.49,0.21,1.25,7.89,27.78,0.02,2.45,118,623,16.11,117,1101,1382,1658,2.71,0.85,0.18,133.67,73.14,0.24,0.42,1.05,16.75,0.01,0.64,4.73,9.13,34.59,0.03,0.03,0.03,0.001,0.02,0.02,0.1,20.27,29.29,62.29,9.56,30.91,24.69,1.35,9.48,0.5,8.92,13.58,74.89,239.9,104.93,203.62,0.03,0.001,1.71,1.24,2.13,0.0173,0.0147,-54.21,-8.13,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH | FM comment: RB
7/19/2017 13:35,RainColl_MCZOB_CC,NM_P497,PrcpColl,695.7,Grab,Precipitation,6.07,-9999,4.42,78.39,6.01,85.36,61.83,0.49,0.21,0.88,18.22,43.67,0.05,31.03,751,1127,98.11,277,1666,11654,6494,4.9,0.63,0.03,298.69,260.54,0.49,2.7,4.12,89.88,0.03,1.4,4.3,22.69,189.44,0.21,0.03,0.02,0.02,0.001,0.01,0.18,56.37,169.47,389.12,50.59,184.73,57.14,7.6,44.54,9.11,54.78,34.71,214.02,2.05,126.07,241.66,0.04,0.27,18.74,1.32,2.82,0.0178,0.0136,-47.75,-7.45,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH | FM comment: RB
7/21/2017 15:32,RainColl_Burn_Low_OC,NM_P498,PrcpColl,240,Grab,Precipitation,5.26,-9999,5.02,4.62,4.88,2.71,3.1,2.43,0.21,8.84,5.61,7.63,0.01,1.04,68,174,6.97,38,320,784,611,0.99,0.91,0.06,12.7,8.9,0.03,0.08,0.41,6.21,0.02,0.84,4.85,3.37,18.9,0.02,0.03,0.03,0.001,0.02,0.05,0.06,4.28,22.6,47.03,7.8,18.93,16,0.77,8.5,2.9,21.6,20.27,44.3,474,151.6,304,0.04,0.05,1.2,1.37,3.24,0.0197,0.0158,-47.34,-7.39,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH | FM comment: RB
7/21/2017 15:35,RainColl_Burn_Low_CC,NM_P499,PrcpColl,240.1,Grab,Precipitation,5.59,-9999,4.15,23.82,1.06,8.09,10.34,0.49,0.21,0.57,5.38,7.03,0.01,15.89,211,391,38.25,135,330,3481,2195,0.85,0.65,0.06,146.93,26.92,0.11,0.32,1.45,9.85,0.02,1.18,4.42,14.1,35.34,0.05,0.03,0.06,0.001,0.001,0.05,0.07,16.4,36.11,87.55,12,40.46,19.28,4.18,14.26,1.2,2.48,6.7,89.66,144.58,114.05,408.63,0.03,0.05,1.2,1.32,2.71,0.0203,0.0158,-72.6,-10.71,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; nut; OH | FM comment: RB
8/10/2017 16:00,RainColl_Burn_Low_OC,NM_P500,PrcpColl,480.5,Grab,Precipitation,6.65,-9999,3.27,2.33,3.35,0.2,3.04,1.13,0.21,6.07,5.78,7.27,0.01,1.31,41.39,56.17,9.91,47.48,260.99,359.38,362.3,0.5,0.02,0.75,5.41,31.11,0.02,0.13,1.08,3.79,0.04,0.05,3.56,1.54,17.07,0.01,0.0003,0.001,0.01,0.01,0.05,0.05,2.81,28.91,56.34,5.4,24.14,4.15,0.21,4.21,0.39,2.9,0.56,1.86,0.21,0.99,0.04,0.01,0.04,3.49,1.25,1.12,0.0223,0.0172,-19.55,-3.37,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
8/10/2017 16:05,RainColl_Burn_Low_CC,NM_P501,PrcpColl,480.5,Grab,Precipitation,5.84,-9999,3.1,14.74,0.63,0.2,6.99,0.49,0.21,0.64,5,10.78,0.002,7.25,83.94,178.11,27.36,47.09,366.15,1703.6,955.22,1.03,0.1,0.3,91.5,30.76,0.09,0.05,2.26,8.45,0.05,0.31,4,7.67,26.35,0.03,0.0003,0.001,0.01,0.01,0.04,0.05,12.48,29.71,65.3,7,31.29,3.6,0.21,3.91,0.81,3.4,0.58,3.13,0.21,1.76,0.45,0.01,0.13,1.52,1.24,2.41,0.0272,0.0212,-22.26,-4.29,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
8/15/2017 14:30,RainColl_MCZOB,NM_P502,PrcpColl,652,Grab,Precipitation,6.41,-9999,3.72,1.88,2.57,0.2,4.04,0.76,0.21,5.64,6.42,10.24,0.002,1.8,48.01,60.65,2.66,48.52,376.17,346.15,540.76,0.49,0.04,0.22,0.37,22.67,0.01,0.11,0.49,4,0.04,0.08,3.57,1.91,3.62,0.001,0.0003,0.01,0.02,0.001,0.05,0.06,5.9,20.78,31.54,2.22,12.67,0.4,0.21,2.57,0.2,1.06,0.13,0.2,0.21,0.26,0.17,0.01,0.01,1.2,1.36,2.57,0.0218,0.0154,-15.01,-2.39,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
8/24/2017 10:30,RainColl_MCZOB_CC,NM_P503,PrcpColl,860.9,Grab,Precipitation,6.78,-9999,9.78,44.54,11.2,7.67,48.53,0.49,0.21,0.23,23.41,124.08,0.01,14.01,279.47,1489.33,29.61,316.18,5280,8177,2679,6.25,0.18,0.32,214.2,103.85,0.22,1.5,4.5,18.69,0.1,0.54,2.95,13.56,49.49,0.06,0.0003,0.04,0.02,0.04,0.04,0.08,33.22,49.98,100.57,9.97,54.27,9.88,1.56,12.23,1.2,7.99,1.72,3.27,0.78,2.28,0.74,0.01,0.33,7.45,1.33,1.76,0.0228,0.018,-67.88,-9.72,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
8/24/2017 10:35,RainColl_MCZOB,NM_P504,PrcpColl,212.1,Grab,Precipitation,5.67,-9999,0.82,2.32,0.46,0.2,3.74,0.45,0.21,13.01,3.22,0.26,0.002,1.24,33.61,27.46,2.96,20.09,39.99,144.27,403.72,0.2,0.11,0.17,10.48,26.96,0.09,0.01,0.54,7.46,0.03,0.16,3.59,1.13,0.24,0.001,0.0003,0.01,0.001,0.01,0.05,0.03,6.21,6.14,13.5,0.44,6.79,0.49,0.21,0.7,0.12,0.44,0.23,0.39,0.21,0.72,0.14,0.01,0.01,1.2,1.31,1.38,0.0138,0.0103,-62.06,-8.75,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
8/28/2017 12:43,RainColl_Burn_Low_CC,NM_P505,PrcpColl,428.6,Grab,Precipitation,5.99,-9999,2.73,13.34,0.26,1.27,6.85,0.49,0.21,0.23,3.12,10.32,0.002,5.37,94.95,152.35,16.66,115.17,374.18,2429,724.58,0.71,0.07,0.27,66.22,34.91,0.08,0.09,0.48,8.43,0.03,0.52,4.07,5.83,11.1,0.01,0.0003,0.02,0.01,0.02,0.05,0.06,19.09,13.44,38.36,3.49,15.35,3.96,0.21,3.4,0.16,0.92,0.53,0.98,0.21,2.23,0.17,0.01,0.04,1.2,1.31,2.74,0.0239,0.0189,-62.91,-8.86,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
8/28/2017 12:45,RainColl_Burn_Low_OC,NM_P506,PrcpColl,428.8,Grab,Precipitation,6.81,-9999,5.82,3.31,6.32,0.2,13.08,1.56,0.21,7.52,13.53,24.55,0.002,1.76,155.11,128.91,4.14,41.9,947.69,1043.46,440.85,1.21,0.16,0.37,12.39,45.02,0.06,0.23,0.81,13.95,0.06,0.19,4.33,2.54,14.21,0.01,0.0003,0.01,0.01,0.01,0.04,0.04,3.11,27.44,47.26,4.4,24.9,3.49,0.21,6.08,0.49,1.84,0.2,2.15,0.21,2.53,0.41,0.01,0.04,1.25,1.66,2.26,0.0218,0.0169,-57.02,-7.74,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
9/8/2017 10:50,RainColl_MCZOB,NM_P507,PrcpColl,360.3,Grab,Precipitation,6.38,-9999,2.61,3.99,1.14,0.2,5.15,0.91,0.21,24.83,9.45,0.26,0.002,3.55,55.64,76.33,5.53,47.01,59.26,248.82,1367.85,0.25,0.2,0.32,11.23,30.34,0.02,0.22,0.63,11.16,0.03,0.13,4.52,3.99,6.61,0.001,0.0003,0.04,0.001,0.02,0.05,0.07,8.94,7.7,18.02,1.44,11.03,2.17,0.21,0.88,0.12,2.64,0.13,1.18,0.3,1.34,0.11,0.01,0.02,1.4,1.57,3.76,0.0163,0.011,-41.32,-6.11,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
9/8/2017 10:58,RainColl_MCZOB,NM_P508,PrcpColl,0.1,Grab,Precipitation,6.82,-9999,7.96,35.05,7.11,5.37,139.69,0.49,0.21,8.83,39.46,46.93,0.01,14.36,456.62,613.3,23.23,181.29,2555,9642,1797.88,2.9,0.12,0.38,96.87,53.55,0.13,0.95,1.91,14.21,0.03,0.41,5.26,8.12,47.24,0.07,0.0003,0.05,0.01,0.03,0.05,0.08,20.05,38.97,77.22,10.74,44.89,6.86,0.21,7.64,0.96,9.21,1.48,5.81,0.86,4.72,0.77,0.01,0.14,3.4,1.3,1.85,0.0228,0.0178,-51.59,-7.63,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
9/20/2017 14:50,RainColl_MCZOB,NM_P509,PrcpColl,291.9,Grab,Precipitation,6.92,-9999,1.93,5.16,1.26,0.2,9.81,0.49,0.21,36.11,15.61,0.26,0.002,5.71,111.4,118.05,3.93,68.08,73.96,368.94,2473,0.36,0.27,0.37,0.58,37.27,0.01,0.29,1.15,16.48,0.01,0.25,5.09,7.34,11.6,0.01,0.0003,0.03,0.001,0.02,0.05,0.14,18.82,10.23,17.68,2.57,12.88,1.31,0.21,1.75,0.47,2.16,0.14,2.21,0.21,1.84,0.42,0.01,0.01,1.51,1.47,2.63,0.0138,0.0095,-31.74,-2.81,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
9/21/2017 10:23,RainColl_Burn_Low_CC,NM_P510,PrcpColl,573.7,Grab,Precipitation,6.51,-9999,2.64,14.68,0.38,0.2,13.54,0.49,0.21,5.91,11.39,13.82,0.01,8.23,101.94,391.02,15.53,153.55,561.91,2567,1541.13,0.8,0.1,0.28,147.07,42.08,0.18,0.55,3.91,20.75,0.02,3.01,4.2,14.25,14.36,0.04,0.0003,0.02,0.01,0.03,0.02,0.07,23.18,9.52,28.59,2.48,11.22,1.73,0.21,0.7,0.16,3.17,0.2,1.67,0.21,1.87,0.57,0.01,0.68,1.33,1.31,2.37,0.0228,0.0178,-30.65,-3.97,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
9/21/2017 10:28,RainColl_Burn_Low_OC,NM_P511,PrcpColl,573.7,Grab,Precipitation,6.8,-9999,5.98,5.64,5.83,0.2,12.16,1.69,0.21,17.76,20.87,23.9,0.01,5.34,119,211.84,6.41,142.26,954.42,1413.75,960.49,1.3,0.16,0.61,5.42,49.21,0.05,0.21,1.14,11.66,0.01,0.15,4.57,6.1,20.36,0.01,0.0003,0.1,0.001,0.02,0.05,0.08,7.45,19.94,46.34,4.9,23.2,2.88,0.21,3.65,0.77,3.89,0.6,2.39,0.57,4.22,0.45,0.01,0.06,2.56,1.64,3.74,0.0206,0.0154,-23.15,-1.49,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
10/3/2017 16:10,RainColl_MCZOB,NM_P512,PrcpColl,313.3,Grab,Precipitation,6.63,-9999,1.31,1.97,0.54,0.2,3.45,0.49,0.21,10.64,3.31,0.26,0.002,0.67,29.35,51.25,2.35,38.44,51.73,140.5,766.02,0.17,0.13,2.1,2.34,64.57,0.01,0.18,0.61,4.98,0.01,0.22,4.93,2.47,4.28,0.01,0.0003,0.03,0.001,0.02,0.06,0.71,6.37,7.2,14.64,0.51,9.44,1.39,0.21,0.73,0.12,0.42,0.36,0.85,0.21,4.86,0.3,0.01,0.01,4.77,1.42,3.83,0.0137,0.0091,-76.82,-11.67,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
10/3/2017 16:15,RainColl_MCZOB_CC,NM_P513,PrcpColl,965.8,Grab,Precipitation,5.93,-9999,5.67,38.07,4.03,3.36,57.73,0.49,0.21,0.64,16.4,17.5,0.02,12.92,383.11,491.55,35.21,197.47,942.95,5663,2118,1.4,0.27,0.35,116.13,65.97,0.16,0.65,3.04,14.22,0.05,0.84,5.25,10.97,108.83,0.07,0.0003,0.05,0.68,0.03,0.05,0.12,27.15,70.46,156.95,19.08,93.6,19.44,2.79,17.97,2.26,16.67,3.71,8.41,1.15,12.66,1.32,0.01,0.38,14.55,1.26,2.43,0.0227,0.0177,-68.14,-9.94,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
10/6/2017 16:04,RainColl_Burn_Low_OC,NM_P514,PrcpColl,365.6,Grab,Precipitation,6.29,-9999,1.94,2.06,1.96,0.2,4.41,0.49,0.21,7,8.87,7.19,0.01,0.73,193.79,94.52,8.34,132.19,592.85,284.45,1188.58,1.26,0.58,1.98,8.31,117.98,0.1,9.1,0.55,7.32,0.14,5.55,20.51,7.23,11,0.01,0.02,0.19,0.1,0.03,0.02,0.05,6.58,15.07,28.04,3.1,12.74,3.35,1.34,3.53,0.59,0.44,0.54,0.78,0.21,1.12,0.17,0.01,0.18,3.23,1.51,2.19,0.0121,0.0087,-68.14,-10.11,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
10/6/2017 16:10,RainColl_Burn_Low_CC,NM_P515,PrcpColl,365.8,Grab,Precipitation,5.13,-9999,3.52,58.56,0.28,10.48,7.95,0.49,0.21,0.23,8.92,25.55,0.002,10.89,137.97,764.86,69.04,256.09,1131.21,5005,2227,3.76,0.29,0.9,639.16,132.16,0.27,7.4,0.46,24.72,0.11,5.57,18.45,30.02,29,0.03,0.02,0.02,0.11,0.03,0.01,0.05,26.48,25.35,67.85,8.09,32.4,8.2,4.15,6.64,0.63,4.44,1.13,2.93,0.31,1.85,0.67,0.01,0.2,5.23,1.46,0.42,0.0111,0.0111,-69.07,-10.54,500,Sampled by: Adam | Splits: cat; TOC; DIC; anions; OH | FM comment: RB
