DateTime,SiteCode,SampleCode,SamplingMethod,SampleSize,SampleType,SampleMedium,Depth,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Zr90,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,NH4-N,Ortho-P,FI,HIX,SUVA254,SUVA280,dD,d18O,SamplingNote
3/15/2015 8:00,UnburnedZOBPit3,NM_P360,Snow,201,Grab,snow,Layer 2,0.5300000,1.3100000,0.2200000,0.6600000,1.7400000,0.7400000,0.4900000,6.0600000,3.0400000,0.7600000,0.0910000,94.2480000,45.5830000,38.0950000,5.9640000,25.6780000,22.2230000,118.4490000,274.7680000,0.0730000,0.0830000,0.2340000,7.0670000,0.2990000,0.0240000,0.1110000,0.1670000,0.9440000,0.1060000,5.4000000,1.0040000,5.4130000,0.1010000,0.0630000,0.0170000,0.0380000,0.0570000,0.1450000,13.5140000,12.5670000,5.3020000,4.9430000,0.4010000,4.5090000,3.7840000,2.9180000,0.0260000,5.0350000,1.3630000,4.8040000,2.9330000,2.5980000,4.7160000,0.0130000,0.0070000,26.3850000,-9999.0000000,-9999.0000000,1.3690000,0.7700000,0.0490000,0.0370000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit3,NM_P361,Snow,206.3,Grab,snow,Layer 3,0.6100000,3.4700000,0.3100000,0.6600000,2.4300000,0.7400000,0.4900000,8.8900000,3.2900000,0.7600000,0.5130000,97.8090000,136.7710000,91.1830000,6.5090000,46.4470000,63.2000000,452.6380000,631.6100000,0.3510000,0.1680000,0.3410000,25.0170000,3.0850000,0.0300000,0.0990000,0.2020000,2.3920000,0.2770000,2.5530000,2.8930000,16.7680000,0.0800000,0.0830000,0.0150000,0.0200000,0.0510000,0.1370000,19.4300000,22.6010000,31.0140000,9.4450000,15.2630000,6.2800000,6.9890000,7.3360000,3.9640000,6.0770000,3.0680000,10.0090000,4.7070000,5.2280000,5.5160000,0.0350000,0.0210000,33.9650000,-9999.0000000,-9999.0000000,1.3830000,0.5560000,0.0160000,0.0110000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit4,NM_P362,Snow,194.2,Grab,snow,Layer 1,0.4800000,1.1600000,0.3500000,0.6600000,3.9500000,0.7400000,0.4900000,9.6700000,2.8200000,0.7600000,0.0150000,97.2460000,63.3770000,26.8760000,0.1300000,28.5460000,19.9270000,22.4850000,238.4950000,0.7740000,0.1280000,0.2290000,3.1690000,0.0880000,0.0360000,0.0870000,0.1000000,0.0530000,0.1460000,1.4890000,1.0880000,10.4770000,0.0300000,0.0370000,0.0090000,0.0100000,0.0360000,0.1380000,9.4030000,22.1740000,14.6840000,11.4330000,12.0330000,16.1660000,12.7800000,14.2020000,6.8660000,10.9010000,7.5150000,9.7140000,7.5110000,11.4100000,9.6020000,0.0880000,0.0300000,19.7280000,0.1940000,0.0050000,1.5480000,0.3060000,0.0020000,0.0020000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit4,NM_P363,Snow,211,Grab,snow,Layer 2,0.5500000,1.4100000,0.3800000,0.6600000,5.6800000,0.7400000,0.4900000,12.9600000,4.6400000,0.7600000,0.5130000,99.3920000,180.3470000,94.3430000,4.6400000,48.3450000,20.0180000,49.8780000,565.7570000,0.5770000,0.1990000,0.2540000,5.8940000,3.2390000,0.0540000,0.5650000,0.3140000,0.9800000,0.2480000,3.9490000,4.6490000,10.0230000,0.0400000,0.0940000,0.0110000,0.0750000,0.0440000,0.1280000,14.0440000,12.6690000,11.6610000,8.3780000,4.1350000,5.3710000,7.8590000,7.1660000,3.7800000,6.1460000,4.5230000,9.1690000,4.6760000,7.2670000,5.1390000,0.0540000,0.0180000,42.8400000,-9999.0000000,-9999.0000000,1.5840000,0.3510000,0.0020000,0.0020000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 8:00,UnburnedZOBPit4,NM_P364,Snow,169,Grab,snow,Layer 3,0.4900000,1.0200000,0.2700000,0.6600000,2.0900000,0.7400000,0.4900000,11.0200000,2.4500000,0.7600000,0.0150000,95.8680000,48.5760000,36.9290000,6.7610000,36.3390000,30.1160000,61.1890000,324.5690000,0.8780000,0.0930000,0.4340000,7.7600000,3.6070000,0.0410000,1.2760000,13.0370000,1.6840000,0.3110000,5.0160000,1.1240000,5.9830000,0.1000000,0.0640000,0.0190000,0.0520000,0.0690000,0.1340000,12.3440000,11.3570000,8.7210000,5.1470000,7.1780000,7.3370000,5.7610000,4.5660000,1.9270000,4.9990000,0.9370000,2.0820000,3.3630000,4.9820000,3.6600000,0.0270000,0.1950000,32.6050000,-9999.0000000,-9999.0000000,1.6810000,0.6600000,0.0020000,0.0020000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit1,NM_P365,Snow,256.1,Grab,snow,Layer 1,0.5000000,0.7500000,0.1400000,0.6600000,0.6900000,0.7400000,0.4900000,4.4800000,0.5200000,0.7600000,0.3020000,92.1760000,21.8390000,14.4300000,6.8170000,3.4100000,14.0420000,0.1620000,147.9020000,0.6140000,0.1470000,0.2590000,2.4720000,2.4660000,0.0190000,0.0770000,0.0550000,0.0340000,0.1200000,3.6060000,0.4870000,2.8380000,0.0600000,0.0670000,0.0650000,0.0840000,0.0660000,0.1510000,10.2850000,9.0880000,6.8250000,5.9880000,1.4740000,7.9940000,6.2290000,4.6520000,3.2510000,2.5430000,2.3290000,3.5840000,3.2680000,6.6280000,3.5570000,0.0400000,0.0040000,0.8020000,0.1080000,0.0050000,1.3750000,0.7230000,0.0090000,0.0080000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit1,NM_P366,Snow,212.7,Grab,snow,Layer 2,0.5500000,1.2000000,0.4000000,0.6600000,4.8700000,0.7400000,0.4900000,15.4500000,5.1900000,0.7600000,0.0150000,93.9670000,168.1290000,70.0340000,6.9950000,26.9360000,1.9910000,41.5670000,716.5820000,1.5620000,0.2290000,0.5810000,8.8230000,2.3140000,0.0190000,0.2740000,0.3200000,1.0070000,0.3660000,5.3220000,4.5600000,0.9590000,0.0800000,0.0890000,0.0110000,0.0230000,0.0590000,0.1710000,28.3040000,2.9840000,9.0970000,7.0360000,8.0670000,4.2000000,4.8640000,3.7890000,4.8550000,3.4750000,2.6840000,3.6920000,2.1810000,6.1140000,1.6500000,0.0130000,0.0100000,1.3940000,-9999.0000000,-9999.0000000,1.2460000,0.8120000,0.0020000,0.0020000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPIt1,NM_P367,Snow,211.6,Grab,snow,Layer 3,0.4500000,1.6200000,0.2700000,0.6600000,1.8400000,0.7400000,0.4900000,10.4300000,2.3500000,0.7600000,0.1940000,91.5240000,27.7090000,31.7020000,5.4680000,5.2500000,1.9810000,48.8650000,496.1990000,0.2500000,0.0810000,0.3040000,11.2480000,1.5570000,0.0210000,0.2270000,0.4400000,1.6660000,0.2120000,2.8680000,1.9260000,4.5520000,0.0890000,0.0390000,0.0210000,0.0360000,0.0540000,0.1190000,17.9230000,1.4510000,5.8700000,5.3530000,3.9340000,0.5220000,2.7460000,3.5610000,0.1930000,2.9290000,0.0590000,1.8760000,0.8310000,5.1930000,2.3350000,0.0150000,0.2380000,15.1550000,-9999.0000000,-9999.0000000,1.1770000,0.9860000,0.0020000,0.0020000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit2,NM_P368,Snow,213.7,Grab,snow,Layer 1,0.4600000,0.7600000,0.2200000,0.6600000,29.6700000,0.7400000,0.4900000,7.3300000,1.3000000,0.7600000,0.0150000,95.3380000,55.4620000,19.2690000,7.1590000,33.9340000,13.1290000,0.3180000,262.5230000,0.8990000,0.0410000,0.3070000,3.5650000,1.9500000,0.0020000,0.4970000,0.1690000,1.2480000,0.1960000,2.9240000,0.9420000,2.9190000,0.1110000,0.0390000,0.0000000,0.0080000,0.0350000,0.1500000,11.8080000,5.3760000,11.1820000,2.8410000,1.8440000,4.9340000,7.0110000,4.9400000,1.1680000,5.3290000,1.9070000,5.8570000,3.5680000,5.2320000,0.4440000,0.0160000,0.0070000,31.7720000,-9999.0000000,-9999.0000000,1.1560000,0.3960000,0.0180000,0.0130000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit2,NM_P369,Snow,189.7,Grab,snow,Layer 2,0.5100000,1.2300000,0.3000000,0.6600000,8.1600000,0.7400000,0.4900000,9.5300000,5.5400000,0.7600000,0.1960000,95.2050000,64.7420000,50.6220000,10.8520000,54.6600000,35.0390000,22.7660000,541.7470000,0.6130000,0.1840000,0.4400000,8.4550000,8.6860000,0.0630000,0.1270000,0.8450000,3.1420000,0.4190000,2.5480000,2.2440000,10.1450000,0.0800000,0.1290000,0.1110000,0.0090000,0.0780000,0.1950000,20.2300000,3.2530000,8.9730000,5.9130000,3.7770000,5.3310000,5.5610000,5.1100000,3.9430000,5.5710000,2.4400000,0.3480000,2.0920000,4.3160000,1.4960000,0.0130000,0.0370000,4.5050000,-9999.0000000,-9999.0000000,1.1620000,0.6130000,0.0110000,0.0080000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit2,NM_P370,Snow,212,Grab,snow,Layer 3,0.4600000,1.4000000,0.2800000,0.6600000,0.6900000,0.7400000,0.4900000,12.7400000,2.0500000,0.7600000,0.6180000,100.8600000,9.5490000,30.1860000,4.4660000,38.4610000,22.0350000,21.9480000,318.2340000,0.9840000,0.1340000,0.2380000,11.2010000,0.7150000,0.0200000,0.0940000,0.2340000,1.4560000,0.4140000,0.7950000,1.2060000,3.1960000,0.0400000,0.0600000,0.0140000,0.0250000,0.0460000,0.1190000,16.1960000,0.4580000,2.4410000,6.3000000,1.1140000,2.9860000,6.1960000,7.0250000,1.3180000,4.5750000,0.6970000,7.8550000,4.7300000,0.4620000,2.2090000,0.0130000,0.0010000,35.6460000,-9999.0000000,-9999.0000000,1.2230000,0.4640000,0.0100000,0.0070000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit3,NM_P371,Snow,273.5,Grab,snow,Layer 1,0.4960000,0.5840000,0.1490000,0.6600000,1.7700000,0.7400000,0.4900000,5.2200000,1.0700000,0.7600000,0.5140000,100.7770000,9.5320000,13.6730000,2.3310000,19.5030000,24.0900000,0.8950000,222.6870000,0.1030000,0.0910000,0.2910000,3.5100000,0.2840000,0.0160000,0.0560000,0.0530000,1.3040000,0.1850000,2.2030000,0.8520000,2.2360000,0.0500000,27.0530000,0.0040000,0.0180000,0.0490000,0.1350000,9.9710000,1.8790000,4.3990000,5.5750000,2.9100000,3.7310000,6.5650000,3.3370000,3.9090000,3.1320000,1.9790000,0.1340000,2.7500000,4.5450000,1.3430000,0.0130000,0.0320000,14.6550000,0.1170000,0.0050000,1.1830000,0.2750000,0.0330000,0.0280000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit3,NM_P372,Snow,290.8,Grab,snow,Layer 2,0.5750000,1.2810000,0.2270000,0.6600000,2.4800000,0.7400000,0.4900000,7.3800000,1.7300000,0.7600000,0.0900000,100.5310000,22.1060000,45.9810000,6.2290000,29.6440000,37.6370000,20.1940000,666.7600000,0.2700000,0.1320000,0.2560000,6.9320000,2.1680000,0.0020000,0.2990000,0.0400000,0.7570000,0.1520000,3.9080000,2.7270000,11.1700000,0.0790000,23.9750000,0.0080000,0.0310000,0.0350000,0.1400000,14.1740000,10.3510000,19.4570000,5.8600000,4.4460000,3.0100000,6.9320000,0.1570000,2.6160000,8.2240000,0.7310000,4.4390000,3.8920000,7.0680000,1.9930000,0.0130000,0.0070000,28.2280000,0.1320000,0.0070000,1.1040000,1.0530000,0.0230000,0.0200000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPIt3,NM_P373,Snow,259.7,Grab,snow,Layer 3,0.6040000,1.4150000,0.3120000,0.6600000,2.8100000,0.7400000,0.4900000,8.9600000,2.7300000,0.7600000,0.3040000,96.1690000,46.2510000,59.1820000,5.4210000,34.8510000,26.2650000,23.5420000,778.1680000,0.7900000,0.1930000,0.2960000,7.9610000,1.6350000,0.0000000,0.1080000,0.0090000,0.1560000,0.2940000,0.0940000,3.6000000,9.8110000,0.0610000,22.4030000,0.0030000,0.0080000,0.0390000,0.1400000,12.2670000,14.6850000,25.3600000,6.0850000,9.1500000,6.4300000,7.7860000,7.6530000,1.8040000,6.6610000,2.0420000,4.8480000,3.0760000,5.7040000,1.6770000,0.0210000,0.0220000,16.8700000,0.3680000,0.0070000,1.2950000,0.2520000,0.0710000,0.0520000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit3,NM_P374,Snow,259.9,Grab,snow,Layer 4,0.5620000,1.7370000,0.3200000,0.6600000,2.4000000,0.7400000,0.4900000,9.9600000,3.1700000,0.7600000,0.1970000,103.3180000,33.1740000,61.5080000,10.9410000,60.2020000,45.2270000,88.4060000,653.6880000,0.8640000,0.1250000,0.2490000,16.0570000,3.1720000,0.0130000,0.3710000,0.0360000,0.9690000,0.4160000,2.9090000,2.9980000,13.5330000,0.0600000,36.1060000,0.0060000,0.0060000,0.0430000,0.1420000,13.1130000,14.9480000,33.6070000,6.7510000,8.9830000,8.6000000,7.8260000,11.1270000,4.0080000,6.2560000,2.8130000,5.8730000,4.3680000,5.0190000,2.2480000,0.0130000,0.0060000,43.5480000,0.1660000,0.0060000,1.1460000,0.8750000,0.0220000,0.0180000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit4,NM_P375,Snow,319.6,Grab,snow,Layer 1,0.4690000,0.8020000,0.1560000,0.6600000,8.2800000,0.7400000,0.4900000,4.5500000,0.5200000,0.7600000,0.1940000,100.7290000,9.7280000,23.4990000,6.1280000,37.4760000,17.8460000,0.8530000,287.1480000,0.3720000,0.0780000,0.3830000,4.4100000,2.2450000,0.0220000,0.1170000,0.0340000,2.1480000,0.2760000,2.8700000,0.9400000,4.8740000,0.0790000,30.3310000,0.0040000,0.0550000,0.0420000,0.1260000,7.1510000,1.1550000,9.1230000,7.7270000,3.2290000,9.5440000,5.3170000,7.1520000,2.6470000,6.6670000,1.3370000,2.2360000,3.3120000,7.3210000,3.4560000,0.0330000,0.0040000,9.7160000,0.1040000,0.0050000,1.0620000,0.1890000,0.0190000,0.0180000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit4,NM_P376,Snow,283.3,Grab,snow,Layer 2,0.5500000,1.1100000,0.2920000,0.6600000,3.1000000,0.7400000,0.4900000,10.5500000,2.5600000,0.7600000,0.7160000,97.6500000,73.4430000,48.3010000,5.7870000,23.8880000,30.7010000,0.9760000,522.8850000,0.9430000,0.1860000,0.3710000,7.9930000,2.7440000,0.0230000,0.2000000,8.4030000,5.4840000,0.2760000,3.2140000,2.6070000,7.9890000,0.0500000,29.7240000,0.0020000,0.0290000,0.0600000,0.1150000,11.6150000,5.4970000,15.4280000,5.8380000,7.8680000,5.1760000,4.9840000,3.1380000,2.1050000,8.9140000,0.4530000,8.4890000,2.9550000,3.0710000,1.8190000,0.0130000,0.1530000,12.5780000,0.1520000,0.0050000,1.5620000,0.3220000,0.0190000,0.0140000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
3/15/2015 12:00,BurnedFLUXPit4,NM_P377,Snow,310.4,Grab,snow,Layer 3,0.4400000,1.0960000,0.2620000,0.6600000,0.6900000,0.7400000,0.4900000,9.6400000,2.3800000,0.7600000,0.3050000,101.1020000,20.3700000,21.2530000,2.5210000,16.8100000,12.1440000,16.0550000,291.3090000,0.2080000,0.1230000,0.2840000,6.6200000,2.2790000,0.0140000,0.1550000,0.1220000,1.1510000,0.3480000,3.2840000,1.0990000,4.4880000,0.0400000,29.7820000,0.0040000,0.0810000,0.0320000,0.1350000,16.9260000,3.5070000,5.4260000,6.0310000,2.8130000,3.6420000,3.8200000,5.8700000,3.4720000,5.1700000,3.6410000,0.1680000,2.2900000,5.6510000,1.2710000,0.0210000,0.0070000,32.3650000,0.1330000,0.0050000,1.5010000,0.3390000,0.0380000,0.0280000,-9999.0000000,-9999.0000000,Sampled by: Alissa White | Field Note: Collected to Ziploc bags
