DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F-,Cl-,NO2-,Br-,NO3-,SO4-,PO4-,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,Ge74,As75,Se78,Sr88,Y89,Zr90,Nb93,Mo98,Ag107,Cd111,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,FI,HIX,SUVA254,SUVA280,dD,d18O,Volume,SamplingNote
8/7/2018 12:30,RainColl_MCZOB,NM_P523,PrcpColl,143.8,Grab,Precipitation,6.22,-9999,2.46,11.35,12.51,2.78,9.7,4.12,4.12,25.58,10.85,3.77,0.01,3.21,83,109.62,7.54,49,154.8,491.37,954,0.51,0.23,0.08,7.82,0.14,0.02,0.21,0.36,5.35,0.03,0.035,0.19,5.47,9.93,0.01,0.01,0.05,0.01,0.01,0.01,0.04,12.99,14.71,28.57,4.29,14.25,2.56,0.97,3.45,1.13,0.78,1.25,0.23,2.52,0.8,1.27,0.02,0.001,1.19,1.44,2.77,0.01,0.01,-34.64,-4.9,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
8/13/2018 15:50,RainColl_Burn_Low_CC,NM_P524,PrcpColl,289.5,Grab,Precipitation,5.85,-9999,2.97,11.13,14.24,4.99,11.31,0.49,0.21,2.13,14.6,14,0.01,99.91,350.29,425.34,61.96,156.85,595.44,2296.77,2962.56,3.1,0.62,0.41,114.09,37.51,0.11,0.67,1.47,5.65,0.03,0.36,0.87,16.48,48.75,0.08,0.06,0.01,0.01,0.03,0.008,0.04,18.33,65.44,129.88,13.25,68.84,9.29,6.69,18.08,0.12,12.32,2.76,9.59,0.6,7.39,1.46,0.03,0.13,9.99,1.4,3.44,0.03,0.03,-26.93,-4.12,300,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
8/13/2018 15:55,RainColl_Burn_Low_OC,NM_P525,PrcpColl,289.5,Grab,Precipitation,6.16,-9999,1.11,17.49,15.85,3.42,13.45,3.8,2.86,38.34,13.15,0.26,0.002,90.35,450.24,202.33,16.13,368.41,113.94,604.85,1562.88,0.91,0.74,0.51,2.55,11.8,0.01,0.15,0.38,17.81,0.03,0.15,0.19,11.15,18.24,0.06,0.06,0.01,0.01,0.002,0.008,0.06,18.38,27.33,30.32,4.72,8.63,23.76,0.21,1.41,0.63,6.73,0.23,3.51,1.41,0.26,1.47,0.02,0.001,6.02,-9999,-9999,-9999,-9999,-11.72,-0.6,450,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH
8/18/2018 13:30,RainColl_MCZOB_CC,NM_P526,PrcpColl,265,Grab,Precipitation,7.91,-9999,-9999,16.89,16.23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.02,163.58,1131.15,11253.6,110.97,3546.43,41951.42,-9999,13038.79,126.51,0.75,1.05,637.23,247.43,0.78,6.8,14.28,31.56,0.03,1.53,2.57,57.38,117.57,0.34,0.06,2.26,0.0005,0.08,0.008,0.39,117.15,105.4,221.85,33.64,152.53,34.28,5.21,28.22,6.06,32.1,5.67,12.31,3.07,20.14,2.29,0.02,1.48,53.16,-9999,-9999,-9999,-9999,-9999,-9999,50,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat
8/18/2018 13:40,RainColl_MCZOB,NM_P527,PrcpColl,265.2,Grab,Precipitation,6.67,-9999,-9999,28.26,25.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.01,90.98,517.43,571.72,30.16,211.28,785.48,1971.84,4535.5,3.4,1.35,0.81,2,32.45,0.03,0.52,2.12,10.62,0.02,0.86,2.32,19.22,59.74,0.08,0.05,0.05,0.01,0.03,0.008,0.15,33.7,51.76,71.37,13.09,69.05,22.93,4.35,16.68,1.49,24.94,2.23,4.75,0.22,12.54,0.91,0.02,0.08,6.07,-9999,-9999,-9999,-9999,-9999,-9999,75,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat
8/23/2018 14:00,RainColl_Burn_Low_CC,NM_P528,PrcpColl,238.2,Grab,Precipitation,5.86,-9999,1.83,39.69,17.92,4.2,12.6,0.49,0.21,0.23,11.78,6.37,0.002,71.72,245.85,363.18,53.5,99.89,240.77,1836.04,3626.53,2.41,0.92,0.47,151.87,46.31,0.2,0.35,1.11,10.89,0.03,0.72,0.91,14.99,66.19,0.06,0.05,0.05,0.01,0.03,0.008,0.03,17.75,60.35,151.63,15.21,47.23,12.29,2.46,7.99,0.45,8.02,3.4,6.04,1.13,2.46,2.62,0.02,0.15,10.25,1.35,3.38,0.01,0.01,-12.5,-1.15,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
8/23/2018 14:00,RainColl_Burn_Low_OC,NM_P529,PrcpColl,238.1,Grab,Precipitation,6.3,-9999,1.42,19.87,19.22,3.23,7.16,3.97,0.21,15.62,9.76,5.61,0.002,49.46,207.25,190.98,14.1,72.21,180.02,533.66,1124.35,1.33,1.04,0.47,22.99,19.12,0.04,0.13,0.35,7.96,0.03,0.54,1.84,6.35,16.89,0.04,0.04,0.02,0.01,0.01,0.008,0.02,33.68,30.57,53.81,8.42,27.4,17.96,0.99,0.89,0.6,6.63,1.63,3.46,0.22,0.26,0.11,0.01,0.29,2.97,1.47,1.36,0.002,0.002,-17.23,-2.33,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
8/29/2018 14:41,RainColl_MCZOB_CC,NM_P530,PrcpColl,265.2,Grab,Precipitation,6.22,-9999,1.86,15.59,4.65,3.53,15.06,3.55,0.21,6.37,9.96,23.21,0.01,59.97,189.6,664.61,20,106.95,874.62,3691.64,2364.3,3.63,0.6,0.44,115.88,27.75,0.07,0.43,1.2,7.42,0.04,0.28,0.87,7.85,35.08,0.01,0.03,0.04,0.01,0.01,0.008,0.01,24.17,26.12,63.77,5.98,39.18,13.39,0.6,7.2,0.88,15.7,0.25,3.5,1.4,1.6,0.13,0.01,0.04,6,1.34,1.26,0.03,0.02,-24.54,-1.57,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
8/29/2018 14:45,RainColl_MCZOB,NM_P531,PrcpColl,265.1,Grab,Precipitation,5.71,-9999,-9999,9.68,5.12,0.2,5.98,0.49,0.21,15.93,5.66,0.26,0.01,70.42,70.31,56.5,19.43,72.23,96.07,245.52,483,4.51,0.82,0.69,15.69,47.07,0.02,0.14,0.09,4.07,0.03,0.47,1.21,2.32,6.74,0.02,0.05,0.01,0.01,0.002,0.008,0.04,10.71,24.43,35.61,2.51,31.59,22.75,3.72,0.71,0.2,6.74,0.11,1.11,0.22,0.8,0.65,0.02,0.001,1.01,-9999,-9999,-9999,-9999,-29.82,-2.45,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH
9/4/2018 12:00,RainColl_Burn_Low_CC,NM_P532,PrcpColl,286,Grab,Precipitation,5.6,-9999,0.88,7.32,2.62,3.47,11.43,4.22,2.75,14.46,8.2,4.1,0.01,50.36,196.72,183.31,20.4,47.04,147.06,1400.74,1093.31,0.89,0.95,0.45,60.19,23.92,0.06,0.34,0.6,9.63,0.04,0.43,0.93,4.22,13.9,0.005,0.03,0.05,0.01,0.002,0.008,0.01,14.71,25.95,43.21,3.12,23.17,16.02,0.21,5.64,0.2,14.68,0.53,2.32,1.61,3.32,0.65,0.01,0.02,3.02,1.41,3.33,0.02,0.02,-30.61,-5.46,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
9/4/2018 12:00,RainColl_Burn_Low_OC,NM_P533,PrcpColl,286,Grab,Precipitation,5.54,-9999,0.54,8.3,3.3,0.2,5.54,2.96,0.21,18.76,6.28,0.26,0.01,40.13,76.48,41.79,5.3,20.47,57.99,82.62,340.2,0.75,0.79,0.39,10.45,17.88,0.02,0.033,0.022,6.62,0.03,0.21,1.08,1.43,3.43,0.01,0.02,0.05,0.01,0.002,0.008,0.002,9.31,11.84,27.95,0.19,10.84,18.43,0.37,0.79,0.07,4.52,1.94,1.1,0.22,4.11,0.11,0.01,0.001,1.19,1.29,0.4,0.002,0.002,-26.39,-4.75,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
9/8/2018 11:00,RainColl_MCZOB_CC,NM_P534,PrcpColl,236.3,Grab,Precipitation,5.52,-9999,0.9,12.12,0.78,4.33,7.91,0.49,2.78,0.23,5.36,5.37,0.01,50.55,189.19,261.25,39.17,102.41,182.98,1445.1,1305.41,1.06,0.92,0.42,89.4,31.74,0.1,0.17,0.64,4.79,0.02,0.9,1.15,9.43,41.55,0.02,0.02,0.06,0.0005,0.03,0.008,0.02,16.7,42.46,105.75,5.09,56.21,9.91,1.01,19.41,0.12,18.15,3.07,5.96,0.81,7.48,0.11,0.01,0.07,7.08,0.56,1.73,0.03,0.02,-32.42,-5.76,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
9/8/2018 11:15,RainColl_MCZOB,NM_P535,PrcpColl,236.5,Grab,Precipitation,5.4,-9999,-9999,3.89,1.19,0.2,4.39,0.49,0.21,10.75,4.32,0.26,0.002,30.41,54.68,38.58,15.6,32.24,62.65,101.77,250.33,0.95,0.71,0.42,7.63,21.01,0.05,0.04,0.14,2.76,0.03,0.39,0.68,1.07,16.21,0.02,0.03,0.06,0.01,0.01,0.008,0.03,8.9,35.82,77.96,3.85,31.33,16.52,0.51,1.32,0.12,14.78,0.11,2.33,0.22,4.16,0.93,0.005,0.11,3.04,1.46,0.4,0.002,0.002,-26.17,-3.79,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
9/23/2018 11:05,RainColl_MCZOB_CC,NM_P536,PrcpColl,360.1,Grab,Precipitation,6.3,-9999,10.39,18.77,14.5,4.34,43.14,0.49,0.21,1.28,32.57,45.86,0.01,40.82,195.53,798.35,33.71,141.84,1663.35,8747.67,2714.4,6.07,0.77,0.59,138.22,50.78,0.2,0.85,1.22,44.74,0.03,0.36,0.55,9.79,82.15,0.05,0.03,0.1,0.01,0.02,0.008,0.04,20.68,69.9,141.84,17.41,88.98,19.67,0.71,20.1,1.62,26.33,5.67,18.54,0.22,7.55,0.92,0.01,0.07,7.14,1.36,5.8,0.04,0.03,-78.16,-11.39,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
9/23/2018 11:20,RainColl_MCZOB,NM_P537,PrcpColl,360.1,Grab,Precipitation,5.94,-9999,3.56,22.66,9.91,1.89,6.17,1.95,0.21,21.26,6.93,0.26,0.01,40.07,86.19,93.52,28.84,40.37,114.5,272.66,1129.81,1.08,1.1,0.58,8.24,21.56,0.008,0.21,0.25,10.73,0.01,0.51,1.46,3.7,1.8,0.005,0.02,0.02,0.01,0.01,0.008,0.07,13.74,16.23,21.57,0.16,14.22,12.02,0.24,0.71,0.12,0.44,0.25,13.3,0.22,0.26,1.47,0.01,0.001,3.01,2.15,1.1,0.002,0.002,-72.68,-10.63,500,Sampled by: Adam | Used bottles: 500mL PP | Splits: Cat; TOC; DIC; anions; OH | Fm comment: DB
