DateTime,SiteCode,SampleCode,SamplingMethod,Offset,SampleType,SampleMedium,pH,EC,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,Tl205,Pb208,U238,FI,HIX,SUVA254,SUVA280,SamplingNote
3/15/2013 0:00,MC_Cen,JEMEZ_P167,Snow,,Grab,snow,-9999,-9999,0.25,0.85,0.24,2.085,3.08,1.67,0.95,0.255,0.42,0.725,0.22,6.94,197.73,13.08,4.85,18.08,129.9,455.28,405.17,1.02,0.01,0.2,4.81,0.88,0.02,0.61,2.8,12.48,1.3,0.15,1.47,0.82,2.11,0.18,0.04,0.15,0.17,0.05,4.46,0.2,0.1,0.37777,1.7,0.7,1.8,0.4,0.1,1.21,0.42,6.9,0.3,0.08,1.12,0.14,0.95,-9999,-9999,-9999,-9999,Sample description: open unshaded; 48-18cm; 4 tubes
3/15/2013 0:00,MC_Cen,JEMEZ_P168,Snow,,Grab,snow,-9999,-9999,0.27,1.11,0.31,2.085,3.08,1.67,0.95,0.255,0.42,0.725,0.2,1.95,946.63,26.61,17.03,71.56,133.81,122.87,515.76,1.19,0.02,0.25,5.54,21.01,0.01545,0.42,1.7,8.8,1.07,0.15,1.77,0.5,2.18,0.2,0.02,0.07,0.17,0.08,1.53,0.9,1.6,3.7,2.1,0.8,3,0.7,0.5,0.99,1.05,7.3,0.8,0.28,0.9,0.11,0.52,-9999,-9999,-9999,-9999,Sample description: open shaded; 50-20cm; 4 tubes
3/15/2013 0:00,MC_Cen,JEMEZ_P169,Snow,,Grab,snow,-9999,-9999,0.31,3.16,0.48,2.085,3.08,1.67,0.95,12.1,0.42,0.725,0.03,9.53,173.22,54.62,15.6,13.1,164.6,413.23,579.87,0.95,0.01,0.36,17.03,17.24,0.02,0.45,1.93,8.18,0.94,0.23,3.47,13.87,4.15,0.22,0.04,0.07,0.12,0.08,2.77,40.9,5.41,22.22,8.3,2.8,4.54,1.38,4.38,1.21,2.81,7.6,1.83,0.59,0.9,0.15,0.61,-9999,-9999,-9999,-9999,Sample description: under canopy; 50-30cm; 4 tubes
3/15/2013 0:00,MC_Cen,JEMEZ_P170,Snow,,Grab,snow,-9999,-9999,0.27,6.44,0.65,2.085,3.08,1.67,0.95,19.95,0.42,0.725,0.14,8.18,146.8,75.24,21.36,21.24,194.04,745.26,533.23,1.29,0.06,0.19,56.77,21.05,0.02,0.31,1.08,20.68,0.93,0.06,3.37,11.01,4.08,0.21,0.04,0.05,0.13,0.05,4.8,34.7,5.42,21.56,6.6,2.6,6.54,1.86,4.13,1.43,2.2,7.5,1.27,0.72,0.88,0.17,3.02,-9999,-9999,-9999,-9999,Sample description: canopy; 0-20cm; 4 tubes
8/16/2013 15:00,RainColl_MCZOB,JEMEZ_P171,PrcpColl,7791,Grab,Precipitation,6.14,28.8,3.31,4.15,0.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0189735,0.83,294.5,314.4,11.99,855.65,346,2000,3580,1.87,0.014,0.22,323,12.73,0.29,0.0061235,0.6,38.4,1.75,0.04,17.9,15.5,0.0189735,0.01,0.16,0.05,2.56,48.6,8.4,14.85,1.97,7.8,5.42,7.95,0.453751,1.6,4.6,0.71,1.11,0.1651365,0.3098025,0.0810555,0.29,0.11,0.75,1.49,3.075,0.0287,0.0251,"Sample description: bulk ppt w/o oil; open canopy; Collected by Mark; Splits: TOC, anions, cat, DIC, nut; Bottles used: 1"
8/17/2013 17:00,RainColl_Burn_Low_OC,JEMEZ_P172,PrcpColl,0,Grab,Precipitation,6.06,27.1,1.84,4.05,1.27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0189735,0.00034,420.69,172.08,10.36,873.43,136,814,2460,1.56,0.14,0.74,19.8,29.2,0.13,0.69,2.29,74.4,1.53,0.0246,8.03,21.2,0.0189735,0.06,5.97,0.06,1.42,11,14.87,23.37,4.2,0.37777,8.67,0.2146625,8.5,1.6,5.2,1.73,2.49,0.1,8.1,0.0810555,0.25,0.25,1.9,-9999,-9999,-9999,-9999,"Sample description: bulk ppt w/o oil; open canopy; Collected by Mark, Kate; Splits: TOC, anions, cat, DIC, nut; Bottles used: 1"
8/17/2013 17:00,RainColl_Burn_Low_OC,JEMEZ_P173,PrcpColl,0,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sample description: bulk ppt with oil; open canopy; Collected by Mark, Kate; Splits: None, sent to Troch lab; Bottles used: 1"
8/17/2013 17:00,RainColl_Burn_Low_OC,JEMEZ_P174,PrcpColl,0,Grab,Precipitation,6.72,119.7,8.13,36.83,7.04,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0189735,10.1,2493.85,1097.79,134,1089.5,1440,14420,4160,14.9,0.25,2.46,151,33.8,0.39,1.55,6.71,30.2,5.2,0.51,31.9,105.3,0.0189735,0.01,0.17,0.13,1.33,25.2,117,243,25.8,0.37777,25.5,4.91,16.45,4.15,24.67,3.5,6.93,1.7,12.14,0.66,0.71,0.45,18.1,-9999,-9999,-9999,-9999,Sample description: bulk ppt w/o oil; closed canopy; Collected by Mark; Kate; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: Bottle tilted so some sample loss probable
8/24/2013 14:00,RainColl_MCZOB,JEMEZ_P175,PrcpColl,191,Grab,Precipitation,5.29,61.1,3.29,2.86,1.37,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0189735,0.00034,190.92,219.19,11.53,747.7,424,1980,2860,1.07,0.13,0.59,221,8.91,0.24,0.0061235,7,81,0.43,0.26,14.2,16.6,0.0189735,0.01,0.03,0.29,1.31,40.1,15.31,76.9,1.77,0.37777,6.74,5.48,1,9.06,4.5,0.99,3.05,1.6,2.9,0.0810555,0.2,0.75,4.26,1.38,2.903,0.0203,0.0175,Sample description: bulk ppt w/o oil; open canopy; Bottles used: 1; Comment: full
8/24/2013 14:00,RainColl_MCZOB,JEMEZ_P176,PrcpColl,191,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sample description: bulk ppt with oil; open canopy; Collected by Mark; Splits: none; sent to Troch lab; Bottles used: 1; Comment: overflowed
8/24/2013 14:00,RainColl_MCZOB_CC,JEMEZ_P177,PrcpColl,191,Grab,Precipitation,5.25,123.4,7.84,31.6,3.54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0189735,13.7,769.94,1066.73,23.9,1238.79,415,20960,6440,1.21,0.03,2.04,630,31.1,0.54,1.2,2.53,15.1,1.2,0.14,26.5,62,0.0189735,0.01,0.03,0.11,0.94,89.4,40.5,88.3,13.32,0.37777,24.4,16.85,2,2.1,9.3,2.11,5.27,0.2,6,0.48,0.31,0.13,8.49,1.39,2.059,0.0273,0.0228,Sample description: bulk ppt w/o oil; closed canopy; Bottles used: 1; Comment: elk disruption
8/29/2013 11:30,RainColl_Burn_Low_OC,JEMEZ_P178,PrcpColl,282.5,Grab,Precipitation,6.19,66.5,4.35,18.73,3.87,2.085,21.32,1.67,0.95,0.255,23.13,18.8,0.0189735,2.97,365.13,518.65,65.7,601.63,764,4820,2240,1.1,0.17,0.67,194,27.4,0.29,0.0061235,1.38,22,1.2,0.26,17.4,63.4,0.0189735,0.01,0.07,0.12,0.26,18.2,47.3,102.3,15.95,7.5,24.2,2.83,15.37,2.6,15.09,2.48,4.99,0.8,9.95,0.57,0.25,0.23,7.06,1.42,2.235,0.0275,0.0215,"Sample description: bulk ppt w/o oil; closed canopy; Collected by Kate/Mark; Splits: TOC, anions, cat, DIC, nut; Bottles used: 1"
8/29/2013 11:30,RainColl_Burn_Low_OC,JEMEZ_P179,PrcpColl,282.5,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sample description: bulk ppt with oil; open canopy; Collected by Kate/Mark; Splits: none, sent to Troch lab; Bottles used: 1"
8/29/2013 11:30,RainColl_Burn_Low_OC,JEMEZ_P180,PrcpColl,282.5,Grab,Precipitation,6.28,25.6,1.71,1.93,1.87,2.085,5.08,1.67,0.95,26.1,13.31,6.77,0.0189735,0.00034,132.27,87.71,5.61,330.68,196,390,728,1.22,0.13,0.3,10.9,2.41,0.05,0.0061235,0.43,5.89,0.32,0.07,3.33,13.3,0.0189735,0.008216,0.56,0.13,0.16,10.93,13.75,28.85,2.08,4.5,14.91,0.2146625,0.4,0.5,4.1,0.34,0.3154165,0.4,1.6,0.0810555,0.09,0.12,0.27,1.91,3.82,0.077,0.0573,"Sample description: bulk ppt w/o oil; open canopy; Collected by Kate/Mark; Splits: TOC, anions, cat, DIC, nut; Bottles used: 1"
9/2/2013 11:30,RainColl_MCZOB_CC,JEMEZ_P181,PrcpColl,213.5,Grab,Precipitation,6.14,62.2,4.37,23.06,0.42,2.085,21,1.67,0.95,0.255,10.16,10.04,0.0189735,2.36,111.21,591.5,30.5,553.01,477,7220,4180,1.53,0.01,0.12,454,15.2,0.28,0.0061235,0.46,7.07,0.45,0.0246,14.5,32.08,0.0189735,0.01,0.0122475,0.11,0.27,60.4,19.88,39.7,5.01,1.6,10.1,8.51,3.2,1.1,8.6,1.73,0.3154165,0.1651365,3.1,0.0810555,0.01,0.06,3.04,1.36,1.973,0.0214,0.0196,"Sample description: bulk ppt w/o oil; closed canopy; Collected by Mark; Splits: TOC, anions, cat, DIC, nut; Bottles used: 1"
9/2/2013 11:30,RainColl_MCZOB,JEMEZ_P182,PrcpColl,213.5,Grab,Precipitation,-9999,-9999,3.04,2.26,0.24,2.085,3.08,1.67,0.95,5.97,8.44,0.725,0.07,0.00034,90.22,164.92,10.32,916.45,172,556,2260,1.31,0.06,0.05,204,2.17,0.15,0.0061235,0.28,27.2,0.39,0.0246,11.81,14.9,0.0189735,0.008216,0.01,0.12,1.79,28.2,13.98,23.25,2.58,0.37777,7.39,3.02,2.7,0.8,3.9,0.62,2.77,0.1651365,2.9,0.0810555,0.0744985,0.03,0.68,1.41,5.621,0.0257,0.0221,"Sample description: bulk ppt w/o oil; open canopy; Collected by Mark; Splits: TOC, anions, cat, DIC, nut; Bottles used: 1"
9/2/2013 11:30,RainColl_MCZOB,JEMEZ_P183,PrcpColl,213.5,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sample description: bulk ppt with oil; open canopy; Collected by Mark; Splits: none, sent to Troch lab; Bottles used: 1"
9/5/2013 12:00,RainColl_Burn_Low_OC,JEMEZ_P184,PrcpColl,168.5,Grab,Precipitation,4.75,10.5,0.4153,1.457,0.460,2.085,3.08,1.67,0.95,14.43,6.3,0.725,0.0189735,0.00034,57.15,52.76,4.46,72.49,56.4,84,477,0.93,0.02,0.22,9.61,2.79,0.03,0.0061235,0.12,2.55,0.24,0.14,1.9,5.4,0.0189735,0.01,2.42,0.01,0.05,4.19,3.5,8.6,2.08,0.37777,13.6,0.2146625,0.453751,0.6,3,0.34,0.83,0.1651365,0.8,0.22,0.0744985,0.12,0.27,1.38,4.209,0.0226,0.0192,Sample description: bulk ppt w/o oil; open canopy; Collected by Mark; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/5/2013 12:00,RainColl_Burn_Low_OC,JEMEZ_P185,PrcpColl,168.5,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sample description: bulk ppt with oil; open canopy; Collected by Mark; Splits: none; sent to Troch lab; Bottles used: 1; Comment: no elk problems
9/5/2013 12:00,RainColl_Burn_Low_OC,JEMEZ_P186,PrcpColl,168.5,Grab,Precipitation,5.35,31.6,2.316,15.01,2.424,2.085,13.11,1.67,0.95,0.255,9.2,9.44,0.03,0.54,227.23,225.65,33.5,172.21,329,2613,1380,1.84,0.07,0.34,67.2,11.38,0.13,0.0061235,2.59,6.81,1.38,0.01,7.55,56.3,0.0189735,0.01,0.13,0.02,0.04,12.32,40.6,76.2,12.41,0.37777,8.77,0.18,1.5,2.3,13.7,1.83,6.65,0.3,7.9,0.4,0.02,0.4,2.83,1.42,3.684,0.0265,0.0213,Sample description: bulk ppt w/o oil; closed canopy; Collected by Mark; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/6/2013 12:00,RainColl_MCZOB,JEMEZ_P187,PrcpColl,96.5,Grab,Precipitation,5.51,15.2,1.092,1.964,0.316,2.085,3.08,1.67,0.95,9.02,6.26,0.725,0.0189735,0.00034,72.19,123.24,7.37,362.13,85.9,444,1557,2.39,0.03,0.13,63.9,2.72,0.07,0.0061235,0.12,13.2,0.32,0.17,7.79,14.4,0.0189735,0.01,0.0122475,0.01,0.65,19.8,12.08,14.49,0.25,0.37777,17.7,0.18,0.453751,0.1,3.8,1.17,0.3154165,1.3,3.5,0.0810555,0.0744985,0.01,1.4,1.34,2.124,0.0265,0.0235,Sample description: bulk ppt w/o oil; open canopy; Collected by Mark; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/6/2013 12:00,RainColl_MCZOB,JEMEZ_P188,PrcpColl,96.5,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sample description: bulk ppt with oil; open canopy; Collected by Mark; Splits: none; sent to Troch lab; Bottles used: 1; Comment: no elk problems
9/6/2013 12:00,RainColl_MCZOB_CC,JEMEZ_P189,PrcpColl,96.5,Grab,Precipitation,6.34,75.4,5.766,16.04,1.492,2.085,92.3,1.67,0.95,0.255,15.06,12.13,0.0189735,8.8,389.21,804.5,21.1,419.3,507,10533,6761,1.74,0.03,0.21,788,10.17,0.33,0.0061235,0.95,5.6,0.65,0.21,19.6,35.89,0.0189735,0.008216,0.02,0.01,0.08,102.1,21.1,40.9,4.41,0.37777,15.5,19.31,6.2,0.8,8.1,1.36,2.49,0.1,3.9,0.0810555,0.0744985,0.06,4.33,1.43,4.36,0.037,0.0301,Sample description: bulk ppt w/o oil; closed canopy; Collected by Mark; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
9/11/2013 0:00,RainColl_MCZOB,JEMEZ_P190,PrcpColl,108,Grab,Precipitation,6.29,9.8,0.8759,1.41,0.199,2.085,3.08,1.67,0.95,0.255,0.42,0.725,0.0189735,0.00034,85.78,130.73,9.98,483.34,116,157,816,1.51,0.014,0.09,40,2.22,0.05,0.0061235,0.13,12.34,0.08,0.23,3.44,7,0.0189735,0.008216,0.01,0.01,0.12,8.94,7.62,8.6,2.58,8.3,2.73,0.2146625,0.453751,0.7,4.4,2.11,0.3154165,0.7,2.1,0.0810555,0.0744985,0.03,0.32,1.4,2.663,0.0234,0.0234,"Sample description: ; Collected by ; Splits: TOC, anions, cat, DIC, nut"
9/11/2013 0:00,RainColl_MCZOB,JEMEZ_P191,PrcpColl,108,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sample description: with oil ; Collected by 
9/11/2013 0:00,RainColl_MCZOB_CC,JEMEZ_P192,PrcpColl,108,Grab,Precipitation,6.11,46.7,2.463,48.49,1.323,22.67,74.18,1.67,0.95,0.255,20.72,20.63,0.0189735,12.2,285.03,645.79,41.9,607.92,445,9807,3667,1.73,0.08,0.18,278,18,0.32,0.41,1.79,15.5,0.52,0.13,12.6,74.8,0.0189735,0.01,0.04,0.01,0.03,45.4,79.6,150,21.3,0.37777,29,6.24,14.78,3.7,14.38,2.01,11.92,2.5,7,1.11,0.0744985,0.18,12.8,1.33,1.95,0.0243,0.0198,"Sample description: ; Collected by ; Splits: TOC, anions, cat, DIC, nut; Bottles used: "
9/17/2013 15:55,RainColl_Burn_Low_OC,JEMEZ_P193,PrcpColl,291.8,Grab,Precipitation,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Sample description: bulk ppt w/o oil; open canopy; Collected by Kate; Bottles used: 1; Comment: no elk problems
9/17/2013 15:50,RainColl_Burn_Low_OC,JEMEZ_P194,PrcpColl,291.8,Grab,Precipitation,5.94,28.6,3.444,15.11,4.616,2.085,6.35,1.67,0.95,0.255,6.3,16.18,0.03,0.00034,405.55,192.24,31.8,427.42,477,2922,938,1.73,0.04,0.25,99.6,15.2,0.11,0.0061235,0.91,6.91,0.68,0.18,7.2,39.16,0.0189735,0.01,0.02,0.29,0.01,10.28,38.3,76.3,8.76,0.37777,16.17,0.2146625,6.7,1.3,7.5,1.83,1.38,0.8,6.3,0.0810555,0.0744985,0.26,4.69,-9999,-9999,-9999,-9999,Sample description: bulk ppt w/o oil; closed canopy; Collected by Kate; Splits: TOC; anions; cat; DIC; nut; Bottles used: 1; Comment: no elk problems
