variable,plotted,skip_reason,n_rows,n_sites,n_studies,x_distinct,x_min,x_median,x_max,x_scale,spearman_r,spearman_p,plot_file
ve_09,TRUE,NA,12231,35,8,29,0.40835,1.10267,2.5382,linear,-0.20527829265403294,1.6545451864197325e-116,figures/scatter_DOC_vs_ve_09.png
qa_10,TRUE,NA,12291,38,8,31,0.025,3.523,339.632,log10,-0.03887444321111094,1.6251951502972825e-5,figures/scatter_DOC_vs_qa_10.png
va_10,TRUE,NA,12231,35,8,29,0.42958,0.90487,2.03525,linear,-0.21680714477079147,4.678557026672934e-130,figures/scatter_DOC_vs_va_10.png
qc_10,TRUE,NA,12291,38,8,31,0.138,9.751,403.997,log10,-0.06423373168848454,1.0191494138117932e-12,figures/scatter_DOC_vs_qc_10.png
vc_10,TRUE,NA,12231,35,8,29,0.51583,1.21392,2.16129,linear,-0.2613165809695658,4.151071611545992e-190,figures/scatter_DOC_vs_vc_10.png
qe_10,TRUE,NA,12291,38,8,31,0.138,8.887,476.066,log10,-0.16314355514240153,4.530036998414098e-74,figures/scatter_DOC_vs_qe_10.png
ve_10,TRUE,NA,12231,35,8,29,0.43308,1.21392,2.06377,linear,-0.2541221275466052,1.5078870205525645e-179,figures/scatter_DOC_vs_ve_10.png
qa_11,TRUE,NA,12291,38,8,31,0.005,1.792,1072.518,log10,-0.026168911575823312,0.0037148456279155915,figures/scatter_DOC_vs_qa_11.png
va_11,TRUE,NA,12231,35,8,29,0.37457,0.75146,1.83748,linear,-0.17069814615086348,1.2582712288195227e-80,figures/scatter_DOC_vs_va_11.png
qc_11,TRUE,NA,12291,38,8,32,0.055,6.409,1169.746,log10,-0.056837210393286784,2.8689142565275047e-10,figures/scatter_DOC_vs_qc_11.png
vc_11,TRUE,NA,12231,35,8,29,0.51586,0.98027,1.95497,linear,-0.23877181293585073,3.959865120955205e-158,figures/scatter_DOC_vs_vc_11.png
qe_11,TRUE,NA,12291,38,8,32,0.055,5.066,768.452,log10,-0.15515504082198797,4.360677933476793e-67,figures/scatter_DOC_vs_qe_11.png
