Study_ID,response_var,Pair,year,meanConc,Site,latitude,longitude,Area_watershed_km,Climate,Burn_Unburn,TempNorm,logTempNorm
Hauer & Spencer 1998,NO3_Interp,Site_5,1991,0.03508325287599795,Quartz_Creek,48.72261,-114.225834,136.29,Dfc,Burn,2.57416193e-4,-8.26481635491308
Hickenbottom et al. 2023,NO3_Interp,Control_1,2021,0.008949871772098744,Cold_Creek,38.898689,-119.948785,30.3471,Csb,Unburn,2.94916871e-4,-8.128817034555963
Hickenbottom et al. 2023,NO3_Interp,Control_1,2022,0.03583266358989064,Cold_Creek,38.898689,-119.948785,30.3471,Csb,Unburn,0.001180760718,-6.741596371947857
Hickenbottom et al. 2023,NO3_Interp,Control_2,2022,0.003859206658333333,North_Fork,39.000053,-120.939907,856.9953,Csb,Unburn,4.503183e-6,-12.310726077896987
Hickenbottom et al. 2023,NO3_Interp,Site_1,2021,0.028968508132185048,Trout_Creek,38.88376,-119.978005,56.0808,Csb,Burn,5.16549481e-4,-7.568339473412331
Hickenbottom et al. 2023,NO3_Interp,Site_1,2022,0.10127076193594142,Trout_Creek,38.88376,-119.978005,56.0808,Csb,Burn,0.00180580095,-6.316751046008411
Hickenbottom et al. 2023,NO3_Interp,Site_1,2023,0.09032850026344873,Trout_Creek,38.88376,-119.978005,56.0808,Csb,Burn,0.001610684945,-6.431095758779144
Hickenbottom et al. 2023,NO3_Interp,Site_2,2022,0.0027296827583333343,Middle_Fork,38.958701,-120.920501,1520.7759,Csb,Burn,1.794928e-6,-13.230545648249128
Mast & Clow; 2008,NO3_Interp,Control,2004,0.016648014495505778,Pinchot,48.42222,-113.7005555,47.300000000000004,Dfc,Unburn,3.5196648e-4,-7.9519746141733085
Mast & Clow; 2008,NO3_Interp,Control,2005,0.015037052547650927,Pinchot,48.42222,-113.7005555,47.300000000000004,Dfc,Unburn,3.17908088e-4,-8.053748248408278
Mast & Clow; 2008,NO3_Interp,Control,2006,0.008819832169787599,Pinchot,48.42222,-113.7005555,47.300000000000004,Dfc,Unburn,1.86465796e-4,-8.587262735163948
Mast & Clow; 2008,NO3_Interp,Control,2007,0.01069064830281946,Pinchot,48.42222,-113.7005555,47.300000000000004,Dfc,Unburn,2.26017935e-4,-8.394896203433621
Mast & Clow; 2008,NO3_Interp,Site_1,2004,0.08528932896785787,Coal,48.418961,-113.696178,96.4,Dfc,Burn,8.84744076e-4,-7.030212134437862
Mast & Clow; 2008,NO3_Interp,Site_1,2005,0.06133524621686998,Coal,48.418961,-113.696178,96.4,Dfc,Burn,6.36257741e-4,-7.359906823572375
Mast & Clow; 2008,NO3_Interp,Site_1,2006,0.03354468894326352,Coal,48.418961,-113.696178,96.4,Dfc,Burn,3.47973952e-4,-7.963382931565956
Mast & Clow; 2008,NO3_Interp,Site_1,2007,0.03421827130692981,Coal,48.418961,-113.696178,96.4,Dfc,Burn,3.54961321e-4,-7.943501729354455
Mast & Clow; 2008,NO3_Interp,Site_2_post,2004,0.29700611918041236,Fish Creek,48.54888888,-113.9858333,42.6,Dfc,Burn,0.006971974629,-4.9658567903154935
Mast & Clow; 2008,NO3_Interp,Site_2_post,2005,0.16006615374096236,Fish Creek,48.54888888,-113.9858333,42.6,Dfc,Burn,0.003757421449,-5.584022341678747
Mast & Clow; 2008,NO3_Interp,Site_2_post,2006,0.10115614280016284,Fish Creek,48.54888888,-113.9858333,42.6,Dfc,Burn,0.002374557343,-6.042944240761533
Mast & Clow; 2008,NO3_Interp,Site_2_post,2007,0.09466532259482453,Fish Creek,48.54888888,-113.9858333,42.6,Dfc,Burn,0.002222190671,-6.109261780915158
Mast & Clow; 2008,NO3_Interp,Site_3_post,2005,0.2227905213222222,Lower MacDonald Creek,48.525536,-113.997184,450,Dfc,Burn,4.95090047e-4,-7.6107708988084575
Mast & Clow; 2008,NO3_Interp,Site_3_post,2006,0.1987925805404777,Lower MacDonald Creek,48.525536,-113.997184,450,Dfc,Burn,4.4176129e-4,-7.724740889649062
Mast & Clow; 2008,NO3_Interp,Site_3_post,2007,0.22028946974024216,Lower MacDonald Creek,48.525536,-113.997184,450,Dfc,Burn,4.89532155e-4,-7.622060408672108
Mast & Clow; 2008,NO3_Interp,Site_4_post,2005,0.359586795655,Upper MacDonald Creek,48.63527778,-113.8669444,282,Dfc,Burn,0.001275130481,-6.6647067675687115
Mast & Clow; 2008,NO3_Interp,Site_4_post,2006,0.2870787804684931,Upper MacDonald Creek,48.63527778,-113.8669444,282,Dfc,Burn,0.00101800986,-6.8899056752425585
Mast & Clow; 2008,NO3_Interp,Site_4_post,2007,0.2934340934602804,Upper MacDonald Creek,48.63527778,-113.8669444,282,Dfc,Burn,0.001040546431,-6.868009289387607
Murphy et al. 2015,NO3_Interp,Control,2011,0.029514799445793417,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.001139567546,-6.777106434159517
Murphy et al. 2015,NO3_Interp,Control,2012,0.02370551233880697,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,9.15270747e-4,-6.996290638097383
Murphy et al. 2015,NO3_Interp,Control,2013,0.02010367649694943,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,7.76203726e-4,-7.161095538731791
Murphy et al. 2015,NO3_Interp,Site_1,2010,0.0410147348922569,DS1,40.039046,-105.393878,37,Cfb,Burn,0.001108506348,-6.80474180226666
Murphy et al. 2015,NO3_Interp,Site_1,2011,0.14474889507982552,DS1,40.039046,-105.393878,37,Cfb,Burn,0.003912132299,-5.543672708618627
Murphy et al. 2015,NO3_Interp,Site_1,2012,0.04546537445253063,DS1,40.039046,-105.393878,37,Cfb,Burn,0.001228793904,-6.701722156520672
Murphy et al. 2015,NO3_Interp,Site_1,2013,0.08744768538322152,DS1,40.039046,-105.393878,37,Cfb,Burn,0.002363450956,-6.047632458528043
Murphy et al. 2015,NO3_Interp,Site_2,2010,0.07370762643119778,DS2,40.041668,-105.364823,50,Cfb,Burn,0.001474152529,-6.519672010921423
Murphy et al. 2015,NO3_Interp,Site_2,2011,0.1388460651684498,DS2,40.041668,-105.364823,50,Cfb,Burn,0.002776921303,-5.886412409913907
Murphy et al. 2015,NO3_Interp,Site_2,2012,0.2319320324538241,DS2,40.041668,-105.364823,50,Cfb,Burn,0.004638640649,-5.3733339192437715
Murphy et al. 2015,NO3_Interp,Site_2,2013,0.3292133860154708,DS2,40.041668,-105.364823,50,Cfb,Burn,0.00658426772,-5.023072154222632
Murphy et al. 2015,NO3_Interp,Site_3,2010,0.01128433347901761,DS3,40.0155,-105.324566,63.1,Cfb,Burn,1.78832543e-4,-8.629060703956299
Murphy et al. 2015,NO3_Interp,Site_3,2011,0.06792287355653727,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.001076432228,-6.834103199017183
Murphy et al. 2015,NO3_Interp,Site_3,2012,0.47958089798050263,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.007600331188,-4.879563455270897
Murphy et al. 2015,NO3_Interp,Site_3,2013,0.1624125921948021,DS3,40.0155,-105.324566,63.1,Cfb,Burn,0.002573892111,-5.962336085605072
Murphy et al. 2018,NO3_Interp,Control,2010,0.039873271841836734,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.001539508565,-6.476292027120554
Murphy et al. 2018,NO3_Interp,Control,2011,0.029102111264809293,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.00112363364,-6.791187523702121
Murphy et al. 2018,NO3_Interp,Control,2012,0.023515821091522653,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,9.0794676e-4,-7.004324815443276
Murphy et al. 2018,NO3_Interp,Control,2013,0.04111350083123457,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.001587393854,-6.445661693054946
Murphy et al. 2018,NO3_Interp,Control,2014,0.03293237478740212,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.001271520262,-6.667542037719827
Murphy et al. 2018,NO3_Interp,Control,2015,0.033880809348029534,US1,40.036103,-105.439101,25.900000000000002,Cfb,Unburn,0.001308139357,-6.639149489573401
Murphy et al. 2018,NO3_Interp,Site_1,2010,0.022583356220888355,DS1,40.039046,-105.393878,37,Cfb,Burn,6.10360979e-4,-7.401460006970599
