Study_ID,Site,Sampling_Date,latitude,longitude,Area_watershed_km,Pair,Climate,Burn_Unburn,Time_Since_Fire,DOC_mg_C_L,NO3_mg_N_L,NO3_Interp,DOC_Interp
Rhea et al. 2021,B2,2017-07-22,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.300617285,1.4889705881666666
Rhea et al. 2021,B2,2017-07-23,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.29670782,1.4926470587777778
Rhea et al. 2021,B2,2017-07-24,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.292798355,1.4963235293888888
Rhea et al. 2021,B2,2017-07-25,NA,NA,6.02,Site_2,Dfc,Burn,15,1.5,0.28888889,0.28888889,1.5
Rhea et al. 2021,B2,2017-07-26,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.29529914615384617,1.491515837076923
Rhea et al. 2021,B2,2017-07-27,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.30170940230769233,1.483031674153846
Rhea et al. 2021,B2,2017-07-28,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.3081196584615385,1.474547511230769
Rhea et al. 2021,B2,2017-07-29,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.3145299146153846,1.4660633483076924
Rhea et al. 2021,B2,2017-07-30,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.32094017076923076,1.4575791853846154
Rhea et al. 2021,B2,2017-07-31,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.3273504269230769,1.4490950224615384
Rhea et al. 2021,B2,2017-08-01,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.3337606830769231,1.4406108595384615
Rhea et al. 2021,B2,2017-08-02,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.34017093923076924,1.4321266966153845
Rhea et al. 2021,B2,2017-08-03,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.3465811953846154,1.4236425336923075
Rhea et al. 2021,B2,2017-08-04,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.35299145153846156,1.4151583707692308
Rhea et al. 2021,B2,2017-08-05,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.35940170769230767,1.4066742078461538
Rhea et al. 2021,B2,2017-08-06,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.36581196384615383,1.3981900449230769
Rhea et al. 2021,B2,2017-08-07,NA,NA,6.02,Site_2,Dfc,Burn,15,1.389705882,0.37222222,0.37222222,1.389705882
Rhea et al. 2021,B2,2017-08-08,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.36736110875,1.348345587875
Rhea et al. 2021,B2,2017-08-09,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.3624999975,1.30698529375
Rhea et al. 2021,B2,2017-08-10,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.35763888625,1.265624999625
Rhea et al. 2021,B2,2017-08-11,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.35277777499999996,1.2242647055
Rhea et al. 2021,B2,2017-08-12,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.34791666374999997,1.182904411375
Rhea et al. 2021,B2,2017-08-13,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.34305555249999997,1.14154411725
Rhea et al. 2021,B2,2017-08-14,NA,NA,6.02,Site_2,Dfc,Burn,15,NA,NA,0.33819444125,1.100183823125
Rhea et al. 2021,B2,2017-08-15,NA,NA,6.02,Site_2,Dfc,Burn,15,1.058823529,0.33333333,0.33333333,1.058823529
Rhea et al. 2021,B3,2017-06-25,NA,NA,8.33,Site_3,Dfc,Burn,15,1.301470588,0.405555556,0.405555556,1.301470588
Rhea et al. 2021,B3,2017-06-26,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.40339506216666665,1.2941176468333333
Rhea et al. 2021,B3,2017-06-27,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.4012345683333333,1.2867647056666667
Rhea et al. 2021,B3,2017-06-28,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.3990740745,1.2794117644999998
Rhea et al. 2021,B3,2017-06-29,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.39691358066666665,1.2720588233333332
Rhea et al. 2021,B3,2017-06-30,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.3947530868333333,1.2647058821666666
Rhea et al. 2021,B3,2017-07-01,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.392592593,1.257352941
Rhea et al. 2021,B3,2017-07-02,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.39043209916666666,1.2499999998333333
Rhea et al. 2021,B3,2017-07-03,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.3882716053333333,1.2426470586666667
Rhea et al. 2021,B3,2017-07-04,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.3861111115,1.2352941175
Rhea et al. 2021,B3,2017-07-05,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.38395061766666666,1.2279411763333332
Rhea et al. 2021,B3,2017-07-06,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.38179012383333333,1.2205882351666666
Rhea et al. 2021,B3,2017-07-07,NA,NA,8.33,Site_3,Dfc,Burn,15,1.213235294,0.37962963,0.37962963,1.213235294
Rhea et al. 2021,B3,2017-07-08,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.346990741125,1.210477941125
Rhea et al. 2021,B3,2017-07-09,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.31435185225,1.20772058825
Rhea et al. 2021,B3,2017-07-10,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.28171296337499996,1.204963235375
Rhea et al. 2021,B3,2017-07-11,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.2490740745,1.2022058825
Rhea et al. 2021,B3,2017-07-12,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.216435185625,1.199448529625
Rhea et al. 2021,B3,2017-07-13,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.18379629674999998,1.19669117675
Rhea et al. 2021,B3,2017-07-14,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.15115740787499998,1.193933823875
Rhea et al. 2021,B3,2017-07-15,NA,NA,8.33,Site_3,Dfc,Burn,15,1.191176471,0.118518519,0.118518519,1.191176471
Rhea et al. 2021,B3,2017-07-16,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.1383333338,1.2242647062999998
Rhea et al. 2021,B3,2017-07-17,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.1581481486,1.2573529416
Rhea et al. 2021,B3,2017-07-18,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.1779629634,1.2904411769
Rhea et al. 2021,B3,2017-07-19,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.19777777820000003,1.3235294121999999
Rhea et al. 2021,B3,2017-07-20,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.217592593,1.3566176474999998
Rhea et al. 2021,B3,2017-07-21,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.23740740780000003,1.3897058828
Rhea et al. 2021,B3,2017-07-22,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.2572222226,1.4227941181
Rhea et al. 2021,B3,2017-07-23,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.2770370374,1.4558823533999998
Rhea et al. 2021,B3,2017-07-24,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.29685185220000004,1.4889705887
Rhea et al. 2021,B3,2017-07-25,NA,NA,8.33,Site_3,Dfc,Burn,15,1.522058824,0.316666667,0.316666667,1.522058824
Rhea et al. 2021,B3,2017-07-26,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.30754985784615385,1.6934389144615385
Rhea et al. 2021,B3,2017-07-27,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.2984330486923077,1.8648190049230768
Rhea et al. 2021,B3,2017-07-28,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.28931623953846153,2.036199095384615
Rhea et al. 2021,B3,2017-07-29,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.28019943038461537,2.2075791858461535
Rhea et al. 2021,B3,2017-07-30,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.2710826212307692,2.3789592763076923
Rhea et al. 2021,B3,2017-07-31,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.2619658120769231,2.5503393667692307
Rhea et al. 2021,B3,2017-08-01,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.25284900292307694,2.721719457230769
Rhea et al. 2021,B3,2017-08-02,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.24373219376923078,2.893099547692308
Rhea et al. 2021,B3,2017-08-03,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.23461538461538461,3.0644796381538457
Rhea et al. 2021,B3,2017-08-04,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.22549857546153845,3.2358597286153845
Rhea et al. 2021,B3,2017-08-05,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.2163817663076923,3.407239819076923
Rhea et al. 2021,B3,2017-08-06,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.20726495715384613,3.578619909538461
Rhea et al. 2021,B3,2017-08-07,NA,NA,8.33,Site_3,Dfc,Burn,15,3.75,0.198148148,0.198148148,3.75
Rhea et al. 2021,B3,2017-08-08,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.209027777625,3.50459558825
Rhea et al. 2021,B3,2017-08-09,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.21990740725,3.2591911765
Rhea et al. 2021,B3,2017-08-10,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.23078703687500002,3.01378676475
Rhea et al. 2021,B3,2017-08-11,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.24166666650000002,2.768382353
Rhea et al. 2021,B3,2017-08-12,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.252546296125,2.5229779412499997
Rhea et al. 2021,B3,2017-08-13,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.26342592575,2.2775735295
Rhea et al. 2021,B3,2017-08-14,NA,NA,8.33,Site_3,Dfc,Burn,15,NA,NA,0.274305555375,2.03216911775
Rhea et al. 2021,B3,2017-08-15,NA,NA,8.33,Site_3,Dfc,Burn,15,1.786764706,0.285185185,0.285185185,1.786764706
Rhea et al. 2021,U1,2017-06-15,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,5.205882353,0.005555556,0.005555556,5.205882353
Rhea et al. 2021,U1,2017-06-16,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,5.1687834225
Rhea et al. 2021,U1,2017-06-17,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,5.131684492
Rhea et al. 2021,U1,2017-06-18,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,5.0945855615
Rhea et al. 2021,U1,2017-06-19,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,5.057486631
Rhea et al. 2021,U1,2017-06-20,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,5.0203877005
Rhea et al. 2021,U1,2017-06-21,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.98328877
Rhea et al. 2021,U1,2017-06-22,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.9461898395
Rhea et al. 2021,U1,2017-06-23,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.909090909
Rhea et al. 2021,U1,2017-06-24,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.8719919785
Rhea et al. 2021,U1,2017-06-25,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.834893048
Rhea et al. 2021,U1,2017-06-26,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.7977941175000005
Rhea et al. 2021,U1,2017-06-27,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.7606951870000005
Rhea et al. 2021,U1,2017-06-28,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.7235962565000005
Rhea et al. 2021,U1,2017-06-29,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.6864973260000005
Rhea et al. 2021,U1,2017-06-30,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.6493983955000004
Rhea et al. 2021,U1,2017-07-01,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.612299465
Rhea et al. 2021,U1,2017-07-02,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.5752005345
Rhea et al. 2021,U1,2017-07-03,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.538101604
Rhea et al. 2021,U1,2017-07-04,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.5010026735
Rhea et al. 2021,U1,2017-07-05,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.463903743
Rhea et al. 2021,U1,2017-07-06,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005555556,4.4268048125
Rhea et al. 2021,U1,2017-07-07,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,4.389705882,0.005555556,0.005555556,4.389705882
Rhea et al. 2021,U1,2017-07-08,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.005092592999999999,4.342830882
Rhea et al. 2021,U1,2017-07-09,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.00462963,4.295955882
Rhea et al. 2021,U1,2017-07-10,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.004166667,4.249080882
Rhea et al. 2021,U1,2017-07-11,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.003703704,4.202205882
Rhea et al. 2021,U1,2017-07-12,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.003240741,4.155330882
Rhea et al. 2021,U1,2017-07-13,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.002777778,4.108455882
Rhea et al. 2021,U1,2017-07-14,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.002314815,4.061580882
Rhea et al. 2021,U1,2017-07-15,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,4.014705882,0.001851852,0.001851852,4.014705882
Rhea et al. 2021,U1,2017-07-16,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.0017429195294117648,4.022491349176471
Rhea et al. 2021,U1,2017-07-17,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.0016339870588235293,4.030276816352941
Rhea et al. 2021,U1,2017-07-18,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.001525054588235294,4.038062283529412
Rhea et al. 2021,U1,2017-07-19,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.0014161221176470589,4.0458477507058825
Rhea et al. 2021,U1,2017-07-20,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.0013071896470588235,4.0536332178823535
Rhea et al. 2021,U1,2017-07-21,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.001198257176470588,4.061418685058824
Rhea et al. 2021,U1,2017-07-22,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,0.001089324705882353,4.069204152235295
Rhea et al. 2021,U1,2017-07-23,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,9.803922352941176e-4,4.076989619411765
Rhea et al. 2021,U1,2017-07-24,40.26237,-105.590804,7.04,Control,Dfc,Unburn,5,NA,NA,8.714597647058824e-4,4.084775086588236
