Column_or_Row_Name,Unit,Definition,Data_Type,header_count,files
PctFire2004Ws,,,numeric,5,"forest_lost.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctFire2005Ws,,,numeric,5,"forest_lost.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctFire2006Ws,,,numeric,5,"forest_lost.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctFire2007Ws,,,numeric,5,"forest_lost.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctFire2008Ws,,,numeric,5,"forest_lost.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctFire2009Ws,,,numeric,5,"forest_lost.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctFire2010Ws,,,numeric,5,"forest_lost.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctGlacLakeCrsWs,,,numeric,6,"lithology.csv, lithology_2.0.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctGlacLakeFineWs,,,numeric,6,"lithology.csv, lithology_2.0.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctGlacTilClayWs,,,numeric,6,"lithology.csv, lithology_2.0.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctGlacTilCrsWs,,,numeric,6,"lithology.csv, lithology_2.0.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctGlacTilLoamWs,,,numeric,6,"lithology.csv, lithology_2.0.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctGrs2001,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctGrs2004,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctGrs2006,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctGrs2008,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctGrs2011,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctGrs2013,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctGrs2016,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctGrs2019,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctHbWet2001,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctHbWet2004,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctHbWet2006,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctHbWet2008,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctHbWet2011,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctHbWet2013,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctHbWet2016,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctHbWet2019,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctHigh Burn SeverityWs_1984,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1985,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1986,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1987,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1988,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1989,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1990,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1991,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1992,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1993,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1994,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1995,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_1996,,,numeric,1,MTBS_severity_1996_2001.csv
PctHigh Burn SeverityWs_1997,,,numeric,1,MTBS_severity_1996_2001.csv
PctHigh Burn SeverityWs_1998,,,numeric,1,MTBS_severity_1996_2001.csv
PctHigh Burn SeverityWs_1999,,,numeric,1,MTBS_severity_1996_2001.csv
PctHigh Burn SeverityWs_2000,,,numeric,1,MTBS_severity_1996_2001.csv
PctHigh Burn SeverityWs_2001,,,numeric,1,MTBS_severity_1996_2001.csv
PctHigh Burn SeverityWs_2002,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2003,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2004,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2005,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2006,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2007,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2008,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2009,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2010,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2011,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2012,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2013,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2014,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2015,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2016,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2017,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHigh Burn SeverityWs_2018,,,numeric,6,"MTBS_severity_2018.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctHydricWs,,,numeric,6,"lithology.csv, lithology_2.0.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctIce2001,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctIce2004,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctIce2006,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctIce2008,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctIce2011,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctIce2013,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctIce2016,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctIce2019,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctLow Burn SeverityWs_1984,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1985,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1986,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1987,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1988,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1989,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1990,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1991,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1992,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1993,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1994,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1995,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_1996,,,numeric,1,MTBS_severity_1996_2001.csv
PctLow Burn SeverityWs_1997,,,numeric,1,MTBS_severity_1996_2001.csv
PctLow Burn SeverityWs_1998,,,numeric,1,MTBS_severity_1996_2001.csv
PctLow Burn SeverityWs_1999,,,numeric,1,MTBS_severity_1996_2001.csv
PctLow Burn SeverityWs_2000,,,numeric,1,MTBS_severity_1996_2001.csv
PctLow Burn SeverityWs_2001,,,numeric,1,MTBS_severity_1996_2001.csv
PctLow Burn SeverityWs_2002,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2003,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2004,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2005,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2006,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2007,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2008,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2009,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2010,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2011,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2012,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2013,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2014,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2015,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2016,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2017,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctLow Burn SeverityWs_2018,,,numeric,6,"MTBS_severity_2018.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1984,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1985,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1986,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1987,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1988,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1989,,,numeric,6,"MTBS_severity_1984_1989.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1990,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1991,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1992,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1993,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1994,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1995,,,numeric,6,"MTBS_severity_1990_1995.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_1996,,,numeric,1,MTBS_severity_1996_2001.csv
PctModerate Burn SeverityWs_1997,,,numeric,1,MTBS_severity_1996_2001.csv
PctModerate Burn SeverityWs_1998,,,numeric,1,MTBS_severity_1996_2001.csv
PctModerate Burn SeverityWs_1999,,,numeric,1,MTBS_severity_1996_2001.csv
PctModerate Burn SeverityWs_2000,,,numeric,1,MTBS_severity_1996_2001.csv
PctModerate Burn SeverityWs_2001,,,numeric,1,MTBS_severity_1996_2001.csv
PctModerate Burn SeverityWs_2002,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2003,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2004,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2005,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2006,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2007,,,numeric,6,"MTBS_severity_2007_2002.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2008,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2009,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2010,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2011,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2012,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2013,,,numeric,6,"MTBS_severity_2008_2013.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2014,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2015,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2016,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2017,,,numeric,6,"MTBS_severity_2014_2017.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctModerate Burn SeverityWs_2018,,,numeric,6,"MTBS_severity_2018.csv, MTBS_severity.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctNonCarbResidWs,,,numeric,6,"lithology.csv, lithology_2.0.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctOw2001,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctOw2004,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctOw2006,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctOw2008,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctOw2011,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctOw2013,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctOw2016,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctOw2019,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctSalLakeWs,,,numeric,6,"lithology.csv, lithology_2.0.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctShrb2001,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctShrb2004,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctShrb2006,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctShrb2008,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctShrb2011,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctShrb2013,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctShrb2016,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctShrb2019,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctSilicicWs,,,numeric,6,"lithology.csv, lithology_2.0.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
PctUrbHi2001,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctUrbHi2004,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctUrbHi2006,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctUrbHi2008,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctUrbHi2011,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctUrbHi2013,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctUrbHi2016,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctUrbHi2019,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
PctUrbLo2001,,,numeric,3,"NLCD_2001_2019.csv, random_forest_data.csv, random_forest_data_new.csv"
