"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Marques J.S.J.; Dittmar T.; Niggemann J.; Almeida M.G.; Gomez-Saez G.V.; Rezende C.E.","Marques, Jomar S. J. (57194634855); Dittmar, Thorsten (7003435312); Niggemann, Jutta (56633398900); Almeida, Marcelo G. (36626991300); Gomez-Saez, Gonzalo V. (55878951300); Rezende, Carlos E. (7004919328)","57194634855; 7003435312; 56633398900; 36626991300; 55878951300; 7004919328","Dissolved black carbon in the headwaters-to-ocean continuum of Paraíba do Sul River, Brazil","2017","Frontiers in Earth Science","5","","11","","","","47","10.3389/feart.2017.00011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021078589&doi=10.3389%2ffeart.2017.00011&partnerID=40&md5=36dc6ec2fdd5423829e10a30ff449342","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85021078589"
"Hubbert K.R.; Busse M.; Overby S.; Shestak C.; Gerrard R.","Hubbert, Ken R. (6602385592); Busse, Matt (7006702524); Overby, Steve (56387444400); Shestak, Carol (6508213520); Gerrard, Ross (6602678659)","6602385592; 7006702524; 56387444400; 6508213520; 6602678659","Pile burning effects on soil water repellency, infiltration, and downslope water chemistry in the lake tahoe basin, USA","2015","Fire Ecology","11","2","","100","118","18","10","10.4996/fireecology.1102100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937935604&doi=10.4996%2ffireecology.1102100&partnerID=40&md5=6d228b6f3e264bfee050d70b94da52d4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84937935604"
"Thurman E.M.; Yu Y.; Ferrer I.; Thorn K.A.; Rosario-Ortiz F.L.","Thurman, E. Michael (35553233300); Yu, Yun (56843902900); Ferrer, Imma (7202021318); Thorn, Kevin A. (7005159453); Rosario-Ortiz, Fernando L. (16029762700)","35553233300; 56843902900; 7202021318; 7005159453; 16029762700","Molecular Identification of Water-Extractable Organic Carbon from Thermally Heated Soils: C-13 NMR and Accurate Mass Analyses Find Benzene and Pyridine Carboxylic Acids","2020","Environmental Science and Technology","54","5","","2994","3001","7","14","10.1021/acs.est.9b05230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081127423&doi=10.1021%2facs.est.9b05230&partnerID=40&md5=96b1c985b40d72c459b94cc13fc8ddac","Article","Final","","Scopus","2-s2.0-85081127423"
"Johnston S.G.; Maher D.T.","Johnston, Scott G. (36967564700); Maher, Damien T. (22935181400)","36967564700; 22935181400","Drought, megafires and flood - climate extreme impacts on catchment-scale river water quality on Australia's east coast","2022","Water Research","218","","118510","","","","5","10.1016/j.watres.2022.118510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129013326&doi=10.1016%2fj.watres.2022.118510&partnerID=40&md5=b8963630d1acce1c30337b679141bd54","Article","Final","","Scopus","2-s2.0-85129013326"
"Sherson L.R.; Van Horn D.J.; Gomez-Velez J.D.; Crossey L.J.; Dahm C.N.","Sherson, Lauren R. (56560179600); Van Horn, David J. (15128202600); Gomez-Velez, Jesus D. (56391916100); Crossey, Laura J. (6601969592); Dahm, Clifford N. (7005573738)","56560179600; 15128202600; 56391916100; 6601969592; 7005573738","Nutrient dynamics in an alpine headwater stream: Use of continuous water quality sensors to examine responses to wildfire and precipitation events","2015","Hydrological Processes","29","14","","3193","3207","14","44","10.1002/hyp.10426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947870827&doi=10.1002%2fhyp.10426&partnerID=40&md5=99ec1b5db7aaefbd68db383fd0068565","Article","Final","","Scopus","2-s2.0-84947870827"
"Rodríguez-Cardona B.M.; Coble A.A.; Wymore A.S.; Kolosov R.; Podgorski D.C.; Zito P.; Spencer R.G.M.; Prokushkin A.S.; McDowell W.H.","Rodríguez-Cardona, B.M. (56916018400); Coble, A.A. (55846346700); Wymore, A.S. (54379416900); Kolosov, R. (57202424892); Podgorski, D.C. (26423883600); Zito, P. (57190871000); Spencer, R.G.M. (15063517300); Prokushkin, A.S. (6505580906); McDowell, W.H. (7006465552)","56916018400; 55846346700; 54379416900; 57202424892; 26423883600; 57190871000; 15063517300; 6505580906; 7006465552","Wildfires lead to decreased carbon and increased nitrogen concentrations in upland arctic streams","2020","Scientific Reports","10","1","8722","","","","36","10.1038/s41598-020-65520-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085367781&doi=10.1038%2fs41598-020-65520-0&partnerID=40&md5=61dbd5d37535b0565212cf905d666f92","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085367781"
"Zhang Y.W.; Zhang X.Y.; Zhang Y.M.; Shen X.J.; Sun J.Y.; Ma Q.L.; Yu X.M.; Zhu J.L.; Zhang L.; Che H.C.","Zhang, Y.W. (58409983900); Zhang, X.Y. (56068376200); Zhang, Y.M. (55999590500); Shen, X.J. (55366522200); Sun, J.Y. (55716266100); Ma, Q.L. (55448255200); Yu, X.M. (55490472500); Zhu, J.L. (55542116900); Zhang, L. (57798043400); Che, H.C. (55711605200)","58409983900; 56068376200; 55999590500; 55366522200; 55716266100; 55448255200; 55490472500; 55542116900; 57798043400; 55711605200","Significant concentration changes of chemical components of PM1 in the Yangtze River Delta area of China and the implications for the formation mechanism of heavy haze-fog pollution","2015","Science of the Total Environment","538","","","7","15","8","56","10.1016/j.scitotenv.2015.06.104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939619903&doi=10.1016%2fj.scitotenv.2015.06.104&partnerID=40&md5=ae65fba51b655278e87dc4060d90fde8","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84939619903"
"Ferreira R.V.; Serpa D.; Machado A.I.; Rodríguez-Blanco M.L.; Santos L.F.; Taboada-Castro M.T.; Cerqueira M.A.; Keizer J.J.","Ferreira, R.V. (24070386800); Serpa, D. (23490709400); Machado, A.I. (55964816300); Rodríguez-Blanco, M.L. (6602231798); Santos, L.F. (57876154200); Taboada-Castro, M.T. (57208004112); Cerqueira, M.A. (7005005247); Keizer, J.J. (7005301640)","24070386800; 23490709400; 55964816300; 6602231798; 57876154200; 57208004112; 7005005247; 7005301640","Short-term nitrogen losses by overland flow in a recently burnt forest area in north-central Portugal: A study at micro-plot scale","2016","Science of the Total Environment","572","","","1281","1288","7","22","10.1016/j.scitotenv.2015.12.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952690664&doi=10.1016%2fj.scitotenv.2015.12.042&partnerID=40&md5=0c665c41c618e4cd0c128009f0ec62e4","Article","Final","","Scopus","2-s2.0-84952690664"
"Leonard J.M.; Magaña H.A.; Bangert R.K.; Neary D.G.; Montgomery W.L.","Leonard, Jackson M. (56567297800); Magaña, Hugo A. (6505906202); Bangert, Randy K. (6601961871); Neary, Daniel G. (7005979745); Montgomery, Willson L. (7101969094)","56567297800; 6505906202; 6601961871; 7005979745; 7101969094","Fire and floods: The recovery of headwater stream systems following high-severity wildfire","2017","Fire Ecology","13","3","","62","84","22","9","10.4996/fireecology.130306284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039695559&doi=10.4996%2ffireecology.130306284&partnerID=40&md5=184ad048b920a5cd21ae096482cb0dcb","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85039695559"
"Rüegg J.; Eichmiller J.J.; Mladenov N.; Dodds W.K.","Rüegg, Janine (24072180100); Eichmiller, Jessica J. (18436532800); Mladenov, Natalie (14829220700); Dodds, Walter K. (7201837173)","24072180100; 18436532800; 14829220700; 7201837173","Dissolved organic carbon concentration and flux in a grassland stream: spatial and temporal patterns and processes from long-term data","2015","Biogeochemistry","125","3","","393","408","15","8","10.1007/s10533-015-0134-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944154202&doi=10.1007%2fs10533-015-0134-z&partnerID=40&md5=b90fc5eb11115f33cdb4e2d4f30c4403","Article","Final","","Scopus","2-s2.0-84944154202"
"MacNeille R.B.; Lohse K.A.; Godsey S.E.; Perdrial J.N.; Baxter C.V.","MacNeille, Ruth B. (57351087400); Lohse, Kathleen A. (6701310647); Godsey, Sarah E. (6507283537); Perdrial, Julia N. (26424787500); Baxter, Colden V. (7102322989)","57351087400; 6701310647; 6507283537; 26424787500; 7102322989","Influence of Drying and Wildfire on Longitudinal Chemistry Patterns and Processes of Intermittent Streams","2020","Frontiers in Water","2","","563841","","","","5","10.3389/frwa.2020.563841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106900064&doi=10.3389%2ffrwa.2020.563841&partnerID=40&md5=a984ffd941a6ce67030c70ed65eb7c02","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85106900064"
"Dittmar T.; Paeng J.; Gihring T.M.; Suryaputra I.G.N.A.; Huettel M.","Dittmar, Thorsten (7003435312); Paeng, Jiyoung (26533131800); Gihring, Thomas M. (6603212237); Suryaputra, I.G.N.A. (24282028700); Huettel, Markus (7003610918)","7003435312; 26533131800; 6603212237; 24282028700; 7003610918","Discharge of dissolved black carbon from a fire-affected intertidal system","2012","Limnology and Oceanography","57","4","","1171","1181","10","61","10.4319/lo.2012.57.4.1171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860826553&doi=10.4319%2flo.2012.57.4.1171&partnerID=40&md5=b6c57646b3169f7ff8271a7bd8e3cac0","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84860826553"
"Chow A.T.; Tsai K.-P.; Fegel T.S.; Pierson D.N.; Rhoades C.C.","Chow, Alex T. (7201769541); Tsai, Kuo-Pei (56701850300); Fegel, Timothy S. (57188738397); Pierson, Derek N. (57194197182); Rhoades, Charles C. (7005207421)","7201769541; 56701850300; 57188738397; 57194197182; 7005207421","Lasting effects of wildfire on disinfection by-product formation in forest catchments","2019","Journal of Environmental Quality","48","6","","1826","1834","8","15","10.2134/jeq2019.04.0172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074519770&doi=10.2134%2fjeq2019.04.0172&partnerID=40&md5=a0e0279371722407f1e282a4884bb590","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85074519770"
"Rhoades C.C.; Chow A.T.; Covino T.P.; Fegel T.S.; Pierson D.N.; Rhea A.E.","Rhoades, Charles C. (7005207421); Chow, Alex T. (7201769541); Covino, Timothy P. (23026976400); Fegel, Timothy S. (57188738397); Pierson, Derek N. (57194197182); Rhea, Allison E. (57203679229)","7005207421; 7201769541; 23026976400; 57188738397; 57194197182; 57203679229","The Legacy of a Severe Wildfire on Stream Nitrogen and Carbon in Headwater Catchments","2019","Ecosystems","22","3","","643","657","14","70","10.1007/s10021-018-0293-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052651847&doi=10.1007%2fs10021-018-0293-6&partnerID=40&md5=e33b08b4f1315ff497873c8f91e05ac7","Article","Final","","Scopus","2-s2.0-85052651847"
"Rahman A.; El Hayek E.; Blake J.M.; Bixby R.J.; Ali A.-M.; Spilde M.; Otieno A.A.; Miltenberger K.; Ridgeway C.; Artyushkova K.; Atudorei V.; Cerrato J.M.","Rahman, Asifur (55424677000); El Hayek, Eliane (56968209400); Blake, Johanna M. (56037567000); Bixby, Rebecca J. (7003561118); Ali, Abdul-Mehdi (36058278100); Spilde, Michael (6602922050); Otieno, Amanda A. (57203371008); Miltenberger, Keely (57203371959); Ridgeway, Cyrena (57203368511); Artyushkova, Kateryna (6506400002); Atudorei, Viorel (6603362843); Cerrato, José M. (14044699200)","55424677000; 56968209400; 56037567000; 7003561118; 36058278100; 6602922050; 57203371008; 57203371959; 57203368511; 6506400002; 6603362843; 14044699200","Metal Reactivity in Laboratory Burned Wood from a Watershed Affected by Wildfires","2018","Environmental Science and Technology","52","15","","8115","8123","8","6","10.1021/acs.est.8b00530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051428209&doi=10.1021%2facs.est.8b00530&partnerID=40&md5=57ca0b54de0c855c9ffb5305989d1f16","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85051428209"
"Smith H.G.; Hopmans P.; Sheridan G.J.; Lane P.N.J.; Noske P.J.; Bren L.J.","Smith, Hugh G. (24077561700); Hopmans, Peter (6603843539); Sheridan, Gary J. (7003706805); Lane, Patrick N.J. (7202980469); Noske, Philip J. (13411526300); Bren, Leon J. (7005925411)","24077561700; 6603843539; 7003706805; 7202980469; 13411526300; 7005925411","Impacts of wildfire and salvage harvesting on water quality and nutrient exports from radiata pine and eucalypt forest catchments in south-eastern Australia","2012","Forest Ecology and Management","263","","","160","169","9","18","10.1016/j.foreco.2011.09.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054696511&doi=10.1016%2fj.foreco.2011.09.002&partnerID=40&md5=94b2dda2e7708bd00c935e3d0ca4aa9a","Article","Final","","Scopus","2-s2.0-80054696511"
"Oliver A.A.; Reuter J.E.; Heyvaert A.C.; Dahlgren R.A.","Oliver, Allison A. (55417412600); Reuter, John E. (7005314992); Heyvaert, Alan C. (8963518300); Dahlgren, Randy A. (7005899511)","55417412600; 7005314992; 8963518300; 7005899511","Water quality response to the Angora Fire, Lake Tahoe, California","2012","Biogeochemistry","111","1-3","","361","376","15","23","10.1007/s10533-011-9657-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873171558&doi=10.1007%2fs10533-011-9657-0&partnerID=40&md5=7582d0e6f7b2c4ac6eb01f297187e70d","Article","Final","","Scopus","2-s2.0-84873171558"
"Zhang Y.; Sun J.; Zheng P.; Chen T.; Liu Y.; Han G.; Simpson I.J.; Wang X.; Blake D.R.; Li Z.; Yang X.; Qi Y.; Wang Q.; Wang W.; Xue L.","Zhang, Yingnan (57204821095); Sun, Jingjing (57201333050); Zheng, Penggang (57204819302); Chen, Tianshu (57190965008); Liu, Yuhong (57203675785); Han, Guangxuan (16306656500); Simpson, Isobel J. (56214091200); Wang, Xinfeng (35239166400); Blake, Donald R. (8359591200); Li, Zeyuan (57195581147); Yang, Xue (56789249400); Qi, Yanbin (26666198600); Wang, Qi (57204819817); Wang, Wenxing (35975306400); Xue, Likun (26666356300)","57204821095; 57201333050; 57204819302; 57190965008; 57203675785; 16306656500; 56214091200; 35239166400; 8359591200; 57195581147; 56789249400; 26666198600; 57204819817; 35975306400; 26666356300","Observations of C1–C5 alkyl nitrates in the Yellow River Delta, northern China: Effects of biomass burning and oil field emissions","2019","Science of the Total Environment","656","","","129","139","10","12","10.1016/j.scitotenv.2018.11.208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057334583&doi=10.1016%2fj.scitotenv.2018.11.208&partnerID=40&md5=7009b560bc2c44bd72a8743f8cd45fc7","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85057334583"
"Brown L.E.; Holden J.; Palmer S.M.; Johnston K.; Ramchunder S.J.; Grayson R.","Brown, Lee E. (55386674600); Holden, Joseph (23995734100); Palmer, Sheila M. (7402329363); Johnston, Kerrylyn (8233962300); Ramchunder, Sorain J. (26658688700); Grayson, Richard (15069129400)","55386674600; 23995734100; 7402329363; 8233962300; 26658688700; 15069129400","Effects of fire on the hydrology, biogeochemistry, and ecology of peatland river systems","2015","Freshwater Science","34","4","","1406","1425","19","43","10.1086/683426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983164472&doi=10.1086%2f683426&partnerID=40&md5=e3b4e539b8fbccead4e204132eea34e4","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84983164472"
"Azhagurajan A.; Selvakumar N.; Mohammed Yasin M.","Azhagurajan, A. (8675887300); Selvakumar, N. (55196318700); Mohammed Yasin, M. (54584161000)","8675887300; 55196318700; 54584161000","Minimum ignition energy for micro and nano flash powders","2012","Process Safety Progress","31","1","","19","23","4","29","10.1002/prs.10503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856751333&doi=10.1002%2fprs.10503&partnerID=40&md5=d0e145185d6a8961d0906a65b5fe27c2","Article","Final","","Scopus","2-s2.0-84856751333"
"Riskin S.H.; Neill C.; Jankowski K.; Krusche A.V.; McHorney R.; Elsenbeer H.; Macedo M.N.; Nunes D.; Porder S.","Riskin, Shelby H. (41562066700); Neill, Christopher (57206397643); Jankowski, Kathijo (55246760200); Krusche, Alex V. (6701760504); McHorney, Richard (25641729800); Elsenbeer, Helmut (55932491500); Macedo, Marcia N. (54936080800); Nunes, Darlisson (57192834803); Porder, Stephen (6602735213)","41562066700; 57206397643; 55246760200; 6701760504; 25641729800; 55932491500; 54936080800; 57192834803; 6602735213","Solute and sediment export from Amazon forest and soybean headwater streams:","2017","Ecological Applications","27","1","","193","207","14","31","10.1002/eap.1428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008386350&doi=10.1002%2feap.1428&partnerID=40&md5=58135726b3f7bf1d1b6f2a63cfff344b","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85008386350"
"Jensen A.M.; Scanlon T.M.; Riscassi A.L.","Jensen, Allison M. (57199734975); Scanlon, Todd M. (7004562194); Riscassi, Ami L. (6505611045)","57199734975; 7004562194; 6505611045","Emerging investigator series: The effect of wildfire on streamwater mercury and organic carbon in a forested watershed in the southeastern United States","2017","Environmental Science: Processes and Impacts","19","12","","1505","1517","12","13","10.1039/c7em00419b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038385183&doi=10.1039%2fc7em00419b&partnerID=40&md5=baf2fe2f4234d2c74de262cf0432a09e","Article","Final","","Scopus","2-s2.0-85038385183"
"Sánchez R.A.; Meixner T.; Roy T.; Ferré P.T.; Whitaker M.; Chorover J.","Sánchez, Rodrigo Andrés (58283148400); Meixner, Thomas (6701814962); Roy, Tirthankar (57220642595); Ferré, Paul Ty (6602003093); Whitaker, Martha (58372992300); Chorover, Jon (7003537559)","58283148400; 6701814962; 57220642595; 6602003093; 58372992300; 7003537559","Physical and biogeochemical drivers of solute mobilization and flux through the critical zone after wildfire","2023","Frontiers in Water","5","","1148298","","","","0","10.3389/frwa.2023.1148298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159868315&doi=10.3389%2ffrwa.2023.1148298&partnerID=40&md5=cde334f1744fbb5f242a9988595285c5","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159868315"
