site,latitude,longitude,comid
BS.25,69.22634558,-150.913,
BS.26,69.27085483,-150.978,
BS.26,69.27085483,-150.978,
BS.26,69.27085483,-150.978,
BS.26,69.27085483,-150.978,
BS.26,69.27085483,-150.978,
BS.29,69.318992,-150.981,
BS.29,69.318992,-150.981,
BS.29,69.318992,-150.981,
BS.29,69.318992,-150.981,
BS.30,69.34141,-150.969,
BS.30,69.34141,-150.969,
BS.30,69.34141,-150.969,
BS.30,69.34141,-150.969,
BS.31,69.33007406,-151.035,
BS.31,69.349471,-151.029,
BS.31,69.349471,-151.029,
BS.31,69.349471,-151.029,
BS.31,69.349471,-151.029,
BS.32,69.37195944,-151.011,
BS.32,69.36919,-151.006,
BS.32,69.36919,-151.006,
BS.32,69.36919,-151.006,
BS.32,69.36919,-151.006,
BS.33,69.38362981,-151.096,
BS.33,69.38362981,-151.096,
BS.33,69.38362981,-151.096,
BS.33,69.38362981,-151.096,
BS.33,69.38362981,-151.096,
BS.34,69.41620532,-151.065,
BS.34,69.408935,-151.04,
BS.34,69.408935,-151.04,
BS.34,69.408935,-151.04,
BS.34,69.408935,-151.04,
BS.38,69.43045774,-150.781,
BS.38,69.455667,-150.719,
BS.38,69.455667,-150.719,
BS.38,69.455667,-150.719,
BS.38,69.455667,-150.719,
BS.4,68.836052,-150.598,
BS.4,68.836052,-150.598,
BS.4,68.836052,-150.598,
BS.4,68.836052,-150.598,
BS.4,68.836052,-150.598,
BS.40,69.43425533,-150.709,
BS.40,69.43425533,-150.709,
BS.40,69.43425533,-150.709,
BS.40,69.43425533,-150.709,
BS.40,69.43425533,-150.709,
BS.41,69.40137187,-150.629,
BS.41,69.40137187,-150.629,
BS.41,69.40137187,-150.629,
BS.41,69.40137187,-150.629,
BS.41,69.40137187,-150.629,
BS.42,69.36868245,-150.667,
BS.42,69.36868245,-150.667,
BS.42,69.36868245,-150.667,
BS.42,69.36868245,-150.667,
BS.42,69.36868245,-150.667,
BS.44,69.33447976,-150.643,
BS.44,69.33447976,-150.643,
BS.44,69.33447976,-150.643,
BS.44,69.33447976,-150.643,
BS.44,69.33447976,-150.643,
BS.45,69.28792046,-150.613,
BS.45,69.28792046,-150.613,
BS.45,69.28792046,-150.613,
BS.45,69.28792046,-150.613,
BS.45,69.28792046,-150.613,
BS.47,69.26245674,-150.544,
BS.47,69.26245674,-150.544,
BS.47,69.26245674,-150.544,
BS.47,69.26245674,-150.544,
BS.47,69.26245674,-150.544,
BS.48,69.2356888,-150.515,
BS.48,69.2356888,-150.515,
BS.48,69.2356888,-150.515,
BS.48,69.2356888,-150.515,
BS.48,69.2356888,-150.515,
BS.49,69.21345606,-150.549,
BS.49,69.21345606,-150.549,
BS.49,69.21345606,-150.549,
BS.49,69.21345606,-150.549,
BS.49,69.21345606,-150.549,
BS.5,68.83842,-150.526,
BS.5,68.83842,-150.526,
BS.5,68.83842,-150.526,
BS.5,68.83842,-150.526,
BS.5,68.83842,-150.526,
BS.50,69.19052174,-150.471,
BS.50,69.19052174,-150.471,
BS.50,69.19052174,-150.471,
BS.50,69.19052174,-150.471,
BS.50,69.19052174,-150.471,
BS.51,69.18210128,-150.491,
BS.51,69.18210128,-150.491,
BS.51,69.18210128,-150.491,
BS.51,69.18210128,-150.491,
BS.51,69.18210128,-150.491,
BS.53,69.09804077,-150.418,
BS.53,69.09804077,-150.418,
BS.53,69.09804077,-150.418,
BS.53,69.09804077,-150.418,
BS.53,69.09804077,-150.418,
BS.53,69.09804077,-150.418,
BS.55,69.02842009,-150.311,
BS.55,69.02842009,-150.311,
BS.55,69.02842009,-150.311,
BS.55,69.02842009,-150.311,
BS.55,69.02842009,-150.311,
BS.55,69.02842009,-150.311,
BS.56,68.95073066,-150.214,
BS.56,68.978166,-150.195,
BS.56,68.978166,-150.195,
BS.56,68.978166,-150.195,
BS.56,68.978166,-150.195,
BS.56,68.978166,-150.195,
BS.57,68.979379,-150.142,
BS.57,68.979379,-150.142,
BS.57,68.979379,-150.142,
BS.57,68.979379,-150.142,
BS.57,68.979379,-150.142,
BS.58,68.94896368,-150.154,
BS.58,68.94896368,-150.154,
BS.58,68.94896368,-150.154,
BS.58,68.94896368,-150.154,
BS.58,68.94896368,-150.154,
BS.58,68.94896368,-150.154,
BS.60,68.91860367,-150.127,
BS.60,68.91860367,-150.127,
BS.60,68.91860367,-150.127,
BS.60,68.91860367,-150.127,
BS.60,68.91860367,-150.127,
BS.60,68.91860367,-150.127,
BS.61,68.90659458,-150.078,
BS.61,68.90659458,-150.078,
BS.61,68.90659458,-150.078,
BS.61,68.90659458,-150.078,
BS.61,68.90659458,-150.078,
BS.61,68.90659458,-150.078,
BS.62,68.88600267,-150.078,
BS.62,68.88600267,-150.078,
BS.62,68.88600267,-150.078,
BS.62,68.88600267,-150.078,
BS.62,68.88600267,-150.078,
BS.62,68.88600267,-150.078,
BS.7,68.860359,-150.514,
BS.7,68.860359,-150.514,
BS.7,68.860359,-150.514,
BS.7,68.860359,-150.514,
BS.7,68.860359,-150.514,
BS.7,68.860359,-150.514,
BS.70,68.933025,-150.283,
BS.71,68.929417,-150.293,
