"Study_ID","Pair_JSC","Koppen","Treatment","Time_Since_Fire","Time_Since_Fire_JSC","DOC_mg_C_L","STDEV_DOC","STER_DOC","TN_mg_N_per_L","STDEV_TN","STER_TN","TDN_mg_N_per_L","STDEV_TDN","STER_TDN","NO3_mg_per_L_as_Nitrate","STDEV_NO3","STER_NO3","NH4_mg_per_L_as_NH4","STER_NH4","TSF"
"1","Site 2","Dfb","Burn","1","1-3 years",2.7,NA,NA,NA,NA,NA,0.15,NA,NA,0.009032258065,NA,NA,0.00543237250554324,NA,"0-1 years"
"1","Site 2","Dfb","Burn","1","1-3 years",5.5,NA,NA,NA,NA,NA,0.87,NA,NA,0.1490322581,NA,NA,0.00543237250554324,NA,"0-1 years"
"1","Site 2","Dfb","Burn","1","1-3 years",6.6,NA,NA,NA,NA,NA,0.21,NA,NA,0.009032258065,NA,NA,0.00543237250554324,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007219014,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007004588,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007219014,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006790162,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007933768,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007647867,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007862293,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00821967,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008577047,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007933768,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008648522,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008862948,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008076719,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008505571,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005860982,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005289179,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002501639,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003502294,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00371672,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004931802,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004002622,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004717376,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002930491,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004788851,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008648522,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005646556,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006075408,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005860982,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00557508,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006647211,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004288523,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005289179,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003073442,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006003933,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008505571,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009077374,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009649178,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009863604,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009792128,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009506227,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009291801,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009220325,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008791473,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008719997,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008362621,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006861637,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006933113,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00650426,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004431474,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003859671,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003645245,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003359343,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003073442,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002644589,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002501639,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005718031,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005718031,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004217048,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006146883,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006432785,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006432785,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00543213,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004574425,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00278754,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002287212,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00543213,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005932457,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002644589,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006432785,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002573114,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005003277,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003502294,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002430163,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003073442,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005789507,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005503605,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00636131,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004074097,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006075408,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006861637,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004359999,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00543213,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006432785,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006718687,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006432785,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006861637,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006933113,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006861637,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006718687,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00650426,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006146883,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005932457,NA,NA,NA,NA,"0-1 years"
"2","Site 3","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005503605,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00668977,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00384306,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00953648,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132372,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0046259,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00540875,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00654743,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00405656,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011031,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01188501,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01224085,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01031932,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00982115,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0086113,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01095983,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00918064,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00946531,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00918064,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00747261,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00704561,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00711677,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00768612,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00747261,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0066186,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00547992,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00348722,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00647627,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00697444,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00747261,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00654743,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01209852,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01273903,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01281019,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01252552,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01238319,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01188501,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01131567,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011031,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00996348,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00910947,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00839779,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00811312,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00740145,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00711677,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0064051,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00576459,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00313138,NA,NA,NA,NA,"0-1 years"
"2","Site 2","BSk","Burn","0-1","1-3 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00569342,NA,NA,NA,NA,"0-1 years"
