Study_ID,Site,analyte,Time_Since_Fire,n
Murphy et al. 2018,DS2,DOC,4,17
Murphy et al. 2018,DS2,DOC,5,10
Murphy et al. 2018,DS2,NO3,0,52
Murphy et al. 2018,DS2,NO3,1,8
Murphy et al. 2018,DS2,NO3,2,31
Murphy et al. 2018,DS2,NO3,3,28
Murphy et al. 2018,DS2,NO3,4,17
Murphy et al. 2018,DS2,NO3,5,10
Murphy et al. 2018,DS3,DOC,0,47
Murphy et al. 2018,DS3,DOC,1,8
Murphy et al. 2018,DS3,DOC,2,29
Murphy et al. 2018,DS3,DOC,3,28
Murphy et al. 2018,DS3,DOC,4,19
Murphy et al. 2018,DS3,DOC,5,15
Murphy et al. 2018,DS3,NO3,0,47
Murphy et al. 2018,DS3,NO3,1,8
Murphy et al. 2018,DS3,NO3,2,29
Murphy et al. 2018,DS3,NO3,3,28
Murphy et al. 2018,DS3,NO3,4,19
Murphy et al. 2018,DS3,NO3,5,15
Murphy et al. 2018,US1,DOC,0,48
Murphy et al. 2018,US1,DOC,1,8
Murphy et al. 2018,US1,DOC,2,27
Murphy et al. 2018,US1,DOC,3,28
Murphy et al. 2018,US1,DOC,4,18
Murphy et al. 2018,US1,DOC,5,14
Murphy et al. 2018,US1,NO3,0,49
Murphy et al. 2018,US1,NO3,1,8
Murphy et al. 2018,US1,NO3,2,27
Murphy et al. 2018,US1,NO3,3,28
Murphy et al. 2018,US1,NO3,4,18
Murphy et al. 2018,US1,NO3,5,14
Neary & Currier; 1982,Crane Creek,NO3,0,23
Neary & Currier; 1982,Crane Creek,NO3,1,5
Neary & Currier; 1982,Wash Branch,NO3,0,23
Neary & Currier; 1982,Wash Branch,NO3,1,4
Oliver et al. 2012,Site_1,NO3,1,13
Oliver et al. 2012,Site_1,NO3,2,7
Oliver et al. 2012,Site_2,NO3,0,3
Oliver et al. 2012,Site_2,NO3,1,15
Oliver et al. 2012,Site_2,NO3,2,13
Oliver et al. 2012,Site_3,NO3,0,5
Oliver et al. 2012,Site_3,NO3,1,29
Oliver et al. 2012,Site_3,NO3,2,15
Oliver et al. 2012,Site_4,NO3,1,30
Oliver et al. 2012,Site_4,NO3,2,11
Rhea et al. 2021,B1,DOC,5,6
Rhea et al. 2021,B1,NO3,5,6
Rhea et al. 2021,B2,DOC,15,5
Rhea et al. 2021,B2,NO3,15,5
Rhea et al. 2021,B3,DOC,15,6
Rhea et al. 2021,B3,NO3,15,6
Rhea et al. 2021,U1,DOC,5,6
Rhea et al. 2021,U1,NO3,5,6
Rhea et al. 2021,U3,DOC,15,2
Rhea et al. 2021,U3,NO3,15,2
Tiedemann; 1973,Camas Creek,NO3,0,3
Tiedemann; 1973,Camas Creek,NO3,1,12
Tiedemann; 1973,Camas Creek,NO3,2,6
Tiedemann; 1973,Grade Creek,NO3,0,3
Tiedemann; 1973,Grade Creek,NO3,1,12
Tiedemann; 1973,Grade Creek,NO3,2,6
Uzun et al. 2020,Reference First Rainy Season,DOC,1,3
Uzun et al. 2020,Reference Second Rainy Season,DOC,2,12
Uzun et al. 2020,Reference Second Rainy Season,NO3,2,12
Uzun et al. 2020,Reference Subsequent Flush,DOC,1,3
Uzun et al. 2020,Reference Subsequent Flush,NO3,1,2
Uzun et al. 2020,Rocky Fire First Rainy Season Initial Flush,DOC,1,7
Uzun et al. 2020,Rocky Fire First Rainy Season Subsequent Flush,DOC,1,7
Uzun et al. 2020,Rocky Fire Second Rainy Season,DOC,2,14
Uzun et al. 2020,Rocky Fire Second Rainy Season,NO3,2,14
Uzun et al. 2020,Wragg Fire First Rainy Season Initial Flush,DOC,1,9
Uzun et al. 2020,Wragg Fire First Rainy Season Initial Flush,NO3,1,2
Uzun et al. 2020,Wragg Fire First Rainy Season Subsequent Flush,DOC,1,8
Uzun et al. 2020,Wragg Fire Second Rainy Season,DOC,2,15
Uzun et al. 2020,Wragg Fire Second Rainy Season,NO3,2,15
Wagner et al. 2015,PBR,DOC,1,10
Wagner et al. 2015,PNF,DOC,1,10
Wagner et al. 2015,PSF,DOC,1,10
Writer et al. 2014,PBR,DOC,0,4
Writer et al. 2014,PBR,DOC,1,4
Writer et al. 2014,PBR,NO3,0,3
Writer et al. 2014,PBR,NO3,1,4
Writer et al. 2014,PNF,DOC,0,8
Writer et al. 2014,PNF,DOC,1,4
Writer et al. 2014,PNF,NO3,0,4
Writer et al. 2014,PNF,NO3,1,3
Writer et al. 2014,PSF,DOC,0,4
Writer et al. 2014,PSF,DOC,1,4
Writer et al. 2014,PSF,NO3,0,1
Writer et al. 2014,PSF,NO3,1,4
