"","Effect_size","totdasqkm","minelevraw","maxelevsmo","minelevsmo","elevfixed","slope","Tmax9120Ws","Tmean9120Ws","Tmin9120Ws","Forest","Urban","Grassland","Wetland","AG","OmWs","BFIWs","PermWs","RunoffWs","burn_percentage","mean_dnbr","Time_Since_Fire"
"Urban",0.531691663328416,-0.42858952878371,0.337814204068437,0.371648882210794,0.339681934166587,0.26452670380186,-0.0779790009869294,0.148775211873629,0.140878700492251,0.133034624865232,0.144810967822951,1,-0.158107805220186,-0.376958753256767,0.49047497251448,0.471038073053011,0.637598795344732,-0.079845168717433,0.0802557778704662,0.197101860364729,-0.317179634565913,0.264208291952847
"Grassland",-0.549528729576793,-0.0428561520676074,-0.960603258631989,-0.938356295451285,-0.960013411449166,-0.116154145559228,0.325629212184119,0.896735849544918,0.897978257500692,0.897134461689642,-0.998085078176823,-0.158107805220186,1,-0.757532566751882,0.249878667717758,0.331528195954164,-0.706774318302462,-0.873021837035501,0.897616813113707,0.855123021966379,0.904746123545107,-0.189051851369491
"Wetland",0.169044028572162,0.182973694550728,0.632821776626648,0.588329991138019,0.632452353832839,-0.0865526667521864,-0.278323307387298,-0.862468924430206,-0.857030718136937,-0.849907774481994,0.744105002014778,-0.376958753256767,-0.757532566751882,1,-0.191315982456942,-0.644958744337581,0.220923732560711,0.876346100829855,-0.884063376232779,-0.798677091465157,-0.506545796470323,-0.012789188618645
"AG",0.375780845767099,0.000123608779567578,-0.12062242620274,-0.152845653229126,-0.117403637203276,-0.0918461194324414,-0.24581175698258,0.242936444229776,0.22805627186792,0.213335077900438,-0.30245263692926,0.49047497251448,0.249878667717758,-0.191315982456942,1,0.356600478662741,0.180311141636584,-0.323813539372374,0.329978310597949,0.381435886077315,0.221519107418776,-0.216217742544641
"OmWs",0.351323916635738,0.103245128340558,-0.146373878569588,-0.174871794451843,-0.146852878968061,0.0909634349100628,-0.18959498483321,0.276646627738197,0.267568269874187,0.258321877534155,-0.349649597657571,0.471038073053011,0.331528195954164,-0.644958744337581,0.356600478662741,1,0.361471619278315,-0.625725626818106,0.5633314241182,0.633732211846739,0.0427002050287662,-0.222431477846068
"BFIWs",0.885028983026391,0.119428655684627,0.828893524051477,0.791650748123148,0.82890211556258,0.131173982564851,-0.442627624783684,-0.607580280432619,-0.618641319259799,-0.627786662369726,0.68808970420038,0.637598795344732,-0.706774318302462,0.220923732560711,0.180311141636584,0.361471619278315,1,0.352703762568007,-0.42317993509843,-0.358074973789563,-0.850657255274256,0.0392802115858072
"PermWs",0.157087813575458,-0.125290660478621,0.751554357455708,0.74777080475841,0.75077434384654,0.161900076755842,-0.203670841696565,-0.78543165347731,-0.779695321175943,-0.772463694177614,0.875034351733773,-0.079845168717433,-0.873021837035501,0.876346100829855,-0.323813539372374,-0.625725626818106,0.352703762568007,1,-0.991526804121038,-0.814174287082734,-0.682319869283933,0.274989018091922
"RunoffWs",-0.225349959285169,0.0456161603623581,-0.787457114038328,-0.773808051266147,-0.786433968083833,-0.146203713651046,0.253314726326859,0.841951577747637,0.837232986457775,0.830840174655468,-0.898178887108939,0.0802557778704662,0.897616813113707,-0.884063376232779,0.329978310597949,0.5633314241182,-0.42317993509843,-0.991526804121038,1,0.817311762208392,0.740236156804703,-0.231908606768493
"burn_percentage",-0.359070773177437,-0.269755428554257,-0.715377395257189,-0.689146050346725,-0.714645594470914,-0.00820809983017807,0.278809920399198,0.792503577437454,0.802905677812176,0.811047691378523,-0.864268679917157,0.197101860364729,0.855123021966379,-0.798677091465157,0.381435886077315,0.633732211846739,-0.358074973789563,-0.814174287082734,0.817311762208392,1,0.724189949042778,-0.125066157727645
"mean_dnbr",-0.70504184767274,-0.203341550578136,-0.891605679681929,-0.859814296174355,-0.890241145431394,-0.199070216888964,0.44670016870996,0.790485271812099,0.803904753760846,0.814902496611466,-0.906008496304406,-0.317179634565913,0.904746123545107,-0.506545796470323,0.221519107418776,0.0427002050287662,-0.850657255274256,-0.682319869283933,0.740236156804703,0.724189949042778,1,-0.156111564132903
"Time_Since_Fire",-0.243874994297774,-0.484260955468076,0.166733166770582,0.215357215221853,0.166815861699166,0.330106427299923,0.144695956071705,0.0629954904395925,0.0698962173638505,0.076323229937494,0.210922530371452,0.264208291952847,-0.189051851369491,-0.012789188618645,-0.216217742544641,-0.222431477846068,0.0392802115858072,0.274989018091922,-0.231908606768493,-0.125066157727645,-0.156111564132903,1
