Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.400,-121.433,134.000,km,Control ,Dfc,Scotty Creek,9/16,Unburn,,Individual,22.43386243,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,5/16,Burn,3,Individual,17.8042328,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,5/16,Burn,3,Individual,17.01058201,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,5/16,Burn,3,Individual,16.48148148,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,5/16,Burn,3,Individual,15.42328042,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,5/16,Burn,3,Individual,18.86243386,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,5/16,Burn,3,Individual,19.78835979,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,5/16,Burn,3,Individual,19.65608466,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,6/16,Burn,3,Individual,21.64021164,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,6/16,Burn,3,Individual,22.3015873,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,6/16,Burn,3,Individual,22.43386243,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,7/16,Burn,3,Individual,25.21164021,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,7/16,Burn,3,Individual,28.91534392,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,7/16,Burn,3,Individual,26.53439153,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,8/16,Burn,3,Individual,29.04761905,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,8/16,Burn,3,Individual,30.63492063,mg_C_L,,,,,,,Figure 4,
Burd et al 2018,10.5194/hess-22-4455-2018,Control_Reference_vs_Impact,61.133333,-120.283333,321.000,km,Site_1,Dfc,Notawohka Creek,9/16,Burn,3,Individual,27.46031746,mg_C_L,,,,,,,Figure 4,
